
BA    1   CR         0   TR  0   CH 16   Tempo 155
BA    1   CR         0   TR  0   CH 16   Tempo 155
BA    1   CR         0   TR  0   CH 16   Tempo 155
BA    1   CR         0   TR  0   CH 16   End of track
BA    1   CR         0   TR  1   CH 16   Text type 3: "MIDI out #5"
BA    1   CR         0   TR  3   CH  3   ST &B2 &0A &40
BA    1   CR         0   TR  3   CH  3   Channel volume 123
BA    1   CR         0   TR  3   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  3   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &64 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &06 &0C
BA    1   CR         0   TR  3   CH  3   ST &B2 &0A &40
BA    1   CR         0   TR  3   CH  3   Channel volume 123
BA    1   CR         0   TR  3   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  3   CH  3   Instrument 39
BA    1   CR         0   TR  3   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &64 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &06 &0C
BA    1   CR         0   TR  3   CH  3   ST &B2 &0A &40
BA    1   CR         0   TR  3   CH  3   Channel volume 123
BA    1   CR         0   TR  3   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  3   CH  3   Instrument 39
BA    1   CR         0   TR  3   CH  3   ST &B2 &0A &40
BA    1   CR         0   TR  3   CH  3   Channel volume 123
BA    1   CR         0   TR  3   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  3   CH  3   Instrument 39
BA    1   CR         0   TR  3   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &64 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &06 &0C
BA    1   CR         0   TR  3   CH  3   ST &B2 &0A &40
BA    1   CR         0   TR  3   CH  3   Channel volume 123
BA    1   CR         0   TR  3   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  3   CH  3   Instrument 39
BA    1   CR         0   TR  3   CH  3   ST &B2 &0A &40
BA    1   CR         0   TR  3   CH  3   Channel volume 123
BA    1   CR         0   TR  3   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  3   CH  3   Instrument 39
BA    1   CR         0   TR  4   CH 16   Text type 3: "MIDI out"
BA    1   CR         0   TR  4   CH  1   ST &B0 &0A &40
BA    1   CR         0   TR  4   CH  1   Channel volume 62
BA    1   CR         0   TR  4   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  4   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  4   CH  1   ST &B0 &64 &00
BA    1   CR         0   TR  4   CH  1   ST &B0 &06 &0C
BA    1   CR         0   TR  4   CH  1   ST &B0 &0A &40
BA    1   CR         0   TR  4   CH  1   Channel volume 62
BA    1   CR         0   TR  4   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  4   CH  1   Instrument 82
BA    1   CR         0   TR  4   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  4   CH  1   ST &B0 &64 &00
BA    1   CR         0   TR  4   CH  1   ST &B0 &06 &0C
BA    1   CR         0   TR  4   CH  1   ST &B0 &0A &40
BA    1   CR         0   TR  4   CH  1   Channel volume 62
BA    1   CR         0   TR  4   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  4   CH  1   Instrument 82
BA    1   CR         0   TR  4   CH  1   ST &B0 &0A &40
BA    1   CR         0   TR  4   CH  1   Channel volume 62
BA    1   CR         0   TR  4   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  4   CH  1   Instrument 82
BA    1   CR         0   TR  4   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  4   CH  1   ST &B0 &64 &00
BA    1   CR         0   TR  4   CH  1   ST &B0 &06 &0C
BA    1   CR         0   TR  4   CH  1   ST &B0 &0A &40
BA    1   CR         0   TR  4   CH  1   Channel volume 62
BA    1   CR         0   TR  4   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  4   CH  1   Instrument 82
BA    1   CR         0   TR  4   CH  1   ST &B0 &0A &40
BA    1   CR         0   TR  4   CH  1   Channel volume 62
BA    1   CR         0   TR  4   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  4   CH  1   Instrument 82
BA    1   CR         0   TR  5   CH 16   Text type 3: "MIDI out #8"
BA    1   CR         0   TR  5   CH  1   ST &B0 &0A &40
BA    1   CR         0   TR  5   CH  1   Channel volume 100
BA    1   CR         0   TR  5   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  5   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  5   CH  1   ST &B0 &64 &00
BA    1   CR         0   TR  5   CH  1   ST &B0 &06 &0C
BA    1   CR         0   TR  5   CH  1   ST &B0 &0A &40
BA    1   CR         0   TR  5   CH  1   Channel volume 100
BA    1   CR         0   TR  5   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  5   CH  1   Instrument 82
BA    1   CR         0   TR  5   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  5   CH  1   ST &B0 &64 &00
BA    1   CR         0   TR  5   CH  1   ST &B0 &06 &0C
BA    1   CR         0   TR  5   CH  1   ST &B0 &0A &40
BA    1   CR         0   TR  5   CH  1   Channel volume 100
BA    1   CR         0   TR  5   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  5   CH  1   Instrument 82
BA    1   CR         0   TR  5   CH  1   ST &B0 &0A &40
BA    1   CR         0   TR  5   CH  1   Channel volume 100
BA    1   CR         0   TR  5   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  5   CH  1   Instrument 82
BA    1   CR         0   TR  5   CH  1   ST &B0 &65 &00
BA    1   CR         0   TR  5   CH  1   ST &B0 &64 &00
BA    1   CR         0   TR  5   CH  1   ST &B0 &06 &0C
BA    1   CR         0   TR  5   CH  1   ST &B0 &0A &40
BA    1   CR         0   TR  5   CH  1   Channel volume 100
BA    1   CR         0   TR  5   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  5   CH  1   Instrument 82
BA    1   CR         0   TR  5   CH  1   ST &B0 &0A &40
BA    1   CR         0   TR  5   CH  1   Channel volume 100
BA    1   CR         0   TR  5   CH  1   ST &E0 &00 &40
BA    1   CR         0   TR  5   CH  1   Instrument 82
BA    1   CR         0   TR  5   CH  1   NT  C#''        23/48   von=98   voff=98
BA    1   CR         0   TR  6   CH 16   Text type 3: "MIDI out #2"
BA    1   CR         0   TR  6   CH 10   ST &B9 &0A &00
BA    1   CR         0   TR  6   CH 10   Channel volume 92
BA    1   CR         0   TR  6   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  6   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  6   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  6   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  6   CH 10   Channel volume 92
BA    1   CR         0   TR  6   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  6   CH 10   Instrument 1
BA    1   CR         0   TR  6   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  6   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  6   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  6   CH 10   Channel volume 92
BA    1   CR         0   TR  6   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  6   CH 10   Instrument 1
BA    1   CR         0   TR  6   CH 10   ST &B9 &0A &00
BA    1   CR         0   TR  6   CH 10   Channel volume 92
BA    1   CR         0   TR  6   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  6   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  6   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  6   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  6   CH 10   Channel volume 92
BA    1   CR         0   TR  6   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  6   CH 10   Instrument 1
BA    1   CR         0   TR  6   CH 10   ST &B9 &0A &00
BA    1   CR         0   TR  6   CH 10   Channel volume 92
BA    1   CR         0   TR  6   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  6   CH 10   NT  G#--        23/48   von=41   voff=41
BA    1   CR         0   TR  7   CH 16   Text type 3: "MIDI out #7"
BA    1   CR         0   TR  7   CH 10   ST &B9 &0A &45
BA    1   CR         0   TR  7   CH 10   Channel volume 113
BA    1   CR         0   TR  7   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  7   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  7   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  7   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  7   CH 10   ST &B9 &0A &45
BA    1   CR         0   TR  7   CH 10   Channel volume 113
BA    1   CR         0   TR  7   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  7   CH 10   Instrument 1
BA    1   CR         0   TR  7   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  7   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  7   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  7   CH 10   ST &B9 &0A &45
BA    1   CR         0   TR  7   CH 10   Channel volume 113
BA    1   CR         0   TR  7   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  7   CH 10   Instrument 1
BA    1   CR         0   TR  7   CH 10   ST &B9 &0A &45
BA    1   CR         0   TR  7   CH 10   Channel volume 113
BA    1   CR         0   TR  7   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  7   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  7   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  7   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  7   CH 10   ST &B9 &0A &45
BA    1   CR         0   TR  7   CH 10   Channel volume 113
BA    1   CR         0   TR  7   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  7   CH 10   Instrument 1
BA    1   CR         0   TR  7   CH 10   ST &B9 &0A &45
BA    1   CR         0   TR  7   CH 10   Channel volume 113
BA    1   CR         0   TR  7   CH 10   ST &E9 &00 &40
BA    1   CR       1/2   TR  5   CH  1   NT  B'          23/48   voff=98
BA    1   CR       1/2   TR  6   CH 10   NT  Bb--        23/48   von=100   voff=100
BA    1   CR         1   TR  5   CH  1   NT  A'          23/48   voff=98
BA    1   CR         1   TR  6   CH 10   NT  G#--        23/48   von=30   voff=30
BA    1   CR     1+1/2   TR  5   CH  1   NT  C#''        23/48   voff=98
BA    1   CR     1+1/2   TR  6   CH 10   NT  Bb--        23/48   von=100   voff=100
BA    1   CR         2   TR  5   CH  1   NT  B'          23/48   voff=98
BA    1   CR         2   TR  6   CH 10   NT  G#--        23/48   von=30   voff=30
BA    1   CR     2+1/2   TR  5   CH  1   NT  A'          23/48   voff=98
BA    1   CR     2+1/2   TR  6   CH 10   NT  Bb--        23/48   von=100   voff=100
BA    1   CR         3   TR  5   CH  1   NT  E'          23/48   voff=98
BA    1   CR         3   TR  6   CH 10   NT  G#--        23/48   von=25   voff=25
BA    1   CR     3+1/2   TR  5   CH  1   NT  A'          23/48   voff=98
BA    1   CR     3+1/2   TR  6   CH 10   NT  Bb--        23/48   von=100   voff=100

BA    2   CR         0   TR  5   CH  1   NT  C#''        23/48   voff=98
BA    2   CR         0   TR  6   CH 10   NT  G#--        23/48   von=25   voff=25
BA    2   CR       1/2   TR  5   CH  1   NT  B'          23/48   voff=98
BA    2   CR       1/2   TR  6   CH 10   NT  Bb--        23/48   von=100   voff=100
BA    2   CR         1   TR  5   CH  1   NT  A'          23/48   voff=98
BA    2   CR         1   TR  6   CH 10   NT  G#--        23/48   von=25   voff=25
BA    2   CR     1+1/2   TR  5   CH  1   NT  C#''        23/48   voff=98
BA    2   CR     1+1/2   TR  6   CH 10   NT  Bb--        23/48   von=100   voff=100
BA    2   CR         2   TR  5   CH  1   NT  B'          23/48   voff=98
BA    2   CR         2   TR  6   CH 10   NT  G#--        23/48   von=25   voff=25
BA    2   CR     2+1/2   TR  5   CH  1   NT  A'          47/48   voff=98
BA    2   CR     2+1/2   TR  6   CH 10   NT  Bb--        23/48   von=100   voff=100
BA    2   CR         3   TR  6   CH 10   NT  G#--        23/48   von=45   voff=45

BA    3   CR         0   TR  5   CH  1   NT  C#''        23/48   voff=98
BA    3   CR         0   TR  6   CH 10   NT  G#--        23/48   voff=45
BA    3   CR       1/2   TR  5   CH  1   NT  B'          23/48   voff=98
BA    3   CR       1/2   TR  6   CH 10   NT  Bb--        23/48   von=98   voff=98
BA    3   CR         1   TR  5   CH  1   NT  A'          23/48   voff=98
BA    3   CR         1   TR  6   CH 10   NT  G#--        23/48   von=45   voff=45
BA    3   CR     1+1/2   TR  5   CH  1   NT  C#''        23/48   voff=98
BA    3   CR     1+1/2   TR  6   CH 10   NT  Bb--        23/48   von=98   voff=98
BA    3   CR         2   TR  5   CH  1   NT  B'          23/48   voff=98
BA    3   CR         2   TR  6   CH 10   NT  G#--        23/48   von=45   voff=45
BA    3   CR     2+1/2   TR  5   CH  1   NT  A'          23/48   voff=98
BA    3   CR     2+1/2   TR  6   CH 10   NT  Bb--        23/48   von=98   voff=98
BA    3   CR         3   TR  5   CH  1   NT  F#'         23/48   voff=98
BA    3   CR         3   TR  6   CH 10   NT  G#--        23/48   von=45   voff=45
BA    3   CR     3+1/2   TR  5   CH  1   NT  A'          23/48   voff=98
BA    3   CR     3+1/2   TR  6   CH 10   NT  Bb--        23/48   von=98   voff=98

BA    4   CR         0   TR  5   CH  1   NT  C#''        23/48   voff=98
BA    4   CR         0   TR  6   CH 10   NT  G#--        23/48   von=45   voff=45
BA    4   CR       1/2   TR  5   CH  1   NT  B'          23/48   voff=98
BA    4   CR       1/2   TR  6   CH 10   NT  Bb--        23/48   von=98   voff=98
BA    4   CR         1   TR  5   CH  1   NT  A'          23/48   voff=98
BA    4   CR         1   TR  6   CH 10   NT  G#--        23/48   von=45   voff=45
BA    4   CR     1+1/2   TR  5   CH  1   NT  C#''        23/48   voff=98
BA    4   CR     1+1/2   TR  6   CH 10   NT  Bb--        23/48   von=98   voff=98
BA    4   CR     1+3/4   TR  2   CH  4   NT  G#        2+11/48   von=73   voff=73
BA    4   CR     1+3/4   TR  2   CH  4   NT  E         2+11/48   voff=73
BA    4   CR     1+3/4   TR  2   CH  4   NT  B-        2+11/48   voff=73
BA    4   CR     1+3/4   TR  2   CH  4   NT  G#-       2+11/48   voff=73
BA    4   CR     1+3/4   TR  2   CH  4   NT  E-        2+11/48   voff=73
BA    4   CR         2   TR  5   CH  1   NT  B'          23/48   voff=98
BA    4   CR         2   TR  6   CH 10   NT  G#--        23/48   von=45   voff=45
BA    4   CR     2+1/2   TR  5   CH  1   NT  A'          47/48   voff=98
BA    4   CR     2+1/2   TR  6   CH 10   NT  Bb--        23/48   von=98   voff=98
BA    4   CR         3   TR  6   CH 10   NT  G#--        23/48   von=45   voff=45
BA    4   CR         3   TR  6   CH 10   NT  D--         11/48   von=98   voff=98
BA    4   CR     3+1/2   TR  6   CH 10   NT  D--         11/48   voff=98
BA    4   CR     3+3/4   TR  6   CH 10   NT  D--         11/48   voff=98

BA    5   CR         0   TR  2   CH  4   NT  C#        3+47/48   von=98   voff=98
BA    5   CR         0   TR  2   CH  4   NT  E         3+47/48   voff=98
BA    5   CR         0   TR  2   CH  4   NT  A         3+47/48   voff=98
BA    5   CR         0   TR  2   CH  4   NT  A-        3+47/48   voff=98
BA    5   CR         0   TR  5   CH  1   NT  C#''        23/48   voff=98
BA    5   CR         0   TR  7   CH 10   NT  B---        23/48   von=98   voff=98
BA    5   CR         0   TR  7   CH 10   NT  F#--        11/48   von=94   voff=94
BA    5   CR       1/2   TR  5   CH  1   NT  B'          23/48   voff=98
BA    5   CR       1/2   TR  7   CH 10   NT  C#--        23/48   von=98   voff=98
BA    5   CR       1/2   TR  7   CH 10   NT  F#--        11/48   von=94   voff=94
BA    5   CR         1   TR  5   CH  1   NT  A'          23/48   voff=98
BA    5   CR         1   TR  7   CH 10   NT  E--         23/48   von=98   voff=98
BA    5   CR         1   TR  7   CH 10   NT  F#--        11/48   von=94   voff=94
BA    5   CR     1+1/4   TR  7   CH 10   NT  C#--        11/48   von=98   voff=98
BA    5   CR     1+1/2   TR  5   CH  1   NT  C#''        23/48   voff=98
BA    5   CR     1+1/2   TR  7   CH 10   NT  C#--        11/48   voff=98
BA    5   CR     1+1/2   TR  7   CH 10   NT  F#--        11/48   von=94   voff=94
BA    5   CR     1+3/4   TR  7   CH 10   NT  B---        11/48   von=98   voff=98
BA    5   CR         2   TR  5   CH  1   NT  B'          23/48   voff=98
BA    5   CR         2   TR  7   CH 10   NT  F#--        11/48   von=94   voff=94
BA    5   CR     2+1/4   TR  7   CH 10   NT  B---        11/48   von=98   voff=98
BA    5   CR     2+1/2   TR  5   CH  1   NT  A'          23/48   voff=98
BA    5   CR     2+1/2   TR  7   CH 10   NT  F#--        11/48   von=94   voff=94
BA    5   CR     2+1/2   TR  7   CH 10   NT  F--         11/48   von=98   voff=98
BA    5   CR     2+3/4   TR  7   CH 10   NT  C--         11/48   voff=98
BA    5   CR     2+3/4   TR  7   CH 10   NT  B---        11/48   von=94   voff=94
BA    5   CR         3   TR  5   CH  1   NT  E'          23/48   voff=98
BA    5   CR         3   TR  7   CH 10   NT  E--         11/48   von=98   voff=98
BA    5   CR         3   TR  7   CH 10   NT  F#--        11/48   von=94   voff=94
BA    5   CR     3+1/2   TR  5   CH  1   NT  A'          23/48   voff=98
BA    5   CR     3+1/2   TR  7   CH 10   NT  D--         11/48   von=98   voff=98
BA    5   CR     3+1/2   TR  7   CH 10   NT  F#--        11/48   von=94   voff=94
BA    5   CR     3+3/4   TR  7   CH 10   NT  C--         11/48   von=98   voff=98
BA    5   CR     3+3/4   TR  7   CH 10   NT  C--         11/48   von=94   voff=98
BA    5   CR     3+3/4   TR  7   CH 10   NT  Bb--        11/48   voff=94

BA    6   CR         0   TR  2   CH  4   NT  B-        3+47/48   voff=98
BA    6   CR         0   TR  2   CH  4   NT  G#-       3+47/48   voff=98
BA    6   CR         0   TR  2   CH  4   NT  E-        3+47/48   voff=98
BA    6   CR         0   TR  2   CH  4   NT  E         3+47/48   von=126   voff=126
BA    6   CR         0   TR  5   CH  1   NT  C#''        23/48   voff=98
BA    6   CR         0   TR  7   CH 10   NT  B---        23/48   von=98   voff=98
BA    6   CR         0   TR  7   CH 10   NT  F#--        11/48   von=94   voff=94
BA    6   CR       1/2   TR  5   CH  1   NT  B'          23/48   voff=98
BA    6   CR       1/2   TR  7   CH 10   NT  C#--        23/48   von=98   voff=98
BA    6   CR       1/2   TR  7   CH 10   NT  F#--        11/48   von=94   voff=94
BA    6   CR         1   TR  5   CH  1   NT  A'          23/48   voff=98
BA    6   CR         1   TR  7   CH 10   NT  E--         23/48   von=98   voff=98
BA    6   CR         1   TR  7   CH 10   NT  F#--        11/48   von=94   voff=94
BA    6   CR     1+1/4   TR  7   CH 10   NT  C#--        11/48   von=98   voff=98
BA    6   CR     1+1/2   TR  5   CH  1   NT  C#''        23/48   voff=98
BA    6   CR     1+1/2   TR  7   CH 10   NT  C#--        11/48   voff=98
BA    6   CR     1+1/2   TR  7   CH 10   NT  F#--        11/48   von=94   voff=94
BA    6   CR     1+3/4   TR  7   CH 10   NT  B---        11/48   von=98   voff=98
BA    6   CR         2   TR  5   CH  1   NT  B'          23/48   voff=98
BA    6   CR         2   TR  7   CH 10   NT  F#--        11/48   von=94   voff=94
BA    6   CR     2+1/4   TR  7   CH 10   NT  B---        11/48   von=98   voff=98
BA    6   CR     2+1/2   TR  5   CH  1   NT  A'          47/48   voff=98
BA    6   CR     2+1/2   TR  7   CH 10   NT  F#--        11/48   von=94   voff=94
BA    6   CR     2+1/2   TR  7   CH 10   NT  F--         11/48   von=98   voff=98
BA    6   CR     2+3/4   TR  7   CH 10   NT  C--         11/48   voff=98
BA    6   CR     2+3/4   TR  7   CH 10   NT  B---        11/48   von=94   voff=94
BA    6   CR         3   TR  7   CH 10   NT  E--         11/48   von=98   voff=98
BA    6   CR         3   TR  7   CH 10   NT  F#--        11/48   von=94   voff=94
BA    6   CR     3+1/2   TR  7   CH 10   NT  D--         11/48   von=98   voff=98
BA    6   CR     3+1/2   TR  7   CH 10   NT  F#--        11/48   von=94   voff=94
BA    6   CR     3+3/4   TR  7   CH 10   NT  C--         11/48   von=98   voff=94
BA    6   CR     3+3/4   TR  7   CH 10   NT  C--         11/48   von=94   voff=94
BA    6   CR     3+3/4   TR  7   CH 10   NT  Bb--        11/48   voff=94

BA    7   CR         0   TR  2   CH  4   NT  F#        3+47/48   voff=126
BA    7   CR         0   TR  2   CH  4   NT  C#        3+47/48   voff=126
BA    7   CR         0   TR  2   CH  4   NT  A-        3+47/48   voff=126
BA    7   CR         0   TR  2   CH  4   NT  F#-       3+47/48   voff=126
BA    7   CR         0   TR  5   CH  1   NT  C#''        23/48   voff=98
BA    7   CR         0   TR  7   CH 10   NT  B---        23/48   von=98   voff=98
BA    7   CR         0   TR  7   CH 10   NT  F#--        11/48   von=94   voff=94
BA    7   CR       1/2   TR  5   CH  1   NT  B'          23/48   voff=98
BA    7   CR       1/2   TR  7   CH 10   NT  C#--        23/48   von=98   voff=98
BA    7   CR       1/2   TR  7   CH 10   NT  F#--        11/48   von=94   voff=94
BA    7   CR         1   TR  5   CH  1   NT  A'          23/48   voff=98
BA    7   CR         1   TR  7   CH 10   NT  E--         23/48   von=98   voff=98
BA    7   CR         1   TR  7   CH 10   NT  F#--        11/48   von=94   voff=94
BA    7   CR     1+1/4   TR  7   CH 10   NT  C#--        11/48   von=98   voff=98
BA    7   CR     1+1/2   TR  5   CH  1   NT  C#''        23/48   voff=98
BA    7   CR     1+1/2   TR  7   CH 10   NT  C#--        11/48   voff=98
BA    7   CR     1+1/2   TR  7   CH 10   NT  F#--        11/48   von=94   voff=94
BA    7   CR     1+3/4   TR  7   CH 10   NT  B---        11/48   von=98   voff=98
BA    7   CR         2   TR  5   CH  1   NT  B'          23/48   voff=98
BA    7   CR         2   TR  7   CH 10   NT  F#--        11/48   von=94   voff=94
BA    7   CR     2+1/4   TR  7   CH 10   NT  B---        11/48   von=98   voff=98
BA    7   CR     2+1/2   TR  5   CH  1   NT  A'          23/48   voff=98
BA    7   CR     2+1/2   TR  7   CH 10   NT  F#--        11/48   von=94   voff=94
BA    7   CR     2+1/2   TR  7   CH 10   NT  F--         11/48   von=98   voff=98
BA    7   CR     2+3/4   TR  7   CH 10   NT  C--         11/48   voff=98
BA    7   CR     2+3/4   TR  7   CH 10   NT  B---        11/48   von=94   voff=94
BA    7   CR         3   TR  5   CH  1   NT  F#'         23/48   voff=98
BA    7   CR         3   TR  7   CH 10   NT  E--         11/48   von=98   voff=98
BA    7   CR         3   TR  7   CH 10   NT  F#--        11/48   von=94   voff=94
BA    7   CR     3+1/2   TR  5   CH  1   NT  A'          23/48   voff=98
BA    7   CR     3+1/2   TR  7   CH 10   NT  D--         11/48   von=98   voff=98
BA    7   CR     3+1/2   TR  7   CH 10   NT  F#--        11/48   von=94   voff=94
BA    7   CR     3+3/4   TR  7   CH 10   NT  C--         11/48   von=98   voff=98
BA    7   CR     3+3/4   TR  7   CH 10   NT  C--         11/48   von=94   voff=98
BA    7   CR     3+3/4   TR  7   CH 10   NT  Bb--        11/48   voff=94

BA    8   CR         0   TR  2   CH  4   NT  D         3+47/48   voff=126
BA    8   CR         0   TR  2   CH  4   NT  A-        3+47/48   voff=126
