
BA    1   CR         0   TR  0   CH 16   Tempo 160
BA    1   CR         0   TR  0   CH 16   Text type 3: "Survival From the Force"
BA    1   CR         0   TR  0   CH 16   Time signature 4/4, clocks/mtick 5, crotchets/32ndnote 184
BA    1   CR         0   TR  0   CH 16   End of track
BA    1   CR         0   TR  1   CH 16   Text type 3: "Synth Lead"
BA    1   CR         0   TR  3   CH  4   ST &B3 &06 &40
BA    1   CR         0   TR  3   CH  4   ST &B3 &65 &7F
BA    1   CR         0   TR  3   CH  4   ST &B3 &64 &7F
BA    1   CR         0   TR  3   CH  4   Instrument 97
BA    1   CR         0   TR  3   CH  4   ST &B3 &00 &00
BA    1   CR         0   TR  3   CH  4   Channel volume 80
BA    1   CR         0   TR  3   CH  4   ST &B3 &0A &20
BA    1   CR         0   TR  3   CH  4   ST &B3 &5D &00
BA    1   CR         0   TR  3   CH  4   ST &B3 &5B &00
BA    1   CR         0   TR  3   CH  4   ST &B3 &5C &00
BA    1   CR         0   TR  3   CH  4   ST &B3 &5F &00
BA    1   CR         0   TR  4   CH 16   Text type 3: "Piano"
BA    1   CR         0   TR  4   CH  3   ST &B2 &64 &00
BA    1   CR         0   TR  4   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  4   CH  3   ST &B2 &06 &0C
BA    1   CR         0   TR  4   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  4   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  4   CH  3   ST &B2 &64 &01
BA    1   CR         0   TR  4   CH  3   ST &B2 &06 &40
BA    1   CR         0   TR  4   CH  3   ST &B2 &26 &00
BA    1   CR         0   TR  4   CH  3   ST &B2 &65 &7F
BA    1   CR         0   TR  4   CH  3   ST &B2 &64 &7F
BA    1   CR         0   TR  4   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  4   CH  3   ST &B2 &64 &02
BA    1   CR         0   TR  4   CH  3   ST &B2 &06 &40
BA    1   CR         0   TR  4   CH  3   ST &B2 &65 &7F
BA    1   CR         0   TR  4   CH  3   ST &B2 &64 &7F
BA    1   CR         0   TR  4   CH  3   Instrument 3
BA    1   CR         0   TR  4   CH  3   ST &B2 &00 &00
BA    1   CR         0   TR  4   CH  3   Channel volume 112
BA    1   CR         0   TR  4   CH  3   ST &B2 &0A &30
BA    1   CR         0   TR  4   CH  3   ST &B2 &5D &00
BA    1   CR         0   TR  4   CH  3   ST &B2 &5B &00
BA    1   CR         0   TR  4   CH  3   ST &B2 &5C &00
BA    1   CR         0   TR  4   CH  3   ST &B2 &5F &00
BA    1   CR         0   TR  4   CH  3   NT  Bb            3/8   von=95   voff=80
BA    1   CR         0   TR  4   CH  3   NT  G             3/8   voff=80
BA    1   CR         0   TR  4   CH  3   NT  Eb            3/8   voff=80
BA    1   CR         0   TR  4   CH  3   NT  C#--          1/4   voff=80
BA    1   CR         0   TR  5   CH 16   Text type 3: "Organ"
BA    1   CR         0   TR  5   CH  2   ST &B1 &64 &00
BA    1   CR         0   TR  5   CH  2   ST &B1 &65 &00
BA    1   CR         0   TR  5   CH  2   ST &B1 &06 &0C
BA    1   CR         0   TR  5   CH  2   ST &E1 &00 &40
BA    1   CR         0   TR  5   CH  2   ST &B1 &65 &00
BA    1   CR         0   TR  5   CH  2   ST &B1 &64 &01
BA    1   CR         0   TR  5   CH  2   ST &B1 &06 &40
BA    1   CR         0   TR  5   CH  2   ST &B1 &26 &00
BA    1   CR         0   TR  5   CH  2   ST &B1 &65 &7F
BA    1   CR         0   TR  5   CH  2   ST &B1 &64 &7F
BA    1   CR         0   TR  5   CH  2   ST &B1 &65 &00
BA    1   CR         0   TR  5   CH  2   ST &B1 &64 &02
BA    1   CR         0   TR  5   CH  2   ST &B1 &06 &40
BA    1   CR         0   TR  5   CH  2   ST &B1 &65 &7F
BA    1   CR         0   TR  5   CH  2   ST &B1 &64 &7F
BA    1   CR         0   TR  5   CH  2   Instrument 19
BA    1   CR         0   TR  5   CH  2   ST &B1 &00 &00
BA    1   CR         0   TR  5   CH  2   Channel volume 127
BA    1   CR         0   TR  5   CH  2   ST &B1 &0A &50
BA    1   CR         0   TR  5   CH  2   ST &B1 &5D &00
BA    1   CR         0   TR  5   CH  2   ST &B1 &5B &00
BA    1   CR         0   TR  5   CH  2   ST &B1 &5C &00
BA    1   CR         0   TR  5   CH  2   ST &B1 &5F &00
BA    1   CR         0   TR  5   CH  2   NT  Bb            1/2   von=95   voff=80
BA    1   CR         0   TR  5   CH  2   NT  G             1/2   voff=80
BA    1   CR         0   TR  5   CH  2   NT  Eb            1/2   voff=80
BA    1   CR         0   TR  6   CH 16   Text type 3: "String Ens,"
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &01
BA    1   CR         0   TR  6   CH  6   ST &B5 &06 &40
BA    1   CR         0   TR  6   CH  6   ST &B5 &26 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &7F
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &7F
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &02
BA    1   CR         0   TR  6   CH  6   ST &B5 &06 &40
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &7F
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &7F
BA    1   CR         0   TR  6   CH  6   Instrument 49
BA    1   CR         0   TR  6   CH  6   ST &B5 &00 &00
BA    1   CR         0   TR  6   CH  6   Channel volume 127
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &60
BA    1   CR         0   TR  6   CH  6   ST &B5 &5D &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &5B &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &5C &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &5F &00
BA    1   CR         0   TR  7   CH 16   Text type 3: "Bass"
BA    1   CR         0   TR  7   CH  7   ST &B6 &64 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &65 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &06 &0C
BA    1   CR         0   TR  7   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  7   CH  7   ST &B6 &65 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &64 &01
BA    1   CR         0   TR  7   CH  7   ST &B6 &06 &40
BA    1   CR         0   TR  7   CH  7   ST &B6 &26 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &65 &7F
BA    1   CR         0   TR  7   CH  7   ST &B6 &64 &7F
BA    1   CR         0   TR  7   CH  7   ST &B6 &65 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &64 &02
BA    1   CR         0   TR  7   CH  7   ST &B6 &06 &40
BA    1   CR         0   TR  7   CH  7   ST &B6 &65 &7F
BA    1   CR         0   TR  7   CH  7   ST &B6 &64 &7F
BA    1   CR         0   TR  7   CH  7   Instrument 38
BA    1   CR         0   TR  7   CH  7   ST &B6 &00 &00
BA    1   CR         0   TR  7   CH  7   Channel volume 127
BA    1   CR         0   TR  7   CH  7   ST &B6 &0A &40
BA    1   CR         0   TR  7   CH  7   ST &B6 &5D &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &5B &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &5C &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &5F &00
BA    1   CR         0   TR  7   CH  7   NT  C#---         1/2   von=127   voff=80
BA    1   CR         0   TR  8   CH 16   Text type 3: "Drums"
BA    1   CR         0   TR  8   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  8   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  8   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  8   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  8   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  8   CH 10   ST &B9 &64 &01
BA    1   CR         0   TR  8   CH 10   ST &B9 &06 &40
BA    1   CR         0   TR  8   CH 10   ST &B9 &26 &00
BA    1   CR         0   TR  8   CH 10   ST &B9 &65 &7F
BA    1   CR         0   TR  8   CH 10   ST &B9 &64 &7F
BA    1   CR         0   TR  8   CH 10   Instrument 17
BA    1   CR         0   TR  8   CH 10   ST &B9 &00 &00
BA    1   CR         0   TR  8   CH 10   Channel volume 112
BA    1   CR         0   TR  8   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  8   CH 10   ST &B9 &5D &00
BA    1   CR         0   TR  8   CH 10   ST &B9 &5B &00
BA    1   CR         0   TR  8   CH 10   ST &B9 &5C &00
BA    1   CR         0   TR  8   CH 10   ST &B9 &5F &00
BA    1   CR         0   TR  8   CH 10   NT  C#-           1/4   von=95   voff=80
BA    1   CR         0   TR  8   CH 10   NT  C--           1/4   voff=80
BA    1   CR         0   TR  8   CH 10   NT  D--           1/4   voff=80
BA    1   CR       1/2   TR  4   CH  3   NT  C#--          1/4   voff=80
BA    1   CR       1/2   TR  7   CH  7   NT  C#---         1/2   voff=80
BA    1   CR         1   TR  4   CH  3   NT  C#--          1/4   voff=80
BA    1   CR         1   TR  7   CH  7   NT  C#---         1/2   voff=80
BA    1   CR         1   TR  8   CH 10   NT  C--           1/4   voff=80
BA    1   CR     1+1/2   TR  4   CH  3   NT  C#--          1/4   voff=80
BA    1   CR     1+1/2   TR  7   CH  7   NT  C#---         1/2   voff=80
BA    1   CR         2   TR  4   CH  3   NT  C#--          1/4   voff=80
BA    1   CR         2   TR  7   CH  7   NT  C#---         1/2   voff=80
BA    1   CR         2   TR  8   CH 10   NT  C--           1/4   voff=80
BA    1   CR     2+1/2   TR  4   CH  3   NT  Bb            3/8   voff=80
BA    1   CR     2+1/2   TR  4   CH  3   NT  G             3/8   voff=80
BA    1   CR     2+1/2   TR  4   CH  3   NT  Eb            3/8   voff=80
BA    1   CR     2+1/2   TR  4   CH  3   NT  C#--          1/4   voff=80
BA    1   CR     2+1/2   TR  5   CH  2   NT  Bb            1/2   voff=80
BA    1   CR     2+1/2   TR  5   CH  2   NT  G             1/2   voff=80
BA    1   CR     2+1/2   TR  5   CH  2   NT  Eb            1/2   voff=80
BA    1   CR     2+1/2   TR  7   CH  7   NT  C#---         1/2   voff=80
BA    1   CR     2+1/2   TR  8   CH 10   NT  D--           1/4   voff=80
BA    1   CR         3   TR  4   CH  3   NT  C#--          1/4   voff=80
BA    1   CR         3   TR  7   CH  7   NT  C#---         1/2   voff=80
BA    1   CR         3   TR  8   CH 10   NT  C--           1/4   voff=80
BA    1   CR     3+1/2   TR  4   CH  3   NT  G#            3/8   voff=80
BA    1   CR     3+1/2   TR  4   CH  3   NT  E             3/8   voff=80
BA    1   CR     3+1/2   TR  4   CH  3   NT  B-            3/8   voff=80
BA    1   CR     3+1/2   TR  4   CH  3   NT  C#--          1/4   voff=80
BA    1   CR     3+1/2   TR  5   CH  2   NT  B             1/2   voff=80
BA    1   CR     3+1/2   TR  5   CH  2   NT  G#            1/2   voff=80
BA    1   CR     3+1/2   TR  5   CH  2   NT  E             1/2   voff=80
BA    1   CR     3+1/2   TR  7   CH  7   NT  C#---         1/2   voff=80
BA    1   CR     3+1/2   TR  8   CH 10   NT  D--           1/4   voff=80

BA    2   CR         0   TR  4   CH  3   NT  C#--          1/4   voff=80
BA    2   CR         0   TR  7   CH  7   NT  C#---         1/2   voff=80
BA    2   CR         0   TR  8   CH 10   NT  C#-           1/4   voff=80
BA    2   CR         0   TR  8   CH 10   NT  C--           1/4   voff=80
BA    2   CR       1/2   TR  4   CH  3   NT  C#--          1/4   voff=80
BA    2   CR       1/2   TR  7   CH  7   NT  C#---         1/2   voff=80
BA    2   CR       1/2   TR  8   CH 10   NT  D--           1/4   voff=80
BA    2   CR       3/4   TR  8   CH 10   NT  D--           1/4   voff=80
BA    2   CR         1   TR  4   CH  3   NT  C#--          1/4   voff=80
BA    2   CR         1   TR  7   CH  7   NT  C#---         1/2   voff=80
BA    2   CR         1   TR  8   CH 10   NT  Bb--          1/4   voff=80
BA    2   CR         1   TR  8   CH 10   NT  C--           1/4   voff=80
BA    2   CR         1   TR  8   CH 10   NT  D--           1/4   voff=80
BA    2   CR     1+1/4   TR  8   CH 10   NT  D--           1/4   voff=80
BA    2   CR     1+1/2   TR  4   CH  3   NT  C#--          1/4   voff=80
BA    2   CR     1+1/2   TR  7   CH  7   NT  C#---         1/2   voff=80
BA    2   CR     1+1/2   TR  8   CH 10   NT  D--           1/4   voff=80
BA    2   CR     1+3/4   TR  8   CH 10   NT  D--           1/4   voff=80
BA    2   CR         2   TR  4   CH  3   NT  C#--          1/4   voff=80
BA    2   CR         2   TR  7   CH  7   NT  C#---         1/2   voff=80
BA    2   CR         2   TR  8   CH 10   NT  D--           1/4   voff=80
BA    2   CR         2   TR  8   CH 10   NT  C--           1/4   voff=80
BA    2   CR     2+1/2   TR  4   CH  3   NT  C#--          1/4   voff=80
BA    2   CR     2+1/2   TR  7   CH  7   NT  C#---         1/2   voff=80
BA    2   CR     2+1/2   TR  8   CH 10   NT  D--           1/4   voff=80
BA    2   CR     2+3/4   TR  8   CH 10   NT  D--           1/4   voff=80
BA    2   CR         3   TR  4   CH  3   NT  C#--          1/4   voff=80
BA    2   CR         3   TR  7   CH  7   NT  C#---         1/2   voff=80
BA    2   CR         3   TR  8   CH 10   NT  C-            1/4   voff=80
BA    2   CR         3   TR  8   CH 10   NT  C--           1/4   voff=80
BA    2   CR     3+1/4   TR  8   CH 10   NT  C-            1/4   voff=80
BA    2   CR     3+1/2   TR  4   CH  3   NT  C#--          1/4   voff=80
BA    2   CR     3+1/2   TR  7   CH  7   NT  C#---         1/2   voff=80
BA    2   CR     3+1/2   TR  8   CH 10   NT  B--           1/4   voff=80
BA    2   CR     3+3/4   TR  8   CH 10   NT  A--           1/4   voff=80

BA    3   CR         0   TR  4   CH  3   NT  C'            3/8   voff=80
BA    3   CR         0   TR  4   CH  3   NT  A             3/8   voff=80
BA    3   CR         0   TR  4   CH  3   NT  F             3/8   voff=80
BA    3   CR         0   TR  4   CH  3   NT  Eb--          1/4   voff=80
BA    3   CR         0   TR  5   CH  2   NT  C'            1/2   voff=80
BA    3   CR         0   TR  5   CH  2   NT  A             1/2   voff=80
BA    3   CR         0   TR  5   CH  2   NT  F             1/2   voff=80
BA    3   CR         0   TR  7   CH  7   NT  Eb---         1/2   voff=80
BA    3   CR         0   TR  8   CH 10   NT  C#-           1/4   voff=80
BA    3   CR         0   TR  8   CH 10   NT  C--           1/4   voff=80
BA    3   CR         0   TR  8   CH 10   NT  D--           1/4   voff=80
BA    3   CR       1/2   TR  4   CH  3   NT  Eb--          1/4   voff=80
BA    3   CR       1/2   TR  7   CH  7   NT  Eb---         1/2   voff=80
BA    3   CR         1   TR  4   CH  3   NT  Eb--          1/4   voff=80
BA    3   CR         1   TR  7   CH  7   NT  Eb---         1/2   voff=80
BA    3   CR         1   TR  8   CH 10   NT  C--           1/4   voff=80
BA    3   CR     1+1/2   TR  4   CH  3   NT  Eb--          1/4   voff=80
BA    3   CR     1+1/2   TR  7   CH  7   NT  Eb---         1/2   voff=80
BA    3   CR         2   TR  4   CH  3   NT  Eb--          1/4   voff=80
BA    3   CR         2   TR  7   CH  7   NT  Eb---         1/2   voff=80
BA    3   CR         2   TR  8   CH 10   NT  C--           1/4   voff=80
BA    3   CR     2+1/2   TR  4   CH  3   NT  C'            3/8   voff=80
BA    3   CR     2+1/2   TR  4   CH  3   NT  A             3/8   voff=80
BA    3   CR     2+1/2   TR  4   CH  3   NT  F             3/8   voff=80
BA    3   CR     2+1/2   TR  4   CH  3   NT  Eb--          1/4   voff=80
BA    3   CR     2+1/2   TR  5   CH  2   NT  C'            1/2   voff=80
BA    3   CR     2+1/2   TR  5   CH  2   NT  A             1/2   voff=80
BA    3   CR     2+1/2   TR  5   CH  2   NT  F             1/2   voff=80
BA    3   CR     2+1/2   TR  7   CH  7   NT  Eb---         1/2   voff=80
BA    3   CR     2+1/2   TR  8   CH 10   NT  D--           1/4   voff=80
BA    3   CR         3   TR  4   CH  3   NT  Eb--          1/4   voff=80
BA    3   CR         3   TR  7   CH  7   NT  Eb---         1/2   voff=80
BA    3   CR         3   TR  8   CH 10   NT  C--           1/4   voff=80
BA    3   CR     3+1/2   TR  4   CH  3   NT  C#'           3/8   voff=80
BA    3   CR     3+1/2   TR  4   CH  3   NT  Bb            3/8   voff=80
BA    3   CR     3+1/2   TR  4   CH  3   NT  F#            3/8   voff=80
BA    3   CR     3+1/2   TR  4   CH  3   NT  Eb--          1/4   voff=80
BA    3   CR     3+1/2   TR  5   CH  2   NT  C#'           1/2   voff=80
BA    3   CR     3+1/2   TR  5   CH  2   NT  Bb            1/2   voff=80
BA    3   CR     3+1/2   TR  5   CH  2   NT  F#            1/2   voff=80
BA    3   CR     3+1/2   TR  7   CH  7   NT  Eb---         1/2   voff=80
BA    3   CR     3+1/2   TR  8   CH 10   NT  D--           1/4   voff=80

BA    4   CR         0   TR  4   CH  3   NT  Eb--          1/4   voff=80
BA    4   CR         0   TR  7   CH  7   NT  Eb---         1/2   voff=80
BA    4   CR         0   TR  8   CH 10   NT  C--           1/4   voff=80
BA    4   CR       1/2   TR  4   CH  3   NT  Eb--          1/4   voff=80
BA    4   CR       1/2   TR  7   CH  7   NT  Eb---         1/2   voff=80
BA    4   CR         1   TR  4   CH  3   NT  Eb--          1/4   voff=80
BA    4   CR         1   TR  7   CH  7   NT  Eb---         1/2   voff=80
BA    4   CR         1   TR  8   CH 10   NT  C--           1/4   voff=80
BA    4   CR    1+7/24   TR  5   CH  2   NT  E--           1/8   voff=80
BA    4   CR     1+1/3   TR  5   CH  2   NT  F--           1/8   voff=80
BA    4   CR     1+3/8   TR  5   CH  2   NT  G--           1/8   voff=80
BA    4   CR    1+5/12   TR  5   CH  2   NT  A--           1/8   voff=80
BA    4   CR   1+11/24   TR  5   CH  2   NT  B--           1/8   voff=80
BA    4   CR     1+1/2   TR  4   CH  3   NT  Eb--          1/4   voff=80
BA    4   CR     1+1/2   TR  5   CH  2   NT  C-            1/8   voff=80
BA    4   CR     1+1/2   TR  7   CH  7   NT  Eb---         1/2   voff=80
BA    4   CR   1+13/24   TR  5   CH  2   NT  D-            1/8   voff=80
BA    4   CR    1+7/12   TR  5   CH  2   NT  E-            1/8   voff=80
BA    4   CR     1+5/8   TR  5   CH  2   NT  F-            1/8   voff=80
BA    4   CR     1+2/3   TR  5   CH  2   NT  G-            1/8   voff=80
BA    4   CR   1+17/24   TR  5   CH  2   NT  A-            1/8   voff=80
BA    4   CR     1+3/4   TR  5   CH  2   NT  B-            1/8   voff=80
BA    4   CR   1+19/24   TR  5   CH  2   NT  C             1/8   voff=80
BA    4   CR     1+5/6   TR  5   CH  2   NT  D             1/8   voff=80
BA    4   CR     1+7/8   TR  5   CH  2   NT  E             1/8   voff=80
BA    4   CR   1+11/12   TR  5   CH  2   NT  F             1/8   voff=80
BA    4   CR   1+23/24   TR  5   CH  2   NT  G             1/8   voff=80
BA    4   CR         2   TR  4   CH  3   NT  Eb--          1/4   voff=80
BA    4   CR         2   TR  5   CH  2   NT  A             1/8   voff=80
BA    4   CR         2   TR  7   CH  7   NT  Eb---         1/2   voff=80
BA    4   CR         2   TR  8   CH 10   NT  C--           1/4   voff=80
BA    4   CR    2+1/24   TR  5   CH  2   NT  B             1/8   voff=80
BA    4   CR    2+1/12   TR  5   CH  2   NT  C'            1/8   voff=80
BA    4   CR     2+1/8   TR  5   CH  2   NT  D'            1/8   voff=80
BA    4   CR     2+1/6   TR  5   CH  2   NT  E'            1/8   voff=80
BA    4   CR    2+5/24   TR  5   CH  2   NT  F'            1/8   voff=80
BA    4   CR     2+1/4   TR  5   CH  2   NT  G'            1/8   voff=80
BA    4   CR    2+7/24   TR  5   CH  2   NT  A'            1/8   voff=80
BA    4   CR     2+1/3   TR  5   CH  2   NT  B'            1/8   voff=80
BA    4   CR     2+3/8   TR  5   CH  2   NT  C''           1/8   voff=80
BA    4   CR    2+5/12   TR  5   CH  2   NT  B'           1/24   voff=80
BA    4   CR   2+11/24   TR  5   CH  2   NT  A'            1/8   voff=80
BA    4   CR     2+1/2   TR  4   CH  3   NT  C#'             1   voff=80
BA    4   CR     2+1/2   TR  4   CH  3   NT  Bb              1   voff=80
BA    4   CR     2+1/2   TR  4   CH  3   NT  F#              1   voff=80
BA    4   CR     2+1/2   TR  4   CH  3   NT  Eb--          1/4   voff=80
BA    4   CR     2+1/2   TR  5   CH  2   NT  G'            1/8   voff=80
BA    4   CR     2+1/2   TR  7   CH  7   NT  Eb---         1/2   voff=80
BA    4   CR     2+1/2   TR  8   CH 10   NT  C#-           1/4   voff=80
BA    4   CR     2+1/2   TR  8   CH 10   NT  D--           1/4   voff=80
BA    4   CR   2+13/24   TR  5   CH  2   NT  F'            1/8   voff=80
BA    4   CR    2+7/12   TR  5   CH  2   NT  E'            1/8   voff=80
BA    4   CR     2+5/8   TR  5   CH  2   NT  D'            1/8   voff=80
BA    4   CR     2+2/3   TR  5   CH  2   NT  C'            1/8   voff=80
BA    4   CR   2+17/24   TR  5   CH  2   NT  B             1/8   voff=80
BA    4   CR     2+3/4   TR  5   CH  2   NT  A             1/8   voff=80
BA    4   CR   2+19/24   TR  5   CH  2   NT  G             1/8   voff=80
BA    4   CR     2+5/6   TR  5   CH  2   NT  F             1/8   voff=80
BA    4   CR     2+7/8   TR  5   CH  2   NT  E             1/8   voff=80
BA    4   CR   2+11/12   TR  5   CH  2   NT  D             1/8   voff=80
BA    4   CR   2+23/24   TR  5   CH  2   NT  C             1/8   voff=80
BA    4   CR         3   TR  4   CH  3   NT  Eb--          1/4   voff=80
BA    4   CR         3   TR  5   CH  2   NT  B-            1/8   voff=80
BA    4   CR         3   TR  7   CH  7   NT  E---          1/2   voff=80
BA    4   CR         3   TR  8   CH 10   NT  C--           1/4   voff=80
