
BA    1   CR         0   TR  0   CH 16   Tempo 105.0001
BA    1   CR         0   TR  0   CH 16   Time signature 4/4, clocks/mtick 24, crotchets/32ndnote 8
BA    1   CR         0   TR  0   CH 16   Key C major
BA    1   CR         0   TR  0   CH 16   End of track
BA    3   CR     1+1/2   TR  4   CH 10   NT  A             1/4   voff=0
BA    3   CR         2   TR  3   CH  3   NT  F--           1/4   voff=0
BA    3   CR     2+1/2   TR  4   CH 10   NT  A             1/4   voff=0
BA    3   CR     2+3/4   TR  3   CH  3   NT  G--           1/2   voff=0
BA    3   CR     3+1/4   TR  3   CH  3   NT  G--           1/4   voff=0
BA    3   CR     3+1/2   TR  3   CH  3   NT  A--           1/4   voff=0
BA    3   CR     3+1/2   TR  4   CH 10   NT  A             1/4   voff=0
BA    3   CR     3+3/4   TR  3   CH  3   NT  B--           1/4   voff=0

BA    4   CR         0   TR  1   CH  1   ST &B0 &08 &57
BA    4   CR         0   TR  1   CH  1   NT  C             1/4   voff=0
BA    4   CR         0   TR  3   CH  3   NT  C-            1/4   voff=0
BA    4   CR       1/2   TR  4   CH 10   NT  A             1/4   voff=0
BA    4   CR       3/4   TR  1   CH  1   NT  G-            1/4   voff=0
BA    4   CR         1   TR  3   CH  3   NT  E--           1/4   voff=0
BA    4   CR     1+1/2   TR  1   CH  1   NT  E-            1/4   voff=0
BA    4   CR     1+1/2   TR  4   CH 10   NT  A             1/4   voff=0
BA    4   CR         2   TR  3   CH  3   NT  F--           1/4   voff=0
BA    4   CR     2+1/4   TR  1   CH  1   NT  A-            1/4   voff=0
BA    4   CR     2+1/2   TR  4   CH 10   NT  A             1/4   voff=0
BA    4   CR     2+3/4   TR  1   CH  1   NT  B-            1/4   voff=0
BA    4   CR     2+3/4   TR  3   CH  3   NT  G--           1/2   voff=0
BA    4   CR     3+1/4   TR  1   CH  1   NT  Bb-           1/4   voff=0
BA    4   CR     3+1/4   TR  3   CH  3   NT  G--           1/4   voff=0
BA    4   CR     3+1/2   TR  1   CH  1   NT  A-            1/4   voff=0
BA    4   CR     3+1/2   TR  3   CH  3   NT  A--           1/4   voff=0
BA    4   CR     3+1/2   TR  4   CH 10   NT  A             1/4   voff=0
BA    4   CR     3+3/4   TR  3   CH  3   NT  B--           1/4   voff=0

BA    5   CR         0   TR  1   CH  1   NT  C             1/4   voff=0
BA    5   CR         0   TR  2   CH  2   NT  C             1/4   von=100   voff=0
BA    5   CR         0   TR  3   CH  3   NT  C-            1/4   voff=0
BA    5   CR       1/3   TR  1   CH  1   NT  E             1/4   voff=0
BA    5   CR       1/2   TR  4   CH 10   NT  A             1/4   voff=0
BA    5   CR       2/3   TR  1   CH  1   NT  G             1/4   voff=0
BA    5   CR       3/4   TR  2   CH  2   NT  G-            1/4   voff=0
BA    5   CR         1   TR  1   CH  1   NT  A             1/4   voff=0
BA    5   CR         1   TR  3   CH  3   NT  E--           1/4   voff=0
BA    5   CR     1+1/2   TR  1   CH  1   NT  F             1/4   voff=0
BA    5   CR     1+1/2   TR  2   CH  2   NT  E-            1/4   voff=0
BA    5   CR     1+1/2   TR  4   CH 10   NT  A             1/4   voff=0
BA    5   CR     1+3/4   TR  1   CH  1   NT  G             1/4   voff=0
BA    5   CR         2   TR  3   CH  3   NT  F--           1/4   voff=0
BA    5   CR     2+1/4   TR  1   CH  1   NT  E             1/4   voff=0
BA    5   CR     2+1/4   TR  2   CH  2   NT  A-            1/4   voff=0
BA    5   CR     2+1/2   TR  4   CH 10   NT  A             1/4   voff=0
BA    5   CR     2+3/4   TR  1   CH  1   NT  C             1/4   voff=0
BA    5   CR     2+3/4   TR  2   CH  2   NT  B-            1/4   voff=0
BA    5   CR     2+3/4   TR  3   CH  3   NT  G--           1/2   voff=0
BA    5   CR         3   TR  1   CH  1   NT  D             1/4   voff=0
BA    5   CR     3+1/4   TR  1   CH  1   NT  B-            1/2   voff=0
BA    5   CR     3+1/4   TR  2   CH  2   NT  Bb-           1/4   voff=0
BA    5   CR     3+1/4   TR  3   CH  3   NT  G--           1/4   voff=0
BA    5   CR     3+1/2   TR  2   CH  2   NT  A-            1/4   voff=0
BA    5   CR     3+1/2   TR  3   CH  3   NT  A--           1/4   voff=0
BA    5   CR     3+1/2   TR  4   CH 10   NT  A             1/4   voff=0
BA    5   CR     3+3/4   TR  3   CH  3   NT  B--           1/4   voff=0

BA    6   CR         0   TR  1   CH  1   NT  C             1/4   voff=0
BA    6   CR         0   TR  2   CH  2   NT  C             1/4   voff=0
BA    6   CR         0   TR  3   CH  3   NT  C-            1/4   voff=0
BA    6   CR       1/3   TR  2   CH  2   NT  E             1/4   voff=0
BA    6   CR       1/2   TR  4   CH 10   NT  A             1/4   voff=0
BA    6   CR       2/3   TR  2   CH  2   NT  G             1/4   voff=0
BA    6   CR       3/4   TR  1   CH  1   NT  G-            1/4   voff=0
BA    6   CR         1   TR  2   CH  2   NT  A             1/4   voff=0
BA    6   CR         1   TR  3   CH  3   NT  E--           1/4   voff=0
BA    6   CR     1+1/2   TR  1   CH  1   NT  E-            1/4   voff=0
BA    6   CR     1+1/2   TR  2   CH  2   NT  F             1/4   voff=0
BA    6   CR     1+1/2   TR  4   CH 10   NT  A             1/4   voff=0
BA    6   CR     1+3/4   TR  2   CH  2   NT  G             1/4   voff=0
BA    6   CR         2   TR  3   CH  3   NT  F--           1/4   voff=0
BA    6   CR     2+1/4   TR  1   CH  1   NT  A-            1/4   voff=0
BA    6   CR     2+1/4   TR  2   CH  2   NT  E             1/4   voff=0
BA    6   CR     2+1/2   TR  4   CH 10   NT  A             1/4   voff=0
BA    6   CR     2+3/4   TR  1   CH  1   NT  B-            1/4   voff=0
BA    6   CR     2+3/4   TR  2   CH  2   NT  C             1/4   voff=0
BA    6   CR     2+3/4   TR  3   CH  3   NT  G--           1/2   voff=0
BA    6   CR         3   TR  2   CH  2   NT  D             1/4   voff=0
BA    6   CR     3+1/4   TR  1   CH  1   NT  Bb-           1/4   voff=0
BA    6   CR     3+1/4   TR  2   CH  2   NT  B-            1/2   voff=0
BA    6   CR     3+1/4   TR  3   CH  3   NT  G--           1/4   voff=0
BA    6   CR     3+1/2   TR  1   CH  1   NT  A-            1/4   voff=0
BA    6   CR     3+1/2   TR  3   CH  3   NT  A--           1/4   voff=0
BA    6   CR     3+1/2   TR  4   CH 10   NT  A             1/4   voff=0
BA    6   CR     3+3/4   TR  3   CH  3   NT  B--           1/4   voff=0

BA    7   CR         0   TR  1   CH  1   NT  C             1/4   voff=0
BA    7   CR         0   TR  2   CH  2   NT  C             1/4   voff=0
BA    7   CR         0   TR  3   CH  3   NT  C-            1/4   voff=0
BA    7   CR       1/3   TR  1   CH  1   NT  E             1/4   voff=0
BA    7   CR       1/2   TR  4   CH 10   NT  A             1/4   voff=0
BA    7   CR       2/3   TR  1   CH  1   NT  G             1/4   voff=0
BA    7   CR       3/4   TR  2   CH  2   NT  G-            1/4   voff=0
BA    7   CR         1   TR  1   CH  1   NT  A             1/4   voff=0
BA    7   CR         1   TR  3   CH  3   NT  E--           1/4   voff=0
BA    7   CR     1+1/2   TR  1   CH  1   NT  F             1/4   voff=0
BA    7   CR     1+1/2   TR  2   CH  2   NT  E-            1/4   voff=0
BA    7   CR     1+1/2   TR  4   CH 10   NT  A             1/4   voff=0
BA    7   CR     1+3/4   TR  1   CH  1   NT  G             1/4   voff=0
BA    7   CR         2   TR  3   CH  3   NT  F--           1/4   voff=0
BA    7   CR     2+1/4   TR  1   CH  1   NT  E             1/4   voff=0
BA    7   CR     2+1/4   TR  2   CH  2   NT  G-            1/4   voff=0
BA    7   CR     2+1/2   TR  4   CH 10   NT  A             1/4   voff=0
BA    7   CR     2+3/4   TR  1   CH  1   NT  C             1/4   voff=0
BA    7   CR     2+3/4   TR  2   CH  2   NT  E-            1/4   voff=0
BA    7   CR     2+3/4   TR  3   CH  3   NT  G--           1/2   voff=0
BA    7   CR         3   TR  1   CH  1   NT  D             1/4   voff=0
BA    7   CR         3   TR  2   CH  2   NT  F-            1/4   voff=0
BA    7   CR     3+1/4   TR  1   CH  1   NT  B-            1/2   voff=0
BA    7   CR     3+1/4   TR  2   CH  2   NT  D-            1/2   voff=0
BA    7   CR     3+1/4   TR  3   CH  3   NT  G--           1/4   voff=0
BA    7   CR     3+1/2   TR  3   CH  3   NT  A--           1/4   voff=0
BA    7   CR     3+1/2   TR  4   CH 10   NT  A             1/4   voff=0
BA    7   CR     3+3/4   TR  3   CH  3   NT  B--           1/4   voff=0

BA    8   CR         0   TR  3   CH  3   NT  C-            1/4   voff=0
BA    8   CR       1/2   TR  1   CH  1   NT  G             1/4   voff=0
BA    8   CR       1/2   TR  4   CH 10   NT  A             1/4   voff=0
BA    8   CR       3/4   TR  1   CH  1   NT  F#            1/4   voff=0
BA    8   CR         1   TR  1   CH  1   NT  F             1/4   voff=0
BA    8   CR         1   TR  3   CH  3   NT  E--           1/4   voff=0
BA    8   CR     1+1/4   TR  1   CH  1   NT  Eb            1/4   voff=0
BA    8   CR     1+1/2   TR  4   CH 10   NT  A             1/4   voff=0
BA    8   CR     1+3/4   TR  1   CH  1   NT  E             1/4   voff=0
BA    8   CR         2   TR  3   CH  3   NT  F--           1/4   voff=0
BA    8   CR     2+1/4   TR  1   CH  1   NT  G-            1/4   voff=0
BA    8   CR     2+1/2   TR  1   CH  1   NT  A-            1/4   voff=0
BA    8   CR     2+1/2   TR  4   CH 10   NT  A             1/4   voff=0
BA    8   CR     2+3/4   TR  1   CH  1   NT  C             1/4   voff=0
BA    8   CR     2+3/4   TR  3   CH  3   NT  G--           1/2   voff=0
BA    8   CR     3+1/4   TR  1   CH  1   NT  A-            1/4   voff=0
BA    8   CR     3+1/4   TR  3   CH  3   NT  G--           1/4   voff=0
BA    8   CR     3+1/2   TR  1   CH  1   NT  C             1/4   voff=0
BA    8   CR     3+1/2   TR  3   CH  3   NT  A--           1/4   voff=0
BA    8   CR     3+1/2   TR  4   CH 10   NT  A             1/4   voff=0
BA    8   CR     3+3/4   TR  1   CH  1   NT  D             1/4   voff=0
BA    8   CR     3+3/4   TR  3   CH  3   NT  B--           1/4   voff=0

BA    9   CR         0   TR  3   CH  3   NT  C-            1/4   voff=0
BA    9   CR       1/2   TR  1   CH  1   NT  G             1/4   voff=0
BA    9   CR       1/2   TR  4   CH 10   NT  A             1/4   voff=0
BA    9   CR       3/4   TR  1   CH  1   NT  F#            1/4   voff=0
BA    9   CR         1   TR  1   CH  1   NT  F             1/4   voff=0
BA    9   CR         1   TR  3   CH  3   NT  E--           1/4   voff=0
BA    9   CR     1+1/4   TR  1   CH  1   NT  Eb            1/4   voff=0
BA    9   CR     1+1/2   TR  4   CH 10   NT  A             1/4   voff=0
BA    9   CR     1+3/4   TR  1   CH  1   NT  E             1/4   voff=0
BA    9   CR         2   TR  3   CH  3   NT  F--           1/4   voff=0
BA    9   CR     2+1/4   TR  1   CH  1   NT  C'            1/4   voff=0
BA    9   CR     2+1/4   TR  2   CH  2   NT  G             1/4   voff=0
BA    9   CR     2+1/4   TR  2   CH  2   NT  G'            1/4   voff=0
BA    9   CR     2+1/2   TR  4   CH 10   NT  A             1/4   voff=0
BA    9   CR     2+3/4   TR  1   CH  1   NT  C'            1/4   voff=0
BA    9   CR     2+3/4   TR  2   CH  2   NT  Eb            1/4   voff=0
BA    9   CR     2+3/4   TR  2   CH  2   NT  Eb'           1/4   voff=0
BA    9   CR     2+3/4   TR  3   CH  3   NT  G--           1/2   voff=0
BA    9   CR         3   TR  1   CH  1   NT  C'            1/4   voff=0
BA    9   CR         3   TR  2   CH  2   NT  E             1/4   voff=0
BA    9   CR         3   TR  2   CH  2   NT  E'            1/4   voff=0
BA    9   CR     3+1/4   TR  3   CH  3   NT  G--           1/4   voff=0
BA    9   CR     3+1/2   TR  3   CH  3   NT  A--           1/4   voff=0
BA    9   CR     3+1/2   TR  4   CH 10   NT  A             1/4   voff=0
BA    9   CR     3+3/4   TR  3   CH  3   NT  B--           1/4   voff=0

BA   10   CR         0   TR  3   CH  3   NT  C-            1/4   voff=0
BA   10   CR       1/2   TR  1   CH  1   NT  G             1/4   voff=0
BA   10   CR       1/2   TR  4   CH 10   NT  A             1/4   voff=0
BA   10   CR       3/4   TR  1   CH  1   NT  F#            1/4   voff=0
BA   10   CR         1   TR  1   CH  1   NT  F             1/4   voff=0
BA   10   CR         1   TR  3   CH  3   NT  E--           1/4   voff=0
BA   10   CR     1+1/4   TR  1   CH  1   NT  Eb            1/4   voff=0
BA   10   CR     1+1/2   TR  4   CH 10   NT  A             1/4   voff=0
BA   10   CR     1+3/4   TR  1   CH  1   NT  E             1/4   voff=0
BA   10   CR         2   TR  3   CH  3   NT  F--           1/4   voff=0
BA   10   CR     2+1/4   TR  1   CH  1   NT  G-            1/4   voff=0
BA   10   CR     2+1/2   TR  1   CH  1   NT  A-            1/4   voff=0
BA   10   CR     2+1/2   TR  4   CH 10   NT  A             1/4   voff=0
BA   10   CR     2+3/4   TR  1   CH  1   NT  C             1/4   voff=0
BA   10   CR     2+3/4   TR  3   CH  3   NT  G--           1/2   voff=0
BA   10   CR     3+1/4   TR  1   CH  1   NT  A-            1/4   voff=0
BA   10   CR     3+1/4   TR  3   CH  3   NT  G--           1/4   voff=0
BA   10   CR     3+1/2   TR  1   CH  1   NT  C             1/4   voff=0
BA   10   CR     3+1/2   TR  3   CH  3   NT  A--           1/4   voff=0
BA   10   CR     3+1/2   TR  4   CH 10   NT  A             1/4   voff=0
BA   10   CR     3+3/4   TR  1   CH  1   NT  D             1/4   voff=0
BA   10   CR     3+3/4   TR  3   CH  3   NT  B--           1/4   voff=0

BA   11   CR         0   TR  1   CH  1   NT  Eb              1   voff=0
BA   11   CR         0   TR  2   CH  2   NT  G-              1   voff=0
BA   11   CR         0   TR  3   CH  3   NT  G#--            1   voff=0
BA   11   CR       1/2   TR  4   CH 10   NT  A             1/4   voff=0
BA   11   CR         1   TR  1   CH  1   NT  D               1   voff=0
BA   11   CR         1   TR  2   CH  2   NT  F-              1   voff=0
BA   11   CR         1   TR  2   CH  2   NT  Bb-             1   voff=0
BA   11   CR         1   TR  3   CH  3   NT  B--             1   voff=0
BA   11   CR     1+1/2   TR  4   CH 10   NT  A             1/4   voff=0
BA   11   CR         2   TR  1   CH  1   NT  C           1+3/4   voff=0
BA   11   CR         2   TR  2   CH  2   NT  E-          1+3/4   voff=0
BA   11   CR         2   TR  2   CH  2   NT  C           1+3/4   voff=0
BA   11   CR         2   TR  3   CH  3   NT  C-            3/4   voff=0
BA   11   CR     2+1/2   TR  4   CH 10   NT  A             1/4   voff=0
BA   11   CR     2+3/4   TR  3   CH  3   NT  G--           1/4   voff=0
BA   11   CR     3+1/4   TR  3   CH  3   NT  G--           1/4   voff=0
BA   11   CR     3+1/2   TR  3   CH  3   NT  A--           1/4   voff=0
BA   11   CR     3+1/2   TR  4   CH 10   NT  A             1/4   voff=0
BA   11   CR     3+3/4   TR  3   CH  3   NT  B--           1/4   voff=0

BA   12   CR         0   TR  3   CH  3   NT  C-            1/4   voff=0
BA   12   CR       1/2   TR  1   CH  1   NT  G             1/4   voff=0
BA   12   CR       1/2   TR  4   CH 10   NT  A             1/4   voff=0
BA   12   CR       3/4   TR  1   CH  1   NT  F#            1/4   voff=0
BA   12   CR         1   TR  1   CH  1   NT  F             1/4   voff=0
BA   12   CR         1   TR  3   CH  3   NT  E--           1/4   voff=0
BA   12   CR     1+1/4   TR  1   CH  1   NT  Eb            1/4   voff=0
BA   12   CR     1+1/2   TR  4   CH 10   NT  A             1/4   voff=0
BA   12   CR     1+3/4   TR  1   CH  1   NT  E             1/4   voff=0
BA   12   CR         2   TR  3   CH  3   NT  F--           1/4   voff=0
BA   12   CR     2+1/4   TR  1   CH  1   NT  G-            1/4   voff=0
BA   12   CR     2+1/2   TR  1   CH  1   NT  A-            1/4   voff=0
BA   12   CR     2+1/2   TR  4   CH 10   NT  A             1/4   voff=0
BA   12   CR     2+3/4   TR  1   CH  1   NT  C             1/4   voff=0
BA   12   CR     2+3/4   TR  3   CH  3   NT  G--           1/2   voff=0
BA   12   CR     3+1/4   TR  1   CH  1   NT  A-            1/4   voff=0
BA   12   CR     3+1/4   TR  3   CH  3   NT  G--           1/4   voff=0
BA   12   CR     3+1/2   TR  1   CH  1   NT  C             1/4   voff=0
BA   12   CR     3+1/2   TR  3   CH  3   NT  A--           1/4   voff=0
BA   12   CR     3+1/2   TR  4   CH 10   NT  A             1/4   voff=0
BA   12   CR     3+3/4   TR  1   CH  1   NT  D             1/4   voff=0
BA   12   CR     3+3/4   TR  3   CH  3   NT  B--           1/4   voff=0

BA   13   CR         0   TR  3   CH  3   NT  C-            1/4   voff=0
BA   13   CR       1/2   TR  1   CH  1   NT  G             1/4   voff=0
BA   13   CR       1/2   TR  4   CH 10   NT  A             1/4   voff=0
BA   13   CR       3/4   TR  1   CH  1   NT  F#            1/4   voff=0
BA   13   CR         1   TR  1   CH  1   NT  F             1/4   voff=0
BA   13   CR         1   TR  3   CH  3   NT  E--           1/4   voff=0
BA   13   CR     1+1/4   TR  1   CH  1   NT  Eb            1/4   voff=0
BA   13   CR     1+1/2   TR  4   CH 10   NT  A             1/4   voff=0
BA   13   CR     1+3/4   TR  1   CH  1   NT  E             1/4   voff=0
BA   13   CR         2   TR  3   CH  3   NT  F--           1/4   voff=0
BA   13   CR     2+1/4   TR  1   CH  1   NT  C'            1/4   voff=0
BA   13   CR     2+1/4   TR  2   CH  2   NT  G             1/4   voff=0
BA   13   CR     2+1/4   TR  2   CH  2   NT  G'            1/4   voff=0
BA   13   CR     2+1/2   TR  4   CH 10   NT  A             1/4   voff=0
BA   13   CR     2+3/4   TR  1   CH  1   NT  C'            1/4   voff=0
BA   13   CR     2+3/4   TR  2   CH  2   NT  Eb            1/4   voff=0
BA   13   CR     2+3/4   TR  2   CH  2   NT  Eb'           1/4   voff=0
BA   13   CR     2+3/4   TR  3   CH  3   NT  G--           1/2   voff=0
BA   13   CR         3   TR  1   CH  1   NT  C'            1/4   voff=0
BA   13   CR         3   TR  2   CH  2   NT  E             1/4   voff=0
BA   13   CR         3   TR  2   CH  2   NT  E'            1/4   voff=0
BA   13   CR     3+1/4   TR  3   CH  3   NT  G--           1/4   voff=0
BA   13   CR     3+1/2   TR  3   CH  3   NT  A--           1/4   voff=0
BA   13   CR     3+1/2   TR  4   CH 10   NT  A             1/4   voff=0
BA   13   CR     3+3/4   TR  3   CH  3   NT  B--           1/4   voff=0

BA   14   CR         0   TR  3   CH  3   NT  C-            1/4   voff=0
BA   14   CR       1/2   TR  1   CH  1   NT  G             1/4   voff=0
BA   14   CR       1/2   TR  4   CH 10   NT  A             1/4   voff=0
BA   14   CR       3/4   TR  1   CH  1   NT  F#            1/4   voff=0
BA   14   CR         1   TR  1   CH  1   NT  F             1/4   voff=0
BA   14   CR         1   TR  3   CH  3   NT  E--           1/4   voff=0
BA   14   CR     1+1/4   TR  1   CH  1   NT  Eb            1/4   voff=0
BA   14   CR     1+1/2   TR  4   CH 10   NT  A             1/4   voff=0
BA   14   CR     1+3/4   TR  1   CH  1   NT  E             1/4   voff=0
BA   14   CR         2   TR  3   CH  3   NT  F--           1/4   voff=0
BA   14   CR     2+1/4   TR  1   CH  1   NT  G-            1/4   voff=0
BA   14   CR     2+1/2   TR  1   CH  1   NT  A-            1/4   voff=0
BA   14   CR     2+1/2   TR  4   CH 10   NT  A             1/4   voff=0
BA   14   CR     2+3/4   TR  1   CH  1   NT  C             1/4   voff=0
BA   14   CR     2+3/4   TR  3   CH  3   NT  G--           1/2   voff=0
BA   14   CR     3+1/4   TR  1   CH  1   NT  A-            1/4   voff=0
BA   14   CR     3+1/4   TR  3   CH  3   NT  G--           1/4   voff=0
BA   14   CR     3+1/2   TR  1   CH  1   NT  C             1/4   voff=0
BA   14   CR     3+1/2   TR  3   CH  3   NT  A--           1/4   voff=0
BA   14   CR     3+1/2   TR  4   CH 10   NT  A             1/4   voff=0
BA   14   CR     3+3/4   TR  1   CH  1   NT  D             1/4   voff=0
BA   14   CR     3+3/4   TR  3   CH  3   NT  B--           1/4   voff=0

BA   15   CR         0   TR  1   CH  1   NT  Eb              1   voff=0
BA   15   CR         0   TR  2   CH  2   NT  G-              1   voff=0
BA   15   CR         0   TR  3   CH  3   NT  G#--            1   voff=0
BA   15   CR       1/2   TR  4   CH 10   NT  A             1/4   voff=0
BA   15   CR         1   TR  1   CH  1   NT  D               1   voff=0
BA   15   CR         1   TR  2   CH  2   NT  F-              1   voff=0
BA   15   CR         1   TR  2   CH  2   NT  Bb-             1   voff=0
BA   15   CR         1   TR  3   CH  3   NT  B--             1   voff=0
BA   15   CR     1+1/2   TR  4   CH 10   NT  A             1/4   voff=0
BA   15   CR         2   TR  1   CH  1   NT  C           1+3/4   voff=0
BA   15   CR         2   TR  2   CH  2   NT  E-          1+3/4   voff=0
BA   15   CR         2   TR  2   CH  2   NT  C           1+3/4   voff=0
BA   15   CR         2   TR  3   CH  3   NT  C-            3/4   voff=0
BA   15   CR     2+1/2   TR  4   CH 10   NT  A             1/4   voff=0
BA   15   CR     2+3/4   TR  3   CH  3   NT  G--           1/4   voff=0
BA   15   CR     3+1/4   TR  3   CH  3   NT  G--           1/4   voff=0
BA   15   CR     3+1/2   TR  3   CH  3   NT  A--           1/4   voff=0
BA   15   CR     3+1/2   TR  4   CH 10   NT  A             1/4   voff=0
BA   15   CR     3+3/4   TR  3   CH  3   NT  B--           1/4   voff=0

BA   16   CR         0   TR  1   CH  1   NT  C             1/4   voff=0
BA   16   CR         0   TR  2   CH  2   NT  G#              2   voff=0
BA   16   CR         0   TR  2   CH  2   NT  C'              2   voff=0
BA   16   CR         0   TR  3   CH  3   NT  F--           1/4   voff=0
BA   16   CR         0   TR  4   CH 10   NT  C#'           1/6   voff=0
BA   16   CR       1/4   TR  1   CH  1   NT  C             1/4   voff=0
BA   16   CR       1/2   TR  3   CH  3   NT  F--           1/4   voff=0
BA   16   CR       1/2   TR  4   CH 10   NT  A             1/4   voff=0
BA   16   CR       3/4   TR  1   CH  1   NT  C             1/4   voff=0
BA   16   CR       5/6   TR  4   CH 10   NT  Bb            1/6   voff=0
BA   16   CR         1   TR  3   CH  3   NT  F#--          1/4   voff=0
BA   16   CR         1   TR  4   CH 10   NT  C#'           1/6   voff=0
BA   16   CR     1+1/4   TR  1   CH  1   NT  C             1/4   voff=0
BA   16   CR     1+1/2   TR  1   CH  1   NT  D             1/4   voff=0
BA   16   CR     1+1/2   TR  3   CH  3   NT  F#--          1/4   voff=0
BA   16   CR     1+1/2   TR  4   CH 10   NT  A             1/4   voff=0
BA   16   CR     1+5/6   TR  4   CH 10   NT  Bb            1/6   voff=0
BA   16   CR         2   TR  1   CH  1   NT  E             1/4   voff=0
BA   16   CR         2   TR  2   CH  2   NT  G               2   voff=0
BA   16   CR         2   TR  2   CH  2   NT  C'              2   voff=0
BA   16   CR         2   TR  3   CH  3   NT  G--           1/4   voff=0
BA   16   CR         2   TR  4   CH 10   NT  C#'           1/6   voff=0
BA   16   CR     2+1/4   TR  1   CH  1   NT  C             1/4   voff=0
BA   16   CR     2+1/2   TR  3   CH  3   NT  A--           1/4   voff=0
BA   16   CR     2+1/2   TR  4   CH 10   NT  A             1/4   voff=0
BA   16   CR     2+3/4   TR  1   CH  1   NT  A-            1/4   voff=0
BA   16   CR     2+5/6   TR  4   CH 10   NT  Bb            1/6   voff=0
BA   16   CR         3   TR  1   CH  1   NT  G-            1/2   voff=0
BA   16   CR         3   TR  3   CH  3   NT  Bb--          1/4   voff=0
BA   16   CR         3   TR  4   CH 10   NT  C#'           1/6   voff=0
BA   16   CR     3+1/2   TR  3   CH  3   NT  G--           1/4   voff=0
BA   16   CR     3+1/2   TR  4   CH 10   NT  A             1/4   voff=0
BA   16   CR     3+5/6   TR  4   CH 10   NT  Bb            1/6   voff=0

BA   17   CR         0   TR  1   CH  1   NT  C             1/4   voff=0
BA   17   CR         0   TR  2   CH  2   NT  F               1   voff=0
BA   17   CR         0   TR  2   CH  2   NT  C'              1   voff=0
