
BA    1   CR         0   TR  0   CH 16   Tempo 120
BA    1   CR         0   TR  0   CH 16   Text type 3: "Brave Way"
BA    1   CR         0   TR  0   CH 16   Time signature 4/4, clocks/mtick 7, crotchets/32ndnote 161
BA    1   CR         0   TR  0   CH 16   End of track
BA    1   CR         0   TR  1   CH 16   Text type 3: "Strings 3 #5 (MIDI)"
BA    1   CR         0   TR  4   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &64 &02
BA    1   CR         0   TR  4   CH  4   ST &B3 &06 &40
BA    1   CR         0   TR  4   CH  4   ST &B3 &65 &7F
BA    1   CR         0   TR  4   CH  4   ST &B3 &64 &7F
BA    1   CR         0   TR  4   CH  4   Instrument 58
BA    1   CR         0   TR  4   CH  4   ST &B3 &00 &00
BA    1   CR         0   TR  4   CH  4   Channel volume 112
BA    1   CR         0   TR  4   CH  4   ST &B3 &0A &60
BA    1   CR         0   TR  4   CH  4   ST &B3 &5D &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &5B &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &5C &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &5F &00
BA    1   CR         0   TR  5   CH 16   Text type 3: "French Horn #2 (MIDI)"
BA    1   CR         0   TR  5   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  5   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  5   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &64 &01
BA    1   CR         0   TR  5   CH  5   ST &B4 &06 &40
BA    1   CR         0   TR  5   CH  5   ST &B4 &26 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &65 &7F
BA    1   CR         0   TR  5   CH  5   ST &B4 &64 &7F
BA    1   CR         0   TR  5   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &64 &02
BA    1   CR         0   TR  5   CH  5   ST &B4 &06 &40
BA    1   CR         0   TR  5   CH  5   ST &B4 &65 &7F
BA    1   CR         0   TR  5   CH  5   ST &B4 &64 &7F
BA    1   CR         0   TR  5   CH  5   Instrument 61
BA    1   CR         0   TR  5   CH  5   ST &B4 &00 &00
BA    1   CR         0   TR  5   CH  5   Channel volume 127
BA    1   CR         0   TR  5   CH  5   ST &B4 &0A &30
BA    1   CR         0   TR  5   CH  5   ST &B4 &5D &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &5B &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &5C &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &5F &00
BA    1   CR         0   TR  6   CH 16   Text type 3: "Tuba (MIDI)"
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &01
BA    1   CR         0   TR  6   CH  6   ST &B5 &06 &40
BA    1   CR         0   TR  6   CH  6   ST &B5 &26 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &7F
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &7F
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &02
BA    1   CR         0   TR  6   CH  6   ST &B5 &06 &40
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &7F
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &7F
BA    1   CR         0   TR  6   CH  6   Instrument 59
BA    1   CR         0   TR  6   CH  6   ST &B5 &00 &00
BA    1   CR         0   TR  6   CH  6   Channel volume 112
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &20
BA    1   CR         0   TR  6   CH  6   ST &B5 &5D &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &5B &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &5C &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &5F &00
BA    1   CR         0   TR  7   CH 16   Text type 3: "Harp (MIDI)"
BA    1   CR         0   TR  7   CH  7   ST &B6 &64 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &65 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &06 &0C
BA    1   CR         0   TR  7   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  7   CH  7   ST &B6 &65 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &64 &01
BA    1   CR         0   TR  7   CH  7   ST &B6 &06 &40
BA    1   CR         0   TR  7   CH  7   ST &B6 &26 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &65 &7F
BA    1   CR         0   TR  7   CH  7   ST &B6 &64 &7F
BA    1   CR         0   TR  7   CH  7   ST &B6 &65 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &64 &02
BA    1   CR         0   TR  7   CH  7   ST &B6 &06 &40
BA    1   CR         0   TR  7   CH  7   ST &B6 &65 &7F
BA    1   CR         0   TR  7   CH  7   ST &B6 &64 &7F
BA    1   CR         0   TR  7   CH  7   Instrument 47
BA    1   CR         0   TR  7   CH  7   ST &B6 &00 &00
BA    1   CR         0   TR  7   CH  7   Channel volume 96
BA    1   CR         0   TR  7   CH  7   ST &B6 &0A &30
BA    1   CR         0   TR  7   CH  7   ST &B6 &5D &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &5B &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &5C &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &5F &00
BA    1   CR         0   TR  8   CH 16   Text type 3: "Church Bells (MIDI)"
BA    1   CR         0   TR  8   CH  8   ST &B7 &64 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &65 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &06 &0C
BA    1   CR         0   TR  8   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  8   CH  8   ST &B7 &65 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &64 &01
BA    1   CR         0   TR  8   CH  8   ST &B7 &06 &40
BA    1   CR         0   TR  8   CH  8   ST &B7 &26 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &65 &7F
BA    1   CR         0   TR  8   CH  8   ST &B7 &64 &7F
BA    1   CR         0   TR  8   CH  8   ST &B7 &65 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &64 &02
BA    1   CR         0   TR  8   CH  8   ST &B7 &06 &40
BA    1   CR         0   TR  8   CH  8   ST &B7 &65 &7F
BA    1   CR         0   TR  8   CH  8   ST &B7 &64 &7F
BA    1   CR         0   TR  8   CH  8   Instrument 15
BA    1   CR         0   TR  8   CH  8   ST &B7 &00 &00
BA    1   CR         0   TR  8   CH  8   Channel volume 127
BA    1   CR         0   TR  8   CH  8   ST &B7 &0A &58
BA    1   CR         0   TR  8   CH  8   ST &B7 &5D &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &5B &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &5C &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &5F &00
BA    1   CR         0   TR  9   CH 16   Text type 3: "Metal (MIDI)"
BA    1   CR         0   TR  9   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  9   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  9   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  9   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  9   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  9   CH 10   ST &B9 &64 &01
BA    1   CR         0   TR  9   CH 10   ST &B9 &06 &40
BA    1   CR         0   TR  9   CH 10   ST &B9 &26 &00
BA    1   CR         0   TR  9   CH 10   ST &B9 &65 &7F
BA    1   CR         0   TR  9   CH 10   ST &B9 &64 &7F
BA    1   CR         0   TR  9   CH 10   Instrument 49
BA    1   CR         0   TR  9   CH 10   ST &B9 &00 &00
BA    1   CR         0   TR  9   CH 10   Channel volume 96
BA    1   CR         0   TR  9   CH 10   ST &B9 &0A &50
BA    1   CR         0   TR  9   CH 10   ST &B9 &5D &00
BA    1   CR         0   TR  9   CH 10   ST &B9 &5B &00
BA    1   CR         0   TR  9   CH 10   ST &B9 &5C &00
BA    1   CR         0   TR  9   CH 10   ST &B9 &5F &00
BA    1   CR         0   TR 10   CH 16   Text type 3: "Timpani (MIDI)"
BA    1   CR         0   TR 10   CH 11   ST &BA &64 &00
BA    1   CR         0   TR 10   CH 11   ST &BA &65 &00
BA    1   CR         0   TR 10   CH 11   ST &BA &06 &0C
BA    1   CR         0   TR 10   CH 11   ST &EA &00 &40
BA    1   CR         0   TR 10   CH 11   ST &BA &65 &00
BA    1   CR         0   TR 10   CH 11   ST &BA &64 &01
BA    1   CR         0   TR 10   CH 11   ST &BA &06 &40
BA    1   CR         0   TR 10   CH 11   ST &BA &26 &00
BA    1   CR         0   TR 10   CH 11   ST &BA &65 &7F
BA    1   CR         0   TR 10   CH 11   ST &BA &64 &7F
BA    1   CR         0   TR 10   CH  9   ST &B8 &64 &00
BA    1   CR         0   TR 10   CH  9   ST &B8 &65 &00
BA    1   CR         0   TR 10   CH  9   ST &B8 &06 &0C
BA    1   CR         0   TR 10   CH  9   ST &E8 &00 &40
BA    1   CR         0   TR 10   CH  9   ST &B8 &65 &00
BA    1   CR         0   TR 10   CH  9   ST &B8 &64 &01
BA    1   CR         0   TR 10   CH  9   ST &B8 &06 &40
BA    1   CR         0   TR 10   CH  9   ST &B8 &26 &00
BA    1   CR         0   TR 10   CH  9   ST &B8 &65 &7F
BA    1   CR         0   TR 10   CH  9   ST &B8 &64 &7F
BA    1   CR         0   TR 10   CH 11   ST &BA &65 &00
BA    1   CR         0   TR 10   CH 11   ST &BA &64 &02
BA    1   CR         0   TR 10   CH 11   ST &BA &06 &40
BA    1   CR         0   TR 10   CH 11   ST &BA &65 &7F
BA    1   CR         0   TR 10   CH 11   ST &BA &64 &7F
BA    1   CR         0   TR 10   CH  9   ST &B8 &65 &00
BA    1   CR         0   TR 10   CH  9   ST &B8 &64 &02
BA    1   CR         0   TR 10   CH  9   ST &B8 &06 &40
BA    1   CR         0   TR 10   CH  9   ST &B8 &65 &7F
BA    1   CR         0   TR 10   CH  9   ST &B8 &64 &7F
BA    1   CR         0   TR 10   CH 11   Instrument 48
BA    1   CR         0   TR 10   CH  9   Instrument 48
BA    1   CR         0   TR 10   CH 11   ST &BA &00 &00
BA    1   CR         0   TR 10   CH  9   ST &B8 &00 &00
BA    1   CR         0   TR 10   CH 11   Channel volume 96
BA    1   CR         0   TR 10   CH  9   Channel volume 96
BA    1   CR         0   TR 10   CH 11   ST &BA &0A &40
BA    1   CR         0   TR 10   CH  9   ST &B8 &0A &40
BA    1   CR         0   TR 10   CH 11   ST &BA &5D &00
BA    1   CR         0   TR 10   CH  9   ST &B8 &5D &00
BA    1   CR         0   TR 10   CH 11   ST &BA &5B &00
BA    1   CR         0   TR 10   CH  9   ST &B8 &5B &00
BA    1   CR         0   TR 10   CH 11   ST &BA &5C &00
BA    1   CR         0   TR 10   CH  9   ST &B8 &5C &00
BA    1   CR         0   TR 10   CH 11   ST &BA &5F &00
BA    1   CR         0   TR 10   CH  9   ST &B8 &5F &00
BA    1   CR         0   TR 10   CH  9   NT  E--           7/8   von=127   voff=80
BA    1   CR         1   TR  9   CH 10   NT  E--           1/8   von=95   voff=80
BA    1   CR         1   TR 10   CH  9   NT  E--           1/8   von=31   voff=80
BA    1   CR     1+1/8   TR  9   CH 10   NT  E--           1/8   von=79   voff=80
BA    1   CR     1+1/8   TR 10   CH  9   NT  E--           1/8   voff=80
BA    1   CR     1+1/4   TR  9   CH 10   NT  E--           1/8   voff=80
BA    1   CR     1+1/4   TR 10   CH  9   NT  E--           1/8   von=47   voff=80
BA    1   CR     1+3/8   TR 10   CH  9   NT  E--           1/8   voff=80
BA    1   CR     1+1/2   TR 10   CH  9   NT  E--           1/8   von=63   voff=80
BA    1   CR     1+5/8   TR 10   CH  9   NT  E--           1/8   von=79   voff=80
BA    1   CR     1+3/4   TR 10   CH  9   NT  E--           1/8   von=95   voff=80
BA    1   CR     1+7/8   TR 10   CH  9   NT  E--           1/8   voff=80
BA    1   CR         2   TR  1   CH  1   NT  E--           1/4   von=95   voff=80
BA    1   CR         2   TR  3   CH  3   NT  E           1+7/8   von=95   voff=80
BA    1   CR         2   TR  4   CH  4   NT  E-              2   von=95   voff=80
BA    1   CR         2   TR  5   CH  5   NT  B-              2   von=95   voff=80
BA    1   CR         2   TR  5   CH  5   NT  G-              2   voff=80
BA    1   CR         2   TR  6   CH  6   NT  E-              2   von=95   voff=80
BA    1   CR         2   TR  9   CH 10   NT  E--           1/8   von=95   voff=80
BA    1   CR         2   TR  9   CH 10   NT  A-            1/8   voff=80
BA    1   CR         2   TR 10   CH  9   NT  E--         1+7/8   voff=80
BA    1   CR         2   TR 10   CH  9   NT  E---        1+7/8   voff=80
BA    1   CR     2+1/2   TR  1   CH  1   NT  E--           1/4   voff=80
BA    1   CR     2+1/2   TR  9   CH 10   NT  E--           1/8   voff=80
BA    1   CR     3+1/2   TR  1   CH  1   NT  E--           1/4   voff=80
BA    1   CR     3+1/2   TR  9   CH 10   NT  E--           1/8   voff=80
BA    1   CR     3+3/4   TR  9   CH 10   NT  E--           1/8   voff=80

BA    2   CR         0   TR  1   CH  1   NT  D--           1/4   voff=80
BA    2   CR         0   TR  3   CH  3   NT  F#            5/8   voff=80
BA    2   CR         0   TR  4   CH  4   NT  F#-           3/4   voff=80
BA    2   CR         0   TR  5   CH  5   NT  A-              2   voff=80
BA    2   CR         0   TR  5   CH  5   NT  F#-             2   voff=80
BA    2   CR         0   TR  6   CH  6   NT  D-              2   voff=80
BA    2   CR         0   TR  9   CH 10   NT  E--           1/8   voff=80
BA    2   CR       1/2   TR  1   CH  1   NT  D--           1/4   voff=80
BA    2   CR       1/2   TR  9   CH 10   NT  E--           1/8   voff=80
BA    2   CR       3/4   TR  3   CH  3   NT  B-            5/8   voff=80
BA    2   CR       3/4   TR  4   CH  4   NT  B--           3/4   voff=80
BA    2   CR     1+1/2   TR  1   CH  1   NT  D--           1/4   voff=80
BA    2   CR     1+1/2   TR  3   CH  3   NT  F#            3/8   voff=80
BA    2   CR     1+1/2   TR  4   CH  4   NT  F#-           1/2   voff=80
BA    2   CR         2   TR  1   CH  1   NT  C--           1/4   voff=80
BA    2   CR         2   TR  3   CH  3   NT  G           1+7/8   voff=80
BA    2   CR         2   TR  4   CH  4   NT  G-              2   voff=80
BA    2   CR         2   TR  5   CH  5   NT  G-              2   voff=80
BA    2   CR         2   TR  5   CH  5   NT  E-              2   voff=80
BA    2   CR         2   TR  6   CH  6   NT  C-              2   voff=80
BA    2   CR         2   TR  9   CH 10   NT  E--           1/8   voff=80
BA    2   CR     2+1/2   TR  1   CH  1   NT  C--           1/4   voff=80
BA    2   CR     2+1/2   TR  9   CH 10   NT  E--           1/8   voff=80
BA    2   CR     3+1/2   TR  1   CH  1   NT  C--           1/4   voff=80
BA    2   CR     3+1/2   TR  9   CH 10   NT  E--           1/8   voff=80
BA    2   CR     3+3/4   TR  9   CH 10   NT  E--           1/8   von=79   voff=80

BA    3   CR         0   TR  1   CH  1   NT  D--           1/4   voff=80
BA    3   CR         0   TR  3   CH  3   NT  A           1+7/8   voff=80
BA    3   CR         0   TR  4   CH  4   NT  A-              2   voff=80
BA    3   CR         0   TR  5   CH  5   NT  F#-             2   voff=80
BA    3   CR         0   TR  5   CH  5   NT  D-              2   voff=80
BA    3   CR         0   TR  6   CH  6   NT  A--             2   voff=80
BA    3   CR         0   TR  9   CH 10   NT  E--           1/8   von=95   voff=80
BA    3   CR       1/2   TR  1   CH  1   NT  D--           1/4   voff=80
BA    3   CR       1/2   TR  9   CH 10   NT  E--           1/8   voff=80
BA    3   CR         1   TR  9   CH 10   NT  E--           1/8   voff=80
BA    3   CR     1+1/8   TR  9   CH 10   NT  E--           1/8   voff=80
BA    3   CR     1+1/4   TR  9   CH 10   NT  E--           1/8   von=63   voff=80
BA    3   CR     1+1/3   TR  9   CH 10   NT  E--          1/24   voff=80
BA    3   CR    1+5/12   TR  9   CH 10   NT  E--          1/24   von=79   voff=80
BA    3   CR     1+1/2   TR  1   CH  1   NT  D--           1/4   voff=80
BA    3   CR     1+1/2   TR  9   CH 10   NT  E--          1/24   voff=80
BA    3   CR    1+7/12   TR  9   CH 10   NT  E--          1/24   voff=80
BA    3   CR     1+2/3   TR  9   CH 10   NT  E--          1/24   voff=80
BA    3   CR         2   TR  1   CH  1   NT  E--           1/4   voff=80
BA    3   CR         2   TR  3   CH  3   NT  B           2+3/8   voff=80
BA    3   CR         2   TR  4   CH  4   NT  B-          2+1/2   voff=80
BA    3   CR         2   TR  5   CH  5   NT  G-              2   voff=80
BA    3   CR         2   TR  5   CH  5   NT  E-              4   voff=80
BA    3   CR         2   TR  6   CH  6   NT  B--             4   voff=80
BA    3   CR    2+1/24   TR  9   CH 10   NT  E--           1/8   von=95   voff=80
BA    3   CR     2+1/2   TR  1   CH  1   NT  E--           1/4   voff=80
BA    3   CR   2+13/24   TR  9   CH 10   NT  E--           1/8   voff=80
BA    3   CR     3+1/2   TR  1   CH  1   NT  E--           1/4   voff=80
BA    3   CR   3+13/24   TR  9   CH 10   NT  E--           1/8   voff=80
BA    3   CR   3+19/24   TR  9   CH 10   NT  E--           1/8   voff=80

BA    4   CR         0   TR  1   CH  1   NT  E--           1/4   voff=80
BA    4   CR         0   TR  5   CH  5   NT  B-              2   voff=80
BA    4   CR         0   TR  9   CH 10   NT  E--           1/8   voff=80
BA    4   CR       1/2   TR  1   CH  1   NT  E--           1/4   voff=80
BA    4   CR       1/2   TR  3   CH  3   NT  A             7/8   voff=80
BA    4   CR       1/2   TR  4   CH  4   NT  A-              1   voff=80
BA    4   CR       1/2   TR  9   CH 10   NT  E--           1/8   voff=80
BA    4   CR     1+1/2   TR  1   CH  1   NT  E--           1/4   voff=80
BA    4   CR     1+1/2   TR  3   CH  3   NT  G             3/8   voff=80
BA    4   CR     1+1/2   TR  4   CH  4   NT  G-            1/2   voff=80
BA    4   CR         2   TR  1   CH  1   NT  B--           1/4   voff=80
BA    4   CR         2   TR  3   CH  3   NT  F#          2+7/8   voff=80
BA    4   CR         2   TR  4   CH  4   NT  F#-             3   voff=80
BA    4   CR         2   TR  5   CH  5   NT  B-              4   voff=80
BA    4   CR         2   TR  5   CH  5   NT  F#-             4   voff=80
BA    4   CR         2   TR  6   CH  6   NT  Eb-             4   voff=80
BA    4   CR         2   TR  9   CH 10   NT  E--           1/8   voff=80
BA    4   CR     2+1/2   TR  1   CH  1   NT  B--           1/4   voff=80
BA    4   CR     2+1/2   TR  9   CH 10   NT  E--           1/8   voff=80
BA    4   CR     3+1/2   TR  1   CH  1   NT  B--           1/4   voff=80
BA    4   CR     3+1/2   TR  9   CH 10   NT  E--           1/8   voff=80
BA    4   CR     3+3/4   TR  9   CH 10   NT  E--           1/8   von=79   voff=80

BA    5   CR         0   TR  1   CH  1   NT  B--           1/4   voff=80
BA    5   CR         0   TR  9   CH 10   NT  E--           1/8   von=95   voff=80
BA    5   CR       1/2   TR  1   CH  1   NT  B--           1/4   voff=80
BA    5   CR       1/2   TR  9   CH 10   NT  E--           1/8   voff=80
BA    5   CR         1   TR  3   CH  3   NT  B-            7/8   voff=80
BA    5   CR         1   TR  4   CH  4   NT  B--             1   voff=80
BA    5   CR         1   TR  9   CH 10   NT  E--           1/8   voff=80
BA    5   CR     1+1/8   TR  9   CH 10   NT  E--           1/8   voff=80
BA    5   CR     1+1/4   TR  9   CH 10   NT  E--           1/8   von=63   voff=80
BA    5   CR     1+1/3   TR  9   CH 10   NT  E--          1/24   voff=80
BA    5   CR    1+5/12   TR  9   CH 10   NT  E--          1/24   von=79   voff=80
BA    5   CR     1+1/2   TR  1   CH  1   NT  B--           1/4   voff=80
BA    5   CR     1+1/2   TR  9   CH 10   NT  E--          1/24   voff=80
BA    5   CR    1+7/12   TR  9   CH 10   NT  E--          1/24   voff=80
BA    5   CR     1+2/3   TR  9   CH 10   NT  E--          1/24   voff=80
BA    5   CR         2   TR  1   CH  1   NT  E--           1/4   voff=80
BA    5   CR         2   TR  3   CH  3   NT  E           1+7/8   voff=80
BA    5   CR         2   TR  4   CH  4   NT  E-              2   voff=80
BA    5   CR         2   TR  5   CH  5   NT  B-              2   voff=80
BA    5   CR         2   TR  5   CH  5   NT  G-              2   voff=80
BA    5   CR         2   TR  6   CH  6   NT  E-              2   voff=80
BA    5   CR    2+1/24   TR  9   CH 10   NT  E--           1/8   von=95   voff=80
BA    5   CR    2+1/24   TR  9   CH 10   NT  A-            1/8   voff=80
BA    5   CR     2+1/2   TR  1   CH  1   NT  E--           1/4   voff=80
BA    5   CR   2+13/24   TR  9   CH 10   NT  E--           1/8   voff=80
BA    5   CR     3+1/2   TR  1   CH  1   NT  E--           1/4   voff=80
BA    5   CR   3+13/24   TR  9   CH 10   NT  E--           1/8   voff=80
BA    5   CR   3+19/24   TR  9   CH 10   NT  E--           1/8   voff=80

BA    6   CR         0   TR  1   CH  1   NT  D--           1/4   voff=80
BA    6   CR         0   TR  3   CH  3   NT  F#            5/8   voff=80
BA    6   CR         0   TR  4   CH  4   NT  F#-           3/4   voff=80
BA    6   CR         0   TR  5   CH  5   NT  A-              2   voff=80
BA    6   CR         0   TR  5   CH  5   NT  F#-             2   voff=80
BA    6   CR         0   TR  6   CH  6   NT  D-              2   voff=80
BA    6   CR         0   TR  9   CH 10   NT  E--           1/8   voff=80
BA    6   CR       1/2   TR  1   CH  1   NT  D--           1/4   voff=80
BA    6   CR       1/2   TR  9   CH 10   NT  E--           1/8   voff=80
BA    6   CR       3/4   TR  3   CH  3   NT  B-            5/8   voff=80
BA    6   CR       3/4   TR  4   CH  4   NT  B--           3/4   voff=80
