
BA    1   CR         0   TR  0   CH 16   Tempo 95
BA    1   CR         0   TR  0   CH 16   End of track
BA    1   CR         0   TR  1   CH 16   Text type 3: "bass"
BA    1   CR         0   TR  2   CH  2   ST &E1 &00 &40
BA    1   CR         0   TR  2   CH  2   Instrument 71
BA    1   CR         0   TR  2   CH  2   ST &B1 &65 &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &64 &00
BA    1   CR         0   TR  2   CH  2   ST &B1 &06 &0C
BA    1   CR         0   TR  2   CH  2   ST &B1 &0A &0D
BA    1   CR         0   TR  2   CH  2   Channel volume 64
BA    1   CR         0   TR  2   CH  2   ST &E1 &00 &40
BA    1   CR         0   TR  2   CH  2   Instrument 71
BA    1   CR         0   TR  3   CH 16   Text type 3: "bassoon right"
BA    1   CR         0   TR  3   CH  3   ST &B2 &0A &73
BA    1   CR         0   TR  3   CH  3   Channel volume 64
BA    1   CR         0   TR  3   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  3   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &64 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &06 &0C
BA    1   CR         0   TR  3   CH  3   ST &B2 &0A &73
BA    1   CR         0   TR  3   CH  3   Channel volume 64
BA    1   CR         0   TR  3   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  3   CH  3   Instrument 71
BA    1   CR         0   TR  3   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &64 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &06 &0C
BA    1   CR         0   TR  3   CH  3   ST &B2 &0A &73
BA    1   CR         0   TR  3   CH  3   Channel volume 64
BA    1   CR         0   TR  3   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  3   CH  3   Instrument 71
BA    1   CR         0   TR  3   CH  3   ST &B2 &65 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &64 &00
BA    1   CR         0   TR  3   CH  3   ST &B2 &06 &0C
BA    1   CR         0   TR  3   CH  3   ST &B2 &0A &73
BA    1   CR         0   TR  3   CH  3   Channel volume 64
BA    1   CR         0   TR  3   CH  3   ST &E2 &00 &40
BA    1   CR         0   TR  3   CH  3   Instrument 71
BA    1   CR         0   TR  4   CH 16   Text type 3: "tuba"
BA    1   CR         0   TR  4   CH  4   ST &B3 &0A &40
BA    1   CR         0   TR  4   CH  4   Channel volume 92
BA    1   CR         0   TR  4   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  4   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &64 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &06 &0C
BA    1   CR         0   TR  4   CH  4   ST &B3 &0A &40
BA    1   CR         0   TR  4   CH  4   Channel volume 92
BA    1   CR         0   TR  4   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  4   CH  4   Instrument 59
BA    1   CR         0   TR  4   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &64 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &06 &0C
BA    1   CR         0   TR  4   CH  4   ST &B3 &0A &40
BA    1   CR         0   TR  4   CH  4   Channel volume 92
BA    1   CR         0   TR  4   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  4   CH  4   Instrument 59
BA    1   CR         0   TR  4   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &64 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &06 &0C
BA    1   CR         0   TR  4   CH  4   ST &B3 &0A &40
BA    1   CR         0   TR  4   CH  4   Channel volume 92
BA    1   CR         0   TR  4   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  4   CH  4   Instrument 59
BA    1   CR         0   TR  5   CH 16   Text type 3: "piccolo"
BA    1   CR         0   TR  5   CH  5   ST &B4 &0A &50
BA    1   CR         0   TR  5   CH  5   Channel volume 66
BA    1   CR         0   TR  5   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  5   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  5   CH  5   ST &B4 &0A &50
BA    1   CR         0   TR  5   CH  5   Channel volume 66
BA    1   CR         0   TR  5   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  5   CH  5   Instrument 73
BA    1   CR         0   TR  5   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  5   CH  5   ST &B4 &0A &50
BA    1   CR         0   TR  5   CH  5   Channel volume 66
BA    1   CR         0   TR  5   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  5   CH  5   Instrument 73
BA    1   CR         0   TR  5   CH  5   Channel volume 82
BA    1   CR         0   TR  5   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  5   CH  5   ST &B4 &0A &50
BA    1   CR         0   TR  5   CH  5   Channel volume 82
BA    1   CR         0   TR  5   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  5   CH  5   Instrument 73
BA    1   CR         0   TR  5   CH  5   Channel volume 82
BA    1   CR         0   TR  6   CH 16   Text type 3: "french horn"
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &30
BA    1   CR         0   TR  6   CH  6   Channel volume 66
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &30
BA    1   CR         0   TR  6   CH  6   Channel volume 66
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   Instrument 61
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &30
BA    1   CR         0   TR  6   CH  6   Channel volume 66
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   Instrument 61
BA    1   CR         0   TR  6   CH  6   Channel volume 84
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &30
BA    1   CR         0   TR  6   CH  6   Channel volume 84
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   Instrument 61
BA    1   CR         0   TR  6   CH  6   Channel volume 84
BA    1   CR         0   TR  7   CH 16   Text type 3: "percussion"
BA    1   CR         0   TR  7   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  7   CH 10   Channel volume 76
BA    1   CR         0   TR  7   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  7   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  7   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  7   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  7   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  7   CH 10   Channel volume 76
BA    1   CR         0   TR  7   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  7   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  7   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  7   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  7   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  7   CH 10   Channel volume 76
BA    1   CR         0   TR  7   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  7   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  7   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  7   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  7   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  7   CH 10   Channel volume 76
BA    1   CR         0   TR  7   CH 10   ST &E9 &00 &40
BA    1   CR       1/2   TR  2   CH  2   NT  A--          5/32   von=99   voff=99
BA    1   CR       1/2   TR  2   CH  2   NT  F--          5/32   voff=99
BA    1   CR       1/2   TR  3   CH  3   NT  A-           5/32   von=99   voff=99
BA    1   CR       1/2   TR  3   CH  3   NT  F-           5/32   voff=99
BA    1   CR       1/2   TR  7   CH 10   NT  Bb          23/96   von=99   voff=99
BA    1   CR       3/4   TR  2   CH  2   NT  F--          5/32   voff=99
BA    1   CR       3/4   TR  2   CH  2   NT  A--          5/32   voff=99
BA    1   CR       3/4   TR  3   CH  3   NT  F-           5/32   voff=99
BA    1   CR       3/4   TR  3   CH  3   NT  A-           5/32   voff=99
BA    1   CR         1   TR  2   CH  2   NT  F--          5/32   voff=99
BA    1   CR         1   TR  2   CH  2   NT  A--          5/32   voff=99
BA    1   CR         1   TR  3   CH  3   NT  F-           5/32   voff=99
BA    1   CR         1   TR  3   CH  3   NT  A-           5/32   voff=99
BA    1   CR     1+1/2   TR  1   CH  1   NT  F--         47/96   voff=99
BA    1   CR     1+1/2   TR  2   CH  2   NT  F--          5/32   voff=99
BA    1   CR     1+1/2   TR  2   CH  2   NT  A--          5/32   voff=99
BA    1   CR     1+1/2   TR  3   CH  3   NT  F-           5/32   voff=99
BA    1   CR     1+1/2   TR  3   CH  3   NT  A-           5/32   voff=99
BA    1   CR     1+1/2   TR  7   CH 10   NT  Bb          23/96   voff=99
BA    1   CR         2   TR  1   CH  1   NT  C--         95/96   voff=99
BA    1   CR     2+1/2   TR  2   CH  2   NT  C-          19/96   voff=99
BA    1   CR     2+1/2   TR  2   CH  2   NT  Eb-         19/96   voff=99
BA    1   CR     2+1/2   TR  3   CH  3   NT  C           19/96   voff=99
BA    1   CR     2+1/2   TR  3   CH  3   NT  Eb          19/96   voff=99
BA    1   CR     2+1/2   TR  7   CH 10   NT  Bb          23/96   voff=99
BA    1   CR         3   TR  2   CH  2   NT  Eb-         19/96   voff=99
BA    1   CR         3   TR  2   CH  2   NT  C-          19/96   voff=99
BA    1   CR         3   TR  3   CH  3   NT  C           19/96   voff=99
BA    1   CR         3   TR  3   CH  3   NT  Eb          19/96   voff=99
BA    1   CR         3   TR  7   CH 10   NT  Eb'         23/96   voff=99
BA    1   CR     3+1/2   TR  1   CH  1   NT  C--         47/96   voff=99
BA    1   CR     3+1/2   TR  7   CH 10   NT  Bb          23/96   voff=99

BA    2   CR         0   TR  1   CH  1   NT  F--         95/96   voff=99
BA    2   CR       1/2   TR  2   CH  2   NT  A--          5/32   voff=99
BA    2   CR       1/2   TR  2   CH  2   NT  F--          5/32   voff=99
BA    2   CR       1/2   TR  3   CH  3   NT  A-           5/32   voff=99
BA    2   CR       1/2   TR  3   CH  3   NT  F-           5/32   voff=99
BA    2   CR       1/2   TR  7   CH 10   NT  Bb          23/96   voff=99
BA    2   CR       3/4   TR  2   CH  2   NT  F--          5/32   voff=99
BA    2   CR       3/4   TR  2   CH  2   NT  A--          5/32   voff=99
BA    2   CR       3/4   TR  3   CH  3   NT  F-           5/32   voff=99
BA    2   CR       3/4   TR  3   CH  3   NT  A-           5/32   voff=99
BA    2   CR         1   TR  2   CH  2   NT  F--          5/32   voff=99
BA    2   CR         1   TR  2   CH  2   NT  A--          5/32   voff=99
BA    2   CR         1   TR  3   CH  3   NT  F-           5/32   voff=99
BA    2   CR         1   TR  3   CH  3   NT  A-           5/32   voff=99
BA    2   CR     1+1/2   TR  1   CH  1   NT  F--         47/96   voff=99
BA    2   CR     1+1/2   TR  2   CH  2   NT  F--          5/32   voff=99
BA    2   CR     1+1/2   TR  2   CH  2   NT  A--          5/32   voff=99
BA    2   CR     1+1/2   TR  3   CH  3   NT  F-           5/32   voff=99
BA    2   CR     1+1/2   TR  3   CH  3   NT  A-           5/32   voff=99
BA    2   CR     1+1/2   TR  7   CH 10   NT  Bb          23/96   voff=99
BA    2   CR         2   TR  1   CH  1   NT  C--         95/96   voff=99
BA    2   CR     2+1/2   TR  2   CH  2   NT  A--         19/96   voff=99
BA    2   CR     2+1/2   TR  2   CH  2   NT  F--         19/96   voff=99
BA    2   CR     2+1/2   TR  3   CH  3   NT  G#-         19/96   voff=99
BA    2   CR     2+1/2   TR  3   CH  3   NT  B-          19/96   voff=99
BA    2   CR     2+1/2   TR  7   CH 10   NT  Bb          23/96   voff=99
BA    2   CR         3   TR  2   CH  2   NT  A--         19/96   voff=99
BA    2   CR         3   TR  2   CH  2   NT  F--         19/96   voff=99
BA    2   CR         3   TR  3   CH  3   NT  G#-         19/96   voff=99
BA    2   CR         3   TR  3   CH  3   NT  B-          19/96   voff=99
BA    2   CR     3+1/2   TR  1   CH  1   NT  C--         47/96   voff=99
BA    2   CR     3+1/2   TR  7   CH 10   NT  Eb'         23/96   voff=99
BA    2   CR     3+1/2   TR  7   CH 10   NT  Bb          23/96   von=60   voff=60
BA    2   CR     3+3/4   TR  7   CH 10   NT  Bb          23/96   von=99   voff=99

BA    3   CR         0   TR  1   CH  1   NT  F--         95/96   voff=99
BA    3   CR         0   TR  4   CH  4   NT  A--         71/96   von=99   voff=99
BA    3   CR       1/2   TR  2   CH  2   NT  A--          5/32   voff=99
BA    3   CR       1/2   TR  2   CH  2   NT  F--          5/32   voff=99
BA    3   CR       1/2   TR  3   CH  3   NT  A-           5/32   voff=99
BA    3   CR       1/2   TR  3   CH  3   NT  F-           5/32   voff=99
BA    3   CR       1/2   TR  7   CH 10   NT  Bb          23/96   voff=99
BA    3   CR       3/4   TR  2   CH  2   NT  F--          5/32   voff=99
BA    3   CR       3/4   TR  2   CH  2   NT  A--          5/32   voff=99
BA    3   CR       3/4   TR  3   CH  3   NT  F-           5/32   voff=99
BA    3   CR       3/4   TR  3   CH  3   NT  A-           5/32   voff=99
BA    3   CR       3/4   TR  4   CH  4   NT  G#--        23/96   voff=99
BA    3   CR         1   TR  2   CH  2   NT  F--          5/32   voff=99
BA    3   CR         1   TR  2   CH  2   NT  A--          5/32   voff=99
BA    3   CR         1   TR  3   CH  3   NT  F-           5/32   voff=99
BA    3   CR         1   TR  3   CH  3   NT  A-           5/32   voff=99
BA    3   CR         1   TR  4   CH  4   NT  A--         71/96   voff=99
BA    3   CR     1+1/2   TR  1   CH  1   NT  F--         47/96   voff=99
BA    3   CR     1+1/2   TR  2   CH  2   NT  F--          5/32   voff=99
BA    3   CR     1+1/2   TR  2   CH  2   NT  A--          5/32   voff=99
BA    3   CR     1+1/2   TR  3   CH  3   NT  F-           5/32   voff=99
BA    3   CR     1+1/2   TR  3   CH  3   NT  A-           5/32   voff=99
BA    3   CR     1+1/2   TR  7   CH 10   NT  Bb          23/96   voff=99
BA    3   CR     1+3/4   TR  4   CH  4   NT  G#--        23/96   voff=99
BA    3   CR         2   TR  1   CH  1   NT  C--         95/96   voff=99
BA    3   CR         2   TR  4   CH  4   NT  A--         23/96   voff=99
BA    3   CR     2+1/2   TR  2   CH  2   NT  C-          19/96   voff=99
BA    3   CR     2+1/2   TR  2   CH  2   NT  Eb-         19/96   voff=99
BA    3   CR     2+1/2   TR  3   CH  3   NT  C           19/96   voff=99
BA    3   CR     2+1/2   TR  3   CH  3   NT  Eb          19/96   voff=99
BA    3   CR     2+1/2   TR  4   CH  4   NT  A--         23/96   voff=99
BA    3   CR     2+1/2   TR  7   CH 10   NT  Bb          23/96   voff=99
BA    3   CR         3   TR  2   CH  2   NT  Eb-         19/96   voff=99
BA    3   CR         3   TR  2   CH  2   NT  C-          19/96   voff=99
BA    3   CR         3   TR  3   CH  3   NT  C           19/96   voff=99
BA    3   CR         3   TR  3   CH  3   NT  Eb          19/96   voff=99
BA    3   CR         3   TR  4   CH  4   NT  F--         23/96   voff=99
BA    3   CR         3   TR  7   CH 10   NT  Eb'         23/96   voff=99
BA    3   CR     3+1/2   TR  1   CH  1   NT  C--         47/96   voff=99
BA    3   CR     3+1/2   TR  4   CH  4   NT  C--         23/96   voff=99
BA    3   CR     3+1/2   TR  7   CH 10   NT  Bb          23/96   von=102   voff=102

BA    4   CR         0   TR  1   CH  1   NT  F--         95/96   voff=99
BA    4   CR         0   TR  4   CH  4   NT  C-        2+95/96   voff=99
BA    4   CR       1/2   TR  2   CH  2   NT  A--          5/32   voff=99
BA    4   CR       1/2   TR  2   CH  2   NT  F--          5/32   voff=99
BA    4   CR       1/2   TR  3   CH  3   NT  A-           5/32   voff=99
BA    4   CR       1/2   TR  3   CH  3   NT  F-           5/32   voff=99
BA    4   CR       1/2   TR  7   CH 10   NT  Bb          23/96   voff=102
BA    4   CR       3/4   TR  2   CH  2   NT  F--          5/32   voff=99
BA    4   CR       3/4   TR  2   CH  2   NT  A--          5/32   voff=99
BA    4   CR       3/4   TR  3   CH  3   NT  F-           5/32   voff=99
BA    4   CR       3/4   TR  3   CH  3   NT  A-           5/32   voff=99
BA    4   CR         1   TR  2   CH  2   NT  F--          5/32   voff=99
BA    4   CR         1   TR  2   CH  2   NT  A--          5/32   voff=99
BA    4   CR         1   TR  3   CH  3   NT  F-           5/32   voff=99
BA    4   CR         1   TR  3   CH  3   NT  A-           5/32   voff=99
BA    4   CR     1+1/2   TR  1   CH  1   NT  F--         47/96   voff=99
BA    4   CR     1+1/2   TR  2   CH  2   NT  F--          5/32   voff=99
BA    4   CR     1+1/2   TR  2   CH  2   NT  A--          5/32   voff=99
BA    4   CR     1+1/2   TR  3   CH  3   NT  F-           5/32   voff=99
BA    4   CR     1+1/2   TR  3   CH  3   NT  A-           5/32   voff=99
BA    4   CR     1+1/2   TR  7   CH 10   NT  Bb          23/96   voff=102
BA    4   CR         2   TR  1   CH  1   NT  C--         95/96   voff=99
BA    4   CR     2+1/2   TR  2   CH  2   NT  A--         19/96   voff=99
BA    4   CR     2+1/2   TR  2   CH  2   NT  F--         19/96   voff=99
BA    4   CR     2+1/2   TR  3   CH  3   NT  G#-         19/96   voff=99
BA    4   CR     2+1/2   TR  3   CH  3   NT  B-          19/96   voff=99
BA    4   CR     2+1/2   TR  7   CH 10   NT  Bb          23/96   voff=102
BA    4   CR         3   TR  2   CH  2   NT  A--         19/96   voff=99
BA    4   CR         3   TR  2   CH  2   NT  F--         19/96   voff=99
BA    4   CR         3   TR  3   CH  3   NT  G#-         19/96   voff=99
BA    4   CR         3   TR  3   CH  3   NT  B-          19/96   voff=99
BA    4   CR     3+1/2   TR  1   CH  1   NT  C--         47/96   voff=99
BA    4   CR     3+1/2   TR  7   CH 10   NT  Bb          23/96   voff=102
BA    4   CR     3+1/2   TR  7   CH 10   NT  Eb'         23/96   voff=102
BA    4   CR     3+3/4   TR  4   CH  4   NT  D-          23/96   voff=99

BA    5   CR         0   TR  1   CH  1   NT  F--         95/96   voff=99
BA    5   CR         0   TR  4   CH  4   NT  Eb-         71/96   voff=99
BA    5   CR       1/2   TR  2   CH  2   NT  A--          5/32   voff=99
BA    5   CR       1/2   TR  2   CH  2   NT  F--          5/32   voff=99
BA    5   CR       1/2   TR  3   CH  3   NT  A-           5/32   voff=99
BA    5   CR       1/2   TR  3   CH  3   NT  F-           5/32   voff=99
BA    5   CR       1/2   TR  7   CH 10   NT  Bb          23/96   von=99   voff=99
BA    5   CR       3/4   TR  2   CH  2   NT  F--          5/32   voff=99
BA    5   CR       3/4   TR  2   CH  2   NT  A--          5/32   voff=99
BA    5   CR       3/4   TR  3   CH  3   NT  F-           5/32   voff=99
BA    5   CR       3/4   TR  3   CH  3   NT  A-           5/32   voff=99
BA    5   CR       3/4   TR  4   CH  4   NT  D-          23/96   voff=99
BA    5   CR         1   TR  2   CH  2   NT  F--          5/32   voff=99
BA    5   CR         1   TR  2   CH  2   NT  A--          5/32   voff=99
BA    5   CR         1   TR  3   CH  3   NT  F-           5/32   voff=99
BA    5   CR         1   TR  3   CH  3   NT  A-           5/32   voff=99
BA    5   CR         1   TR  4   CH  4   NT  Eb-         71/96   voff=99
BA    5   CR     1+1/2   TR  1   CH  1   NT  F--         47/96   voff=99
BA    5   CR     1+1/2   TR  2   CH  2   NT  F--          5/32   voff=99
BA    5   CR     1+1/2   TR  2   CH  2   NT  A--          5/32   voff=99
BA    5   CR     1+1/2   TR  3   CH  3   NT  F-           5/32   voff=99
BA    5   CR     1+1/2   TR  3   CH  3   NT  A-           5/32   voff=99
BA    5   CR     1+1/2   TR  7   CH 10   NT  Bb          23/96   voff=99
BA    5   CR     1+3/4   TR  4   CH  4   NT  D-          23/96   voff=99
BA    5   CR         2   TR  1   CH  1   NT  C--         95/96   voff=99
BA    5   CR         2   TR  4   CH  4   NT  Eb-         23/96   voff=99
BA    5   CR     2+1/2   TR  2   CH  2   NT  C-          19/96   voff=99
BA    5   CR     2+1/2   TR  2   CH  2   NT  Eb-         19/96   voff=99
BA    5   CR     2+1/2   TR  3   CH  3   NT  C           19/96   voff=99
BA    5   CR     2+1/2   TR  3   CH  3   NT  Eb          19/96   voff=99
BA    5   CR     2+1/2   TR  4   CH  4   NT  Eb-         23/96   voff=99
BA    5   CR     2+1/2   TR  7   CH 10   NT  Bb          23/96   voff=99
BA    5   CR         3   TR  2   CH  2   NT  Eb-         19/96   voff=99
BA    5   CR         3   TR  2   CH  2   NT  C-          19/96   voff=99
BA    5   CR         3   TR  3   CH  3   NT  C           19/96   voff=99
BA    5   CR         3   TR  3   CH  3   NT  Eb          19/96   voff=99
BA    5   CR         3   TR  4   CH  4   NT  D-          23/96   voff=99
BA    5   CR         3   TR  7   CH 10   NT  Eb'         23/96   voff=99
BA    5   CR     3+1/2   TR  1   CH  1   NT  C--         47/96   voff=99
BA    5   CR     3+1/2   TR  4   CH  4   NT  C-          23/96   voff=99
BA    5   CR     3+1/2   TR  7   CH 10   NT  Bb          23/96   von=102   voff=102

BA    6   CR         0   TR  1   CH  1   NT  F--         95/96   voff=99
BA    6   CR         0   TR  4   CH  4   NT  G#--      1+95/96   voff=99
BA    6   CR       1/2   TR  2   CH  2   NT  A--          5/32   voff=99
BA    6   CR       1/2   TR  2   CH  2   NT  F--          5/32   voff=99
BA    6   CR       1/2   TR  3   CH  3   NT  A-           5/32   voff=99
BA    6   CR       1/2   TR  3   CH  3   NT  F-           5/32   voff=99
BA    6   CR       1/2   TR  7   CH 10   NT  Bb          23/96   voff=102
BA    6   CR       3/4   TR  2   CH  2   NT  F--          5/32   voff=99
BA    6   CR       3/4   TR  2   CH  2   NT  A--          5/32   voff=99
BA    6   CR       3/4   TR  3   CH  3   NT  F-           5/32   voff=99
BA    6   CR       3/4   TR  3   CH  3   NT  A-           5/32   voff=99
BA    6   CR         1   TR  2   CH  2   NT  F--          5/32   voff=99
BA    6   CR         1   TR  2   CH  2   NT  A--          5/32   voff=99
BA    6   CR         1   TR  3   CH  3   NT  F-           5/32   voff=99
BA    6   CR         1   TR  3   CH  3   NT  A-           5/32   voff=99
BA    6   CR     1+1/2   TR  1   CH  1   NT  F--         47/96   voff=99
BA    6   CR     1+1/2   TR  2   CH  2   NT  F--          5/32   voff=99
BA    6   CR     1+1/2   TR  2   CH  2   NT  A--          5/32   voff=99
BA    6   CR     1+1/2   TR  3   CH  3   NT  F-           5/32   voff=99
BA    6   CR     1+1/2   TR  3   CH  3   NT  A-           5/32   voff=99
BA    6   CR     1+1/2   TR  7   CH 10   NT  Bb          23/96   voff=102
BA    6   CR         2   TR  1   CH  1   NT  C--         95/96   voff=99
BA    6   CR         2   TR  4   CH  4   NT  A--         23/96   voff=99
BA    6   CR     2+1/2   TR  2   CH  2   NT  A--         19/96   voff=99
BA    6   CR     2+1/2   TR  2   CH  2   NT  F--         19/96   voff=99
BA    6   CR     2+1/2   TR  3   CH  3   NT  G#-         19/96   voff=99
BA    6   CR     2+1/2   TR  3   CH  3   NT  B-          19/96   voff=99
BA    6   CR     2+1/2   TR  4   CH  4   NT  F--         23/96   voff=99
BA    6   CR     2+1/2   TR  7   CH 10   NT  Bb          23/96   voff=102
BA    6   CR         3   TR  2   CH  2   NT  A--         19/96   voff=99
BA    6   CR         3   TR  2   CH  2   NT  F--         19/96   voff=99
BA    6   CR         3   TR  3   CH  3   NT  G#-         19/96   voff=99
BA    6   CR         3   TR  3   CH  3   NT  B-          19/96   voff=99
BA    6   CR         3   TR  4   CH  4   NT  C--         23/96   voff=99
BA    6   CR     3+1/2   TR  1   CH  1   NT  C--         47/96   voff=99
BA    6   CR     3+1/2   TR  7   CH 10   NT  Bb          23/96   voff=102
BA    6   CR     3+1/2   TR  7   CH 10   NT  Eb'         23/96   voff=102

BA    7   CR         0   TR  1   CH  1   NT  F--         95/96   voff=99
BA    7   CR         0   TR  4   CH  4   NT  A--         71/96   voff=99
