
BA    1   CR         0   TR  0   CH 16   Time signature 2/4, clocks/mtick 24, crotchets/32ndnote 8
BA    1   CR         0   TR  0   CH 16   Key F minor
BA    1   CR         0   TR  0   CH 16   Tempo 55
BA    1   CR         0   TR  0   CH 16   Text type 3: "Timid Love"
BA    1   CR         0   TR  0   CH 16   Text type 1: "Hirofumi Taniguchi"
BA    1   CR         0   TR  5   CH  5   ST &B4 &79 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &40 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &5B &30
BA    1   CR         0   TR  5   CH  5   ST &B4 &0A &10
BA    1   CR         0   TR  5   CH  5   Channel volume 100
BA    1   CR         0   TR  5   CH 16   Text type 3: "Violin II"
BA    1   CR         0   TR  5   CH  5   Channel volume 14
BA    1   CR         0   TR  5   CH  5   NT  G               6   von=56   voff=0
BA    1   CR         0   TR  6   CH  6   Instrument 42
BA    1   CR         0   TR  6   CH  6   ST &B5 &79 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &40 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &5B &3C
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &20
BA    1   CR         0   TR  6   CH  6   Channel volume 90
BA    1   CR         0   TR  6   CH 16   Text type 3: "Viola"
BA    1   CR         0   TR  6   CH  6   Channel volume 14
BA    1   CR         0   TR  6   CH  6   NT  Eb              6   von=59   voff=0
BA    1   CR         0   TR  7   CH  7   Instrument 43
BA    1   CR         0   TR  7   CH  7   ST &B6 &79 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &40 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &5B &3C
BA    1   CR         0   TR  7   CH  7   ST &B6 &0A &5F
BA    1   CR         0   TR  7   CH  7   Channel volume 90
BA    1   CR         0   TR  7   CH 16   Text type 3: "Violoncello"
BA    1   CR         0   TR  7   CH  7   Channel volume 14
BA    1   CR         0   TR  7   CH  7   NT  F-              6   von=54   voff=0
BA    1   CR     7/256   TR  4   CH  4   Channel volume 15
BA    1   CR     7/256   TR  5   CH  5   Channel volume 15
BA    1   CR     7/256   TR  6   CH  6   Channel volume 15
BA    1   CR     7/256   TR  7   CH  7   Channel volume 15
BA    1   CR     7/128   TR  4   CH  4   Channel volume 16
BA    1   CR     7/128   TR  5   CH  5   Channel volume 16
BA    1   CR     7/128   TR  6   CH  6   Channel volume 16
BA    1   CR     7/128   TR  7   CH  7   Channel volume 16
BA    1   CR    21/256   TR  4   CH  4   Channel volume 17
BA    1   CR    21/256   TR  5   CH  5   Channel volume 17
BA    1   CR    21/256   TR  6   CH  6   Channel volume 17
BA    1   CR    21/256   TR  7   CH  7   Channel volume 17
BA    1   CR      7/64   TR  4   CH  4   Channel volume 18
BA    1   CR      7/64   TR  5   CH  5   Channel volume 18
BA    1   CR      7/64   TR  6   CH  6   Channel volume 18
BA    1   CR      7/64   TR  7   CH  7   Channel volume 18
BA    1   CR    35/256   TR  4   CH  4   Channel volume 19
BA    1   CR    35/256   TR  5   CH  5   Channel volume 19
BA    1   CR    35/256   TR  6   CH  6   Channel volume 19
BA    1   CR    35/256   TR  7   CH  7   Channel volume 19
BA    1   CR    21/128   TR  4   CH  4   Channel volume 20
BA    1   CR    21/128   TR  5   CH  5   Channel volume 20
BA    1   CR    21/128   TR  6   CH  6   Channel volume 20
BA    1   CR    21/128   TR  7   CH  7   Channel volume 20
BA    1   CR    49/256   TR  4   CH  4   Channel volume 21
BA    1   CR    49/256   TR  5   CH  5   Channel volume 21
BA    1   CR    49/256   TR  6   CH  6   Channel volume 21
BA    1   CR    49/256   TR  7   CH  7   Channel volume 21
BA    1   CR      7/32   TR  4   CH  4   Channel volume 22
BA    1   CR      7/32   TR  5   CH  5   Channel volume 22
BA    1   CR      7/32   TR  6   CH  6   Channel volume 22
BA    1   CR      7/32   TR  7   CH  7   Channel volume 22
BA    1   CR    63/256   TR  4   CH  4   Channel volume 23
BA    1   CR    63/256   TR  5   CH  5   Channel volume 23
BA    1   CR    63/256   TR  6   CH  6   Channel volume 23
BA    1   CR    63/256   TR  7   CH  7   Channel volume 23
BA    1   CR    35/128   TR  4   CH  4   Channel volume 24
BA    1   CR    35/128   TR  5   CH  5   Channel volume 24
BA    1   CR    35/128   TR  6   CH  6   Channel volume 24
BA    1   CR    35/128   TR  7   CH  7   Channel volume 24
BA    1   CR    77/256   TR  4   CH  4   Channel volume 25
BA    1   CR    77/256   TR  5   CH  5   Channel volume 25
BA    1   CR    77/256   TR  6   CH  6   Channel volume 25
BA    1   CR    77/256   TR  7   CH  7   Channel volume 25
BA    1   CR     21/64   TR  4   CH  4   Channel volume 26
BA    1   CR     21/64   TR  5   CH  5   Channel volume 26
BA    1   CR     21/64   TR  6   CH  6   Channel volume 26
BA    1   CR     21/64   TR  7   CH  7   Channel volume 26
BA    1   CR    91/256   TR  4   CH  4   Channel volume 27
BA    1   CR    91/256   TR  5   CH  5   Channel volume 27
BA    1   CR    91/256   TR  6   CH  6   Channel volume 27
BA    1   CR    91/256   TR  7   CH  7   Channel volume 27
BA    1   CR    49/128   TR  4   CH  4   Channel volume 28
BA    1   CR    49/128   TR  5   CH  5   Channel volume 28
BA    1   CR    49/128   TR  6   CH  6   Channel volume 28
BA    1   CR    49/128   TR  7   CH  7   Channel volume 28
BA    1   CR   105/256   TR  4   CH  4   Channel volume 29
BA    1   CR   105/256   TR  5   CH  5   Channel volume 29
BA    1   CR   105/256   TR  6   CH  6   Channel volume 29
BA    1   CR   105/256   TR  7   CH  7   Channel volume 29
BA    1   CR      7/16   TR  4   CH  4   Channel volume 30
BA    1   CR      7/16   TR  5   CH  5   Channel volume 30
BA    1   CR      7/16   TR  6   CH  6   Channel volume 30
BA    1   CR      7/16   TR  7   CH  7   Channel volume 30
BA    1   CR   119/256   TR  4   CH  4   Channel volume 31
BA    1   CR   119/256   TR  5   CH  5   Channel volume 31
BA    1   CR   119/256   TR  6   CH  6   Channel volume 31
BA    1   CR   119/256   TR  7   CH  7   Channel volume 31
BA    1   CR    63/128   TR  4   CH  4   Channel volume 32
BA    1   CR    63/128   TR  5   CH  5   Channel volume 32
BA    1   CR    63/128   TR  6   CH  6   Channel volume 32
BA    1   CR    63/128   TR  7   CH  7   Channel volume 32
BA    1   CR   133/256   TR  4   CH  4   Channel volume 33
BA    1   CR   133/256   TR  5   CH  5   Channel volume 33
BA    1   CR   133/256   TR  6   CH  6   Channel volume 33
BA    1   CR   133/256   TR  7   CH  7   Channel volume 33
BA    1   CR     35/64   TR  4   CH  4   Channel volume 34
BA    1   CR     35/64   TR  5   CH  5   Channel volume 34
BA    1   CR     35/64   TR  6   CH  6   Channel volume 34
BA    1   CR     35/64   TR  7   CH  7   Channel volume 34
BA    1   CR   147/256   TR  4   CH  4   Channel volume 35
BA    1   CR   147/256   TR  5   CH  5   Channel volume 35
BA    1   CR   147/256   TR  6   CH  6   Channel volume 35
BA    1   CR   147/256   TR  7   CH  7   Channel volume 35
BA    1   CR    77/128   TR  4   CH  4   Channel volume 36
BA    1   CR    77/128   TR  5   CH  5   Channel volume 36
BA    1   CR    77/128   TR  6   CH  6   Channel volume 36
BA    1   CR    77/128   TR  7   CH  7   Channel volume 36
BA    1   CR   161/256   TR  4   CH  4   Channel volume 37
BA    1   CR   161/256   TR  5   CH  5   Channel volume 37
BA    1   CR   161/256   TR  6   CH  6   Channel volume 37
BA    1   CR   161/256   TR  7   CH  7   Channel volume 37
BA    1   CR     21/32   TR  4   CH  4   Channel volume 38
BA    1   CR     21/32   TR  5   CH  5   Channel volume 38
BA    1   CR     21/32   TR  6   CH  6   Channel volume 38
BA    1   CR     21/32   TR  7   CH  7   Channel volume 38
BA    1   CR   175/256   TR  4   CH  4   Channel volume 39
BA    1   CR   175/256   TR  5   CH  5   Channel volume 39
BA    1   CR   175/256   TR  6   CH  6   Channel volume 39
BA    1   CR   175/256   TR  7   CH  7   Channel volume 39
BA    1   CR    91/128   TR  4   CH  4   Channel volume 40
BA    1   CR    91/128   TR  5   CH  5   Channel volume 40
BA    1   CR    91/128   TR  6   CH  6   Channel volume 40
BA    1   CR    91/128   TR  7   CH  7   Channel volume 40
BA    1   CR   189/256   TR  4   CH  4   Channel volume 41
BA    1   CR   189/256   TR  5   CH  5   Channel volume 41
BA    1   CR   189/256   TR  6   CH  6   Channel volume 41
BA    1   CR   189/256   TR  7   CH  7   Channel volume 41
BA    1   CR     49/64   TR  4   CH  4   Channel volume 42
BA    1   CR     49/64   TR  5   CH  5   Channel volume 42
BA    1   CR     49/64   TR  6   CH  6   Channel volume 42
BA    1   CR     49/64   TR  7   CH  7   Channel volume 42
BA    1   CR   203/256   TR  4   CH  4   Channel volume 43
BA    1   CR   203/256   TR  5   CH  5   Channel volume 43
BA    1   CR   203/256   TR  6   CH  6   Channel volume 43
BA    1   CR   203/256   TR  7   CH  7   Channel volume 43
BA    1   CR   105/128   TR  4   CH  4   Channel volume 44
BA    1   CR   105/128   TR  5   CH  5   Channel volume 44
BA    1   CR   105/128   TR  6   CH  6   Channel volume 44
BA    1   CR   105/128   TR  7   CH  7   Channel volume 44
BA    1   CR   217/256   TR  4   CH  4   Channel volume 45
BA    1   CR   217/256   TR  5   CH  5   Channel volume 45
BA    1   CR   217/256   TR  6   CH  6   Channel volume 45
BA    1   CR   217/256   TR  7   CH  7   Channel volume 45
BA    1   CR       7/8   TR  4   CH  4   Channel volume 46
BA    1   CR       7/8   TR  5   CH  5   Channel volume 46
BA    1   CR       7/8   TR  6   CH  6   Channel volume 46
BA    1   CR       7/8   TR  7   CH  7   Channel volume 46
BA    1   CR   231/256   TR  4   CH  4   Channel volume 47
BA    1   CR   231/256   TR  5   CH  5   Channel volume 47
BA    1   CR   231/256   TR  6   CH  6   Channel volume 47
BA    1   CR   231/256   TR  7   CH  7   Channel volume 47
BA    1   CR   119/128   TR  4   CH  4   Channel volume 48
BA    1   CR   119/128   TR  5   CH  5   Channel volume 48
BA    1   CR   119/128   TR  6   CH  6   Channel volume 48
BA    1   CR   119/128   TR  7   CH  7   Channel volume 48
BA    1   CR   245/256   TR  4   CH  4   Channel volume 49
BA    1   CR   245/256   TR  5   CH  5   Channel volume 49
BA    1   CR   245/256   TR  6   CH  6   Channel volume 49
BA    1   CR   245/256   TR  7   CH  7   Channel volume 49
BA    1   CR     63/64   TR  4   CH  4   Channel volume 50
BA    1   CR     63/64   TR  5   CH  5   Channel volume 50
BA    1   CR     63/64   TR  6   CH  6   Channel volume 50
BA    1   CR     63/64   TR  7   CH  7   Channel volume 50
BA    1   CR   1+3/256   TR  4   CH  4   Channel volume 51
BA    1   CR   1+3/256   TR  5   CH  5   Channel volume 51
BA    1   CR   1+3/256   TR  6   CH  6   Channel volume 51
BA    1   CR   1+3/256   TR  7   CH  7   Channel volume 51
BA    1   CR   1+5/128   TR  4   CH  4   Channel volume 52
BA    1   CR   1+5/128   TR  5   CH  5   Channel volume 52
BA    1   CR   1+5/128   TR  6   CH  6   Channel volume 52
BA    1   CR   1+5/128   TR  7   CH  7   Channel volume 52
BA    1   CR  1+17/256   TR  4   CH  4   Channel volume 53
BA    1   CR  1+17/256   TR  5   CH  5   Channel volume 53
BA    1   CR  1+17/256   TR  6   CH  6   Channel volume 53
BA    1   CR  1+17/256   TR  7   CH  7   Channel volume 53
BA    1   CR    1+3/32   TR  4   CH  4   Channel volume 54
BA    1   CR    1+3/32   TR  5   CH  5   Channel volume 54
BA    1   CR    1+3/32   TR  6   CH  6   Channel volume 54
BA    1   CR    1+3/32   TR  7   CH  7   Channel volume 54
BA    1   CR  1+31/256   TR  4   CH  4   Channel volume 55
BA    1   CR  1+31/256   TR  5   CH  5   Channel volume 55
BA    1   CR  1+31/256   TR  6   CH  6   Channel volume 55
BA    1   CR  1+31/256   TR  7   CH  7   Channel volume 55
BA    1   CR  1+19/128   TR  4   CH  4   Channel volume 56
BA    1   CR  1+19/128   TR  5   CH  5   Channel volume 56
BA    1   CR  1+19/128   TR  6   CH  6   Channel volume 56
BA    1   CR  1+19/128   TR  7   CH  7   Channel volume 56
BA    1   CR  1+45/256   TR  4   CH  4   Channel volume 57
BA    1   CR  1+45/256   TR  5   CH  5   Channel volume 57
BA    1   CR  1+45/256   TR  6   CH  6   Channel volume 57
BA    1   CR  1+45/256   TR  7   CH  7   Channel volume 57
BA    1   CR   1+13/64   TR  4   CH  4   Channel volume 58
BA    1   CR   1+13/64   TR  5   CH  5   Channel volume 58
BA    1   CR   1+13/64   TR  6   CH  6   Channel volume 58
BA    1   CR   1+13/64   TR  7   CH  7   Channel volume 58
BA    1   CR  1+59/256   TR  4   CH  4   Channel volume 59
BA    1   CR  1+59/256   TR  5   CH  5   Channel volume 59
BA    1   CR  1+59/256   TR  6   CH  6   Channel volume 59
BA    1   CR  1+59/256   TR  7   CH  7   Channel volume 59
BA    1   CR  1+33/128   TR  4   CH  4   Channel volume 60
BA    1   CR  1+33/128   TR  5   CH  5   Channel volume 60
BA    1   CR  1+33/128   TR  6   CH  6   Channel volume 60
BA    1   CR  1+33/128   TR  7   CH  7   Channel volume 60
BA    1   CR  1+73/256   TR  4   CH  4   Channel volume 61
BA    1   CR  1+73/256   TR  5   CH  5   Channel volume 61
BA    1   CR  1+73/256   TR  6   CH  6   Channel volume 61
BA    1   CR  1+73/256   TR  7   CH  7   Channel volume 61
BA    1   CR    1+5/16   TR  4   CH  4   Channel volume 62
BA    1   CR    1+5/16   TR  5   CH  5   Channel volume 62
BA    1   CR    1+5/16   TR  6   CH  6   Channel volume 62
BA    1   CR    1+5/16   TR  7   CH  7   Channel volume 62
BA    1   CR  1+87/256   TR  4   CH  4   Channel volume 63
BA    1   CR  1+87/256   TR  5   CH  5   Channel volume 63
BA    1   CR  1+87/256   TR  6   CH  6   Channel volume 63
BA    1   CR  1+87/256   TR  7   CH  7   Channel volume 63
BA    1   CR  1+47/128   TR  4   CH  4   Channel volume 64
BA    1   CR  1+47/128   TR  5   CH  5   Channel volume 64
BA    1   CR  1+47/128   TR  6   CH  6   Channel volume 64
BA    1   CR  1+47/128   TR  7   CH  7   Channel volume 64
BA    1   CR 1+101/256   TR  4   CH  4   Channel volume 65
BA    1   CR 1+101/256   TR  5   CH  5   Channel volume 65
BA    1   CR 1+101/256   TR  6   CH  6   Channel volume 65
BA    1   CR 1+101/256   TR  7   CH  7   Channel volume 65
BA    1   CR   1+27/64   TR  4   CH  4   Channel volume 66
BA    1   CR   1+27/64   TR  5   CH  5   Channel volume 66
BA    1   CR   1+27/64   TR  6   CH  6   Channel volume 66
BA    1   CR   1+27/64   TR  7   CH  7   Channel volume 66
BA    1   CR 1+115/256   TR  4   CH  4   Channel volume 67
BA    1   CR 1+115/256   TR  5   CH  5   Channel volume 67
BA    1   CR 1+115/256   TR  6   CH  6   Channel volume 67
BA    1   CR 1+115/256   TR  7   CH  7   Channel volume 67
BA    1   CR  1+61/128   TR  4   CH  4   Channel volume 68
BA    1   CR  1+61/128   TR  5   CH  5   Channel volume 68
BA    1   CR  1+61/128   TR  6   CH  6   Channel volume 68
BA    1   CR  1+61/128   TR  7   CH  7   Channel volume 68
BA    1   CR 1+129/256   TR  4   CH  4   Channel volume 69
BA    1   CR 1+129/256   TR  5   CH  5   Channel volume 69
BA    1   CR 1+129/256   TR  6   CH  6   Channel volume 69
BA    1   CR 1+129/256   TR  7   CH  7   Channel volume 69
BA    1   CR   1+17/32   TR  4   CH  4   Channel volume 70
BA    1   CR   1+17/32   TR  5   CH  5   Channel volume 70
BA    1   CR   1+17/32   TR  6   CH  6   Channel volume 70
BA    1   CR   1+17/32   TR  7   CH  7   Channel volume 70
BA    1   CR 1+143/256   TR  4   CH  4   Channel volume 71
BA    1   CR 1+143/256   TR  5   CH  5   Channel volume 71
BA    1   CR 1+143/256   TR  6   CH  6   Channel volume 71
BA    1   CR 1+143/256   TR  7   CH  7   Channel volume 71
BA    1   CR  1+75/128   TR  4   CH  4   Channel volume 72
BA    1   CR  1+75/128   TR  5   CH  5   Channel volume 72
BA    1   CR  1+75/128   TR  6   CH  6   Channel volume 72
BA    1   CR  1+75/128   TR  7   CH  7   Channel volume 72
BA    1   CR 1+157/256   TR  4   CH  4   Channel volume 73
BA    1   CR 1+157/256   TR  5   CH  5   Channel volume 73
BA    1   CR 1+157/256   TR  6   CH  6   Channel volume 73
BA    1   CR 1+157/256   TR  7   CH  7   Channel volume 73
BA    1   CR   1+41/64   TR  4   CH  4   Channel volume 74
BA    1   CR   1+41/64   TR  5   CH  5   Channel volume 74
BA    1   CR   1+41/64   TR  6   CH  6   Channel volume 74
BA    1   CR   1+41/64   TR  7   CH  7   Channel volume 74
BA    1   CR 1+171/256   TR  4   CH  4   Channel volume 75
BA    1   CR 1+171/256   TR  5   CH  5   Channel volume 75
BA    1   CR 1+171/256   TR  6   CH  6   Channel volume 75
BA    1   CR 1+171/256   TR  7   CH  7   Channel volume 75
BA    1   CR  1+89/128   TR  4   CH  4   Channel volume 76
BA    1   CR  1+89/128   TR  5   CH  5   Channel volume 76
BA    1   CR  1+89/128   TR  6   CH  6   Channel volume 76
BA    1   CR  1+89/128   TR  7   CH  7   Channel volume 76
BA    1   CR 1+185/256   TR  4   CH  4   Channel volume 77
BA    1   CR 1+185/256   TR  5   CH  5   Channel volume 77
BA    1   CR 1+185/256   TR  6   CH  6   Channel volume 77
BA    1   CR 1+185/256   TR  7   CH  7   Channel volume 77
BA    1   CR     1+3/4   TR  4   CH  4   Channel volume 78
BA    1   CR     1+3/4   TR  5   CH  5   Channel volume 78
BA    1   CR     1+3/4   TR  6   CH  6   Channel volume 78
BA    1   CR     1+3/4   TR  7   CH  7   Channel volume 78
BA    1   CR 1+199/256   TR  4   CH  4   Channel volume 79
BA    1   CR 1+199/256   TR  5   CH  5   Channel volume 79
BA    1   CR 1+199/256   TR  6   CH  6   Channel volume 79
BA    1   CR 1+199/256   TR  7   CH  7   Channel volume 79
BA    1   CR 1+103/128   TR  4   CH  4   Channel volume 80
BA    1   CR 1+103/128   TR  5   CH  5   Channel volume 80
BA    1   CR 1+103/128   TR  6   CH  6   Channel volume 80
BA    1   CR 1+103/128   TR  7   CH  7   Channel volume 80
BA    1   CR 1+213/256   TR  4   CH  4   Channel volume 81
BA    1   CR 1+213/256   TR  5   CH  5   Channel volume 81
BA    1   CR 1+213/256   TR  6   CH  6   Channel volume 81
BA    1   CR 1+213/256   TR  7   CH  7   Channel volume 81
BA    1   CR   1+55/64   TR  4   CH  4   Channel volume 82
BA    1   CR   1+55/64   TR  5   CH  5   Channel volume 82
BA    1   CR   1+55/64   TR  6   CH  6   Channel volume 82
BA    1   CR   1+55/64   TR  7   CH  7   Channel volume 82
BA    1   CR 1+227/256   TR  4   CH  4   Channel volume 83
BA    1   CR 1+227/256   TR  5   CH  5   Channel volume 83
BA    1   CR 1+227/256   TR  6   CH  6   Channel volume 83
BA    1   CR 1+227/256   TR  7   CH  7   Channel volume 83
BA    1   CR 1+117/128   TR  4   CH  4   Channel volume 84
BA    1   CR 1+117/128   TR  5   CH  5   Channel volume 84
BA    1   CR 1+117/128   TR  6   CH  6   Channel volume 84
BA    1   CR 1+117/128   TR  7   CH  7   Channel volume 84
BA    1   CR 1+241/256   TR  4   CH  4   Channel volume 85
BA    1   CR 1+241/256   TR  5   CH  5   Channel volume 85
BA    1   CR 1+241/256   TR  6   CH  6   Channel volume 85
BA    1   CR 1+241/256   TR  7   CH  7   Channel volume 85
BA    1   CR   1+31/32   TR  4   CH  4   Channel volume 86
BA    1   CR   1+31/32   TR  5   CH  5   Channel volume 86
BA    1   CR   1+31/32   TR  6   CH  6   Channel volume 86
BA    1   CR   1+31/32   TR  7   CH  7   Channel volume 86
BA    1   CR 1+255/256   TR  4   CH  4   Channel volume 87
BA    1   CR 1+255/256   TR  5   CH  5   Channel volume 87
BA    1   CR 1+255/256   TR  6   CH  6   Channel volume 87
BA    1   CR 1+255/256   TR  7   CH  7   Channel volume 87

BA    2   CR         0   TR  0   CH 16   Tempo 55
BA    2   CR         0   TR  0   CH 16   Time signature 4/4, clocks/mtick 24, crotchets/32ndnote 8
BA    2   CR         0   TR  3   CH  3   NT  C''             1   von=101   voff=0
BA    2   CR         1   TR  3   CH  3   NT  F'            1/2   von=91   voff=0
BA    2   CR     1+1/2   TR  3   CH  3   NT  Db'           1/2   von=100   voff=0
BA    2   CR         2   TR  3   CH  3   NT  C'            1/2   von=104   voff=0
BA    2   CR     2+1/2   TR  3   CH  3   NT  Eb'           1/2   von=118   voff=0
BA    2   CR         3   TR  3   CH  3   NT  G'              1   von=125   voff=0

BA    3   CR         0   TR  3   CH  3   NT  Cb''            2   von=127   voff=0
BA    3   CR         0   TR  4   CH  4   NT  E               4   von=78   voff=0
BA    3   CR         0   TR  5   CH  5   NT  Eb              2   von=64   voff=0
BA    3   CR         0   TR  6   CH  6   NT  Ab-             2   von=73   voff=0
BA    3   CR         0   TR  7   CH  7   NT  Db-             4   von=82   voff=0
BA    3   CR         2   TR  3   CH  3   NT  Bb'             2   von=108   voff=0
BA    3   CR         2   TR  5   CH  5   NT  Db              2   von=71   voff=0
BA    3   CR         2   TR  6   CH  6   NT  G-              2   von=77   voff=0

BA    4   CR         0   TR  3   CH  3   NT  Ab'           1/2   voff=0
BA    4   CR         0   TR  4   CH  4   NT  E               2   von=79   voff=0
BA    4   CR         0   TR  5   CH  5   NT  Eb              4   von=78   voff=0
BA    4   CR         0   TR  6   CH  6   NT  Ab-             4   von=86   voff=0
BA    4   CR         0   TR  7   CH  7   NT  Bb--            4   von=79   voff=0
BA    4   CR       1/2   TR  3   CH  3   NT  Bb            1/2   von=93   voff=0
BA    4   CR         1   TR  3   CH  3   NT  Db'           1/2   von=117   voff=0
BA    4   CR     1+1/2   TR  0   CH 16   Tempo 40
BA    4   CR     1+1/2   TR  3   CH  3   NT  C'            1/2   von=107   voff=0
BA    4   CR         2   TR  0   CH 16   Tempo 55
BA    4   CR         2   TR  3   CH  3   NT  E'            1/2   von=124   voff=0
BA    4   CR         2   TR  4   CH  4   NT  F               2   von=91   voff=0
BA    4   CR     2+1/2   TR  3   CH  3   NT  F'            1/2   von=120   voff=0
BA    4   CR         3   TR  0   CH 16   Tempo 45
BA    4   CR         3   TR  3   CH  3   NT  C''           1/2   von=127   voff=0
BA    4   CR     3+1/2   TR  3   CH  3   NT  F'            1/2   von=97   voff=0

BA    5   CR         0   TR  0   CH 16   Tempo 55
BA    5   CR         0   TR  3   CH  3   NT  F'              1   von=105   voff=0
BA    5   CR         0   TR  4   CH  4   NT  G               2   von=87   voff=0
BA    5   CR         0   TR  5   CH  5   NT  F               3   voff=0
BA    5   CR         0   TR  6   CH  6   NT  Bb-             2   von=83   voff=0
BA    5   CR         0   TR  7   CH  7   NT  C-              2   von=83   voff=0
BA    5   CR         1   TR  3   CH  3   NT  Db'           1/2   von=101   voff=0
BA    5   CR     1+1/2   TR  3   CH  3   NT  Bb            1/2   voff=0
BA    5   CR         2   TR  3   CH  3   NT  G'              1   von=127   voff=0
BA    5   CR         2   TR  4   CH  4   NT  C'              1   von=90   voff=0
BA    5   CR         2   TR  7   CH  7   NT  Db-             1   von=84   voff=0
BA    5   CR         3   TR  4   CH  4   NT  Ab              1   von=76   voff=0
BA    5   CR         3   TR  5   CH  5   NT  G               1   von=77   voff=0
BA    5   CR         3   TR  6   CH  6   NT  C               1   von=75   voff=0
BA    5   CR         3   TR  7   CH  7   NT  Eb-             1   von=90   voff=0
BA    5   CR     3+1/2   TR  0   CH 16   Tempo 40
BA    5   CR     3+1/2   TR  3   CH  3   NT  F'            1/2   von=106   voff=0

BA    6   CR         0   TR  0   CH 16   Tempo 55
BA    6   CR         0   TR  3   CH  3   NT  E'            1/2   voff=0
BA    6   CR         0   TR  4   CH  4   NT  E               2   von=72   voff=0
BA    6   CR         0   TR  5   CH  5   NT  G               2   von=79   voff=0
BA    6   CR         0   TR  6   CH  6   NT  G-              2   von=76   voff=0
BA    6   CR         0   TR  7   CH  7   NT  Db-             4   von=83   voff=0
BA    6   CR       1/2   TR  3   CH  3   NT  G'            1/2   von=125   voff=0
BA    6   CR         1   TR  3   CH  3   NT  C'          1+1/2   von=94   voff=0
BA    6   CR         2   TR  4   CH  4   NT  F               3   von=83   voff=0
BA    6   CR         2   TR  5   CH  5   NT  F               4   von=67   voff=0
BA    6   CR         2   TR  6   CH  6   NT  Ab-             4   von=89   voff=0
BA    6   CR     2+1/2   TR  3   CH  3   NT  F'            1/2   von=123   voff=0
BA    6   CR         3   TR  3   CH  3   NT  Ab'           1/2   von=126   voff=0
BA    6   CR     3+1/2   TR  3   CH  3   NT  G'            1/2   von=110   voff=0

BA    7   CR         0   TR  3   CH  3   NT  C''             1   von=127   voff=0
BA    7   CR         0   TR  7   CH  7   NT  F-              4   von=87   voff=0
