
BA    1   CR         0   TR  0   CH 16   Tempo 213
BA    1   CR         0   TR  0   CH 16   Text type 3: ""
BA    1   CR         0   TR  0   CH 16   Time signature 4/4, clocks/mtick 4, crotchets/32ndnote 76
BA    1   CR         0   TR  0   CH 16   End of track
BA    1   CR         0   TR  1   CH 16   Text type 3: "Guitar I"
BA    1   CR         0   TR  5   CH 11   ST &BA &65 &00
BA    1   CR         0   TR  5   CH 11   ST &BA &64 &02
BA    1   CR         0   TR  5   CH 11   ST &BA &06 &40
BA    1   CR         0   TR  5   CH 11   ST &BA &65 &7F
BA    1   CR         0   TR  5   CH 11   ST &BA &64 &7F
BA    1   CR         0   TR  5   CH  9   ST &B8 &65 &00
BA    1   CR         0   TR  5   CH  9   ST &B8 &64 &02
BA    1   CR         0   TR  5   CH  9   ST &B8 &06 &40
BA    1   CR         0   TR  5   CH  9   ST &B8 &65 &7F
BA    1   CR         0   TR  5   CH  9   ST &B8 &64 &7F
BA    1   CR         0   TR  5   CH 11   Instrument 49
BA    1   CR         0   TR  5   CH  9   Instrument 49
BA    1   CR         0   TR  5   CH 11   ST &BA &00 &00
BA    1   CR         0   TR  5   CH  9   ST &B8 &00 &00
BA    1   CR         0   TR  5   CH 11   Channel volume 88
BA    1   CR         0   TR  5   CH  9   Channel volume 88
BA    1   CR         0   TR  5   CH 11   ST &BA &0A &40
BA    1   CR         0   TR  5   CH  9   ST &B8 &0A &40
BA    1   CR         0   TR  5   CH 11   ST &BA &5D &00
BA    1   CR         0   TR  5   CH  9   ST &B8 &5D &00
BA    1   CR         0   TR  5   CH 11   ST &BA &5B &00
BA    1   CR         0   TR  5   CH  9   ST &B8 &5B &00
BA    1   CR         0   TR  5   CH 11   ST &BA &5C &00
BA    1   CR         0   TR  5   CH  9   ST &B8 &5C &00
BA    1   CR         0   TR  5   CH 11   ST &BA &5F &00
BA    1   CR         0   TR  5   CH  9   ST &B8 &5F &00
BA    1   CR         0   TR  6   CH 16   Text type 3: "Piano"
BA    1   CR         0   TR  6   CH 15   ST &BE &64 &00
BA    1   CR         0   TR  6   CH 15   ST &BE &65 &00
BA    1   CR         0   TR  6   CH 15   ST &BE &06 &0C
BA    1   CR         0   TR  6   CH 15   ST &EE &00 &40
BA    1   CR         0   TR  6   CH 15   ST &BE &65 &00
BA    1   CR         0   TR  6   CH 15   ST &BE &64 &01
BA    1   CR         0   TR  6   CH 15   ST &BE &06 &40
BA    1   CR         0   TR  6   CH 15   ST &BE &26 &00
BA    1   CR         0   TR  6   CH 15   ST &BE &65 &7F
BA    1   CR         0   TR  6   CH 15   ST &BE &64 &7F
BA    1   CR         0   TR  6   CH 14   ST &BD &64 &00
BA    1   CR         0   TR  6   CH 14   ST &BD &65 &00
BA    1   CR         0   TR  6   CH 14   ST &BD &06 &0C
BA    1   CR         0   TR  6   CH 14   ST &ED &00 &40
BA    1   CR         0   TR  6   CH 14   ST &BD &65 &00
BA    1   CR         0   TR  6   CH 14   ST &BD &64 &01
BA    1   CR         0   TR  6   CH 14   ST &BD &06 &40
BA    1   CR         0   TR  6   CH 14   ST &BD &26 &00
BA    1   CR         0   TR  6   CH 14   ST &BD &65 &7F
BA    1   CR         0   TR  6   CH 14   ST &BD &64 &7F
BA    1   CR         0   TR  6   CH 15   ST &BE &65 &00
BA    1   CR         0   TR  6   CH 15   ST &BE &64 &02
BA    1   CR         0   TR  6   CH 15   ST &BE &06 &40
BA    1   CR         0   TR  6   CH 15   ST &BE &65 &7F
BA    1   CR         0   TR  6   CH 15   ST &BE &64 &7F
BA    1   CR         0   TR  6   CH 14   ST &BD &65 &00
BA    1   CR         0   TR  6   CH 14   ST &BD &64 &02
BA    1   CR         0   TR  6   CH 14   ST &BD &06 &40
BA    1   CR         0   TR  6   CH 14   ST &BD &65 &7F
BA    1   CR         0   TR  6   CH 14   ST &BD &64 &7F
BA    1   CR         0   TR  6   CH 15   Instrument 1
BA    1   CR         0   TR  6   CH 14   Instrument 1
BA    1   CR         0   TR  6   CH 15   ST &BE &00 &00
BA    1   CR         0   TR  6   CH 14   ST &BD &00 &00
BA    1   CR         0   TR  6   CH 15   Channel volume 127
BA    1   CR         0   TR  6   CH 14   Channel volume 127
BA    1   CR         0   TR  6   CH 15   ST &BE &0A &40
BA    1   CR         0   TR  6   CH 14   ST &BD &0A &40
BA    1   CR         0   TR  6   CH 15   ST &BE &5D &00
BA    1   CR         0   TR  6   CH 14   ST &BD &5D &00
BA    1   CR         0   TR  6   CH 15   ST &BE &5B &00
BA    1   CR         0   TR  6   CH 14   ST &BD &5B &00
BA    1   CR         0   TR  6   CH 15   ST &BE &5C &00
BA    1   CR         0   TR  6   CH 14   ST &BD &5C &00
BA    1   CR         0   TR  6   CH 15   ST &BE &5F &00
BA    1   CR         0   TR  6   CH 14   ST &BD &5F &00
BA    1   CR         0   TR  7   CH 16   Text type 3: "Drums"
BA    1   CR         0   TR  7   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR  7   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  7   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR  7   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR  7   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR  7   CH 10   ST &B9 &64 &01
BA    1   CR         0   TR  7   CH 10   ST &B9 &06 &40
BA    1   CR         0   TR  7   CH 10   ST &B9 &26 &00
BA    1   CR         0   TR  7   CH 10   ST &B9 &65 &7F
BA    1   CR         0   TR  7   CH 10   ST &B9 &64 &7F
BA    1   CR         0   TR  7   CH 10   Instrument 1
BA    1   CR         0   TR  7   CH 10   ST &B9 &00 &00
BA    1   CR         0   TR  7   CH 10   Channel volume 120
BA    1   CR         0   TR  7   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR  7   CH 10   ST &B9 &5D &00
BA    1   CR         0   TR  7   CH 10   ST &B9 &5B &00
BA    1   CR         0   TR  7   CH 10   ST &B9 &5C &00
BA    1   CR         0   TR  7   CH 10   ST &B9 &5F &00
BA    1   CR         0   TR  7   CH 10   NT  Bb--            1   von=95   voff=80
BA    1   CR         1   TR  7   CH 10   NT  Bb--            1   voff=80
BA    1   CR         2   TR  7   CH 10   NT  Bb--            1   voff=80
BA    1   CR         3   TR  7   CH 10   NT  B--           1/4   voff=80
BA    1   CR     3+1/4   TR  7   CH 10   NT  A--           1/4   voff=80
BA    1   CR     3+1/2   TR  7   CH 10   NT  G--           1/4   voff=80
BA    1   CR     3+3/4   TR  7   CH 10   NT  F--           1/4   voff=80

BA    2   CR         0   TR  1   CH  1   NT  A-              1   von=95   voff=80
BA    2   CR         0   TR  1   CH  1   NT  E-              1   voff=80
BA    2   CR         0   TR  1   CH  1   NT  A--             1   voff=80
BA    2   CR         0   TR  3   CH  5   NT  A---        1+1/2   von=95   voff=80
BA    2   CR         0   TR  4   CH  7   NT  A               4   von=127   voff=80
BA    2   CR         0   TR  4   CH  7   NT  E               4   voff=80
BA    2   CR         0   TR  4   CH  7   NT  A-              4   voff=80
BA    2   CR         0   TR  7   CH 10   NT  C#-             4   voff=80
BA    2   CR         0   TR  7   CH 10   NT  C--             4   voff=80
BA    2   CR     1+1/2   TR  1   CH  1   NT  A-            1/4   voff=80
BA    2   CR     1+1/2   TR  1   CH  1   NT  E-            1/4   voff=80
BA    2   CR     1+1/2   TR  1   CH  1   NT  A--           1/4   voff=80
BA    2   CR     1+1/2   TR  3   CH  5   NT  A---            1   voff=80
BA    2   CR     2+1/2   TR  1   CH  1   NT  A-            1/4   voff=80
BA    2   CR     2+1/2   TR  1   CH  1   NT  E-            1/4   voff=80
BA    2   CR     2+1/2   TR  1   CH  1   NT  A--           1/4   voff=80
BA    2   CR     2+1/2   TR  3   CH  5   NT  A---            1   voff=80
BA    2   CR     3+1/2   TR  1   CH  1   NT  A-            1/4   voff=80
BA    2   CR     3+1/2   TR  1   CH  1   NT  E-            1/4   voff=80
BA    2   CR     3+1/2   TR  1   CH  1   NT  A--           1/4   voff=80
BA    2   CR     3+1/2   TR  3   CH  5   NT  A---          1/2   voff=80

BA    3   CR         0   TR  1   CH  1   NT  Bb-             1   voff=80
BA    3   CR         0   TR  1   CH  1   NT  F-              1   voff=80
BA    3   CR         0   TR  1   CH  1   NT  Bb--            1   voff=80
BA    3   CR         0   TR  3   CH  5   NT  Bb---       1+1/2   voff=80
BA    3   CR         0   TR  4   CH  7   NT  Bb              4   voff=80
BA    3   CR         0   TR  4   CH  7   NT  F               4   voff=80
BA    3   CR         0   TR  4   CH  7   NT  Bb-             4   voff=80
BA    3   CR         0   TR  7   CH 10   NT  C#-             4   voff=80
BA    3   CR         0   TR  7   CH 10   NT  C--             4   voff=80
BA    3   CR     1+1/2   TR  1   CH  1   NT  Bb-           1/4   voff=80
BA    3   CR     1+1/2   TR  1   CH  1   NT  F-            1/4   voff=80
BA    3   CR     1+1/2   TR  1   CH  1   NT  Bb--          1/4   voff=80
BA    3   CR     1+1/2   TR  3   CH  5   NT  Bb---           1   voff=80
BA    3   CR     2+1/2   TR  1   CH  1   NT  Bb-           1/4   voff=80
BA    3   CR     2+1/2   TR  1   CH  1   NT  F-            1/4   voff=80
BA    3   CR     2+1/2   TR  1   CH  1   NT  Bb--          1/4   voff=80
BA    3   CR     2+1/2   TR  3   CH  5   NT  Bb---           1   voff=80
BA    3   CR     3+1/2   TR  1   CH  1   NT  Bb-           1/4   voff=80
BA    3   CR     3+1/2   TR  1   CH  1   NT  F-            1/4   voff=80
BA    3   CR     3+1/2   TR  1   CH  1   NT  Bb--          1/4   voff=80
BA    3   CR     3+1/2   TR  3   CH  5   NT  Bb---         1/2   voff=80

BA    4   CR         0   TR  1   CH  1   NT  C               1   voff=80
BA    4   CR         0   TR  1   CH  1   NT  G-              1   voff=80
BA    4   CR         0   TR  1   CH  1   NT  C-              1   voff=80
BA    4   CR         0   TR  3   CH  5   NT  C--         1+1/2   voff=80
BA    4   CR         0   TR  4   CH  7   NT  C'              4   voff=80
BA    4   CR         0   TR  4   CH  7   NT  G               4   voff=80
BA    4   CR         0   TR  4   CH  7   NT  C               4   voff=80
BA    4   CR         0   TR  7   CH 10   NT  C#-             4   voff=80
BA    4   CR         0   TR  7   CH 10   NT  C--             4   voff=80
BA    4   CR     1+1/2   TR  1   CH  1   NT  C             1/4   voff=80
BA    4   CR     1+1/2   TR  1   CH  1   NT  G-            1/4   voff=80
BA    4   CR     1+1/2   TR  1   CH  1   NT  C-            1/4   voff=80
BA    4   CR     1+1/2   TR  3   CH  5   NT  C--             1   voff=80
BA    4   CR     2+1/2   TR  1   CH  1   NT  C             1/4   voff=80
BA    4   CR     2+1/2   TR  1   CH  1   NT  G-            1/4   voff=80
BA    4   CR     2+1/2   TR  1   CH  1   NT  C-            1/4   voff=80
BA    4   CR     2+1/2   TR  3   CH  5   NT  C--             1   voff=80
BA    4   CR     3+1/2   TR  1   CH  1   NT  C             1/4   voff=80
BA    4   CR     3+1/2   TR  1   CH  1   NT  G-            1/4   voff=80
BA    4   CR     3+1/2   TR  1   CH  1   NT  C-            1/4   voff=80
BA    4   CR     3+1/2   TR  3   CH  5   NT  C--           1/2   voff=80

BA    5   CR         0   TR  1   CH  1   NT  Bb-             1   voff=80
BA    5   CR         0   TR  1   CH  1   NT  F-              1   voff=80
BA    5   CR         0   TR  1   CH  1   NT  Bb--            1   voff=80
BA    5   CR         0   TR  3   CH  5   NT  Bb---       1+1/2   voff=80
BA    5   CR         0   TR  4   CH  7   NT  Bb              4   voff=80
BA    5   CR         0   TR  4   CH  7   NT  F               4   voff=80
BA    5   CR         0   TR  4   CH  7   NT  Bb-             4   voff=80
BA    5   CR         0   TR  7   CH 10   NT  C#-             4   voff=80
BA    5   CR         0   TR  7   CH 10   NT  C--             4   voff=80
BA    5   CR     1+1/2   TR  1   CH  1   NT  Bb-           1/4   voff=80
BA    5   CR     1+1/2   TR  1   CH  1   NT  F-            1/4   voff=80
BA    5   CR     1+1/2   TR  1   CH  1   NT  Bb--          1/4   voff=80
BA    5   CR     1+1/2   TR  3   CH  5   NT  Bb---           1   voff=80
BA    5   CR     2+1/2   TR  1   CH  1   NT  Bb-           1/4   voff=80
BA    5   CR     2+1/2   TR  1   CH  1   NT  F-            1/4   voff=80
BA    5   CR     2+1/2   TR  1   CH  1   NT  Bb--          1/4   voff=80
BA    5   CR     2+1/2   TR  3   CH  5   NT  Bb---           1   voff=80
BA    5   CR     3+1/2   TR  1   CH  1   NT  Bb-           1/4   voff=80
BA    5   CR     3+1/2   TR  1   CH  1   NT  F-            1/4   voff=80
BA    5   CR     3+1/2   TR  1   CH  1   NT  Bb--          1/4   voff=80
BA    5   CR     3+1/2   TR  3   CH  5   NT  Bb---         1/2   voff=80

BA    6   CR         0   TR  1   CH  1   NT  A-              1   voff=80
BA    6   CR         0   TR  1   CH  1   NT  E-              1   voff=80
BA    6   CR         0   TR  1   CH  1   NT  A--             1   voff=80
BA    6   CR         0   TR  3   CH  5   NT  A---        1+1/2   voff=80
BA    6   CR         0   TR  4   CH  7   NT  A               4   voff=80
BA    6   CR         0   TR  4   CH  7   NT  E               4   voff=80
BA    6   CR         0   TR  4   CH  7   NT  A-              4   voff=80
BA    6   CR         0   TR  7   CH 10   NT  C#-             4   voff=80
BA    6   CR         0   TR  7   CH 10   NT  C--             4   voff=80
BA    6   CR     1+1/2   TR  1   CH  1   NT  A-            1/4   voff=80
BA    6   CR     1+1/2   TR  1   CH  1   NT  E-            1/4   voff=80
BA    6   CR     1+1/2   TR  1   CH  1   NT  A--           1/4   voff=80
BA    6   CR     1+1/2   TR  3   CH  5   NT  A---            1   voff=80
BA    6   CR     2+1/2   TR  1   CH  1   NT  A-            1/4   voff=80
BA    6   CR     2+1/2   TR  1   CH  1   NT  E-            1/4   voff=80
BA    6   CR     2+1/2   TR  1   CH  1   NT  A--           1/4   voff=80
BA    6   CR     2+1/2   TR  3   CH  5   NT  A---            1   voff=80
BA    6   CR     3+1/2   TR  1   CH  1   NT  A-            1/4   voff=80
BA    6   CR     3+1/2   TR  1   CH  1   NT  E-            1/4   voff=80
BA    6   CR     3+1/2   TR  1   CH  1   NT  A--           1/4   voff=80
BA    6   CR     3+1/2   TR  3   CH  5   NT  A---          1/2   voff=80

