
BA    1   CR         0   TR  0   CH 16   Tempo 138
BA    1   CR         0   TR  0   CH 16   Tempo 138
BA    1   CR         0   TR  0   CH 16   Tempo 138
BA    1   CR         0   TR  1   CH 16   Text type 3: "Piano Beginning"
BA    1   CR         0   TR  3   CH  3   ST &B2 &01 &7F
BA    1   CR         0   TR  3   CH  3   Channel volume 68
BA    1   CR         0   TR  3   CH  3   ST &B2 &0A &60
BA    1   CR         0   TR  3   CH  3   ST &B2 &01 &7F
BA    1   CR         0   TR  4   CH 16   Text type 3: "Bass"
BA    1   CR         0   TR  4   CH  4   ST &B3 &0A &60
BA    1   CR         0   TR  4   CH  4   Channel volume 109
BA    1   CR         0   TR  4   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  4   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &64 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &06 &0C
BA    1   CR         0   TR  4   CH  4   ST &B3 &0A &60
BA    1   CR         0   TR  4   CH  4   Channel volume 109
BA    1   CR         0   TR  4   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  4   CH  4   Instrument 36
BA    1   CR         0   TR  4   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &64 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &06 &0C
BA    1   CR         0   TR  4   CH  4   ST &B3 &0A &60
BA    1   CR         0   TR  4   CH  4   Channel volume 109
BA    1   CR         0   TR  4   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  4   CH  4   Instrument 36
BA    1   CR         0   TR  4   CH  4   Channel volume 109
BA    1   CR         0   TR  4   CH  4   ST &B3 &65 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &64 &00
BA    1   CR         0   TR  4   CH  4   ST &B3 &06 &0C
BA    1   CR         0   TR  4   CH  4   ST &B3 &0A &60
BA    1   CR         0   TR  4   CH  4   Channel volume 109
BA    1   CR         0   TR  4   CH  4   ST &E3 &00 &40
BA    1   CR         0   TR  4   CH  4   Instrument 36
BA    1   CR         0   TR  4   CH  4   Channel volume 109
BA    1   CR         0   TR  5   CH 16   Text type 3: "Strings (left)"
BA    1   CR         0   TR  5   CH  5   ST &B4 &0A &20
BA    1   CR         0   TR  5   CH  5   Channel volume 73
BA    1   CR         0   TR  5   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  5   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  5   CH  5   ST &B4 &0A &20
BA    1   CR         0   TR  5   CH  5   Channel volume 73
BA    1   CR         0   TR  5   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  5   CH  5   Instrument 49
BA    1   CR         0   TR  5   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  5   CH  5   ST &B4 &0A &20
BA    1   CR         0   TR  5   CH  5   Channel volume 73
BA    1   CR         0   TR  5   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  5   CH  5   Instrument 49
BA    1   CR         0   TR  5   CH  5   ST &B4 &0A &20
BA    1   CR         0   TR  5   CH  5   Channel volume 73
BA    1   CR         0   TR  5   CH  5   ST &B4 &65 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &64 &00
BA    1   CR         0   TR  5   CH  5   ST &B4 &06 &0C
BA    1   CR         0   TR  5   CH  5   ST &B4 &0A &20
BA    1   CR         0   TR  5   CH  5   Channel volume 73
BA    1   CR         0   TR  5   CH  5   ST &E4 &00 &40
BA    1   CR         0   TR  5   CH  5   Instrument 49
BA    1   CR         0   TR  5   CH  5   ST &B4 &0A &20
BA    1   CR         0   TR  5   CH  5   Channel volume 73
BA    1   CR         0   TR  6   CH 16   Text type 3: "Jazz Guitar (left pan)"
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &21
BA    1   CR         0   TR  6   CH  6   Channel volume 53
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &21
BA    1   CR         0   TR  6   CH  6   Channel volume 53
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   Instrument 27
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &21
BA    1   CR         0   TR  6   CH  6   Channel volume 53
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   Instrument 27
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &21
BA    1   CR         0   TR  6   CH  6   Channel volume 53
BA    1   CR         0   TR  6   CH  6   ST &B5 &65 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &64 &00
BA    1   CR         0   TR  6   CH  6   ST &B5 &06 &0C
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &21
BA    1   CR         0   TR  6   CH  6   Channel volume 53
BA    1   CR         0   TR  6   CH  6   ST &E5 &00 &40
BA    1   CR         0   TR  6   CH  6   Instrument 27
BA    1   CR         0   TR  6   CH  6   ST &B5 &0A &21
BA    1   CR         0   TR  6   CH  6   Channel volume 53
BA    1   CR         0   TR  7   CH 16   Text type 3: "Marimba (left pan)"
BA    1   CR         0   TR  7   CH  7   ST &B6 &0A &18
BA    1   CR         0   TR  7   CH  7   Channel volume 68
BA    1   CR         0   TR  7   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  7   CH  7   ST &B6 &65 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &64 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &06 &0C
BA    1   CR         0   TR  7   CH  7   ST &B6 &0A &18
BA    1   CR         0   TR  7   CH  7   Channel volume 68
BA    1   CR         0   TR  7   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  7   CH  7   Instrument 13
BA    1   CR         0   TR  7   CH  7   ST &B6 &65 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &64 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &06 &0C
BA    1   CR         0   TR  7   CH  7   ST &B6 &0A &18
BA    1   CR         0   TR  7   CH  7   Channel volume 68
BA    1   CR         0   TR  7   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  7   CH  7   Instrument 13
BA    1   CR         0   TR  7   CH  7   ST &B6 &0A &18
BA    1   CR         0   TR  7   CH  7   ST &B6 &65 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &64 &00
BA    1   CR         0   TR  7   CH  7   ST &B6 &06 &0C
BA    1   CR         0   TR  7   CH  7   ST &B6 &0A &18
BA    1   CR         0   TR  7   CH  7   Channel volume 68
BA    1   CR         0   TR  7   CH  7   ST &E6 &00 &40
BA    1   CR         0   TR  7   CH  7   Instrument 13
BA    1   CR         0   TR  7   CH  7   ST &B6 &0A &18
BA    1   CR         0   TR  8   CH 16   Text type 3: "Strings (Melodic)"
BA    1   CR         0   TR  8   CH  8   ST &B7 &0A &29
BA    1   CR         0   TR  8   CH  8   Channel volume 102
BA    1   CR         0   TR  8   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  8   CH  8   ST &B7 &65 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &64 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &06 &0C
BA    1   CR         0   TR  8   CH  8   ST &B7 &0A &29
BA    1   CR         0   TR  8   CH  8   Channel volume 102
BA    1   CR         0   TR  8   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  8   CH  8   Instrument 49
BA    1   CR         0   TR  8   CH  8   ST &B7 &65 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &64 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &06 &0C
BA    1   CR         0   TR  8   CH  8   ST &B7 &0A &29
BA    1   CR         0   TR  8   CH  8   Channel volume 102
BA    1   CR         0   TR  8   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  8   CH  8   Instrument 49
BA    1   CR         0   TR  8   CH  8   ST &B7 &0A &29
BA    1   CR         0   TR  8   CH  8   Channel volume 102
BA    1   CR         0   TR  8   CH  8   ST &B7 &65 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &64 &00
BA    1   CR         0   TR  8   CH  8   ST &B7 &06 &0C
BA    1   CR         0   TR  8   CH  8   ST &B7 &0A &29
BA    1   CR         0   TR  8   CH  8   Channel volume 102
BA    1   CR         0   TR  8   CH  8   ST &E7 &00 &40
BA    1   CR         0   TR  8   CH  8   Instrument 49
BA    1   CR         0   TR  8   CH  8   ST &B7 &0A &29
BA    1   CR         0   TR  8   CH  8   Channel volume 102
BA    1   CR         0   TR  9   CH 16   Text type 3: "Violin (Melodic)"
BA    1   CR         0   TR  9   CH  9   ST &B8 &0A &28
BA    1   CR         0   TR  9   CH  9   Channel volume 52
BA    1   CR         0   TR  9   CH  9   ST &E8 &00 &40
BA    1   CR         0   TR  9   CH  9   ST &B8 &65 &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &64 &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &06 &0C
BA    1   CR         0   TR  9   CH  9   ST &B8 &0A &28
BA    1   CR         0   TR  9   CH  9   Channel volume 52
BA    1   CR         0   TR  9   CH  9   ST &E8 &00 &40
BA    1   CR         0   TR  9   CH  9   Instrument 41
BA    1   CR         0   TR  9   CH  9   ST &B8 &65 &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &64 &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &06 &0C
BA    1   CR         0   TR  9   CH  9   ST &B8 &0A &28
BA    1   CR         0   TR  9   CH  9   Channel volume 52
BA    1   CR         0   TR  9   CH  9   ST &E8 &00 &40
BA    1   CR         0   TR  9   CH  9   Instrument 41
BA    1   CR         0   TR  9   CH  9   ST &B8 &0A &28
BA    1   CR         0   TR  9   CH  9   Channel volume 52
BA    1   CR         0   TR  9   CH  9   ST &B8 &65 &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &64 &00
BA    1   CR         0   TR  9   CH  9   ST &B8 &06 &0C
BA    1   CR         0   TR  9   CH  9   ST &B8 &0A &28
BA    1   CR         0   TR  9   CH  9   Channel volume 52
BA    1   CR         0   TR  9   CH  9   ST &E8 &00 &40
BA    1   CR         0   TR  9   CH  9   Instrument 41
BA    1   CR         0   TR  9   CH  9   ST &B8 &0A &28
BA    1   CR         0   TR  9   CH  9   Channel volume 52
BA    1   CR         0   TR 10   CH 16   Text type 3: "Percussion"
BA    1   CR         0   TR 10   CH 10   ST &B9 &0A &20
BA    1   CR         0   TR 10   CH 10   Channel volume 113
BA    1   CR         0   TR 10   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 10   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR 10   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR 10   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR 10   CH 10   ST &B9 &0A &20
BA    1   CR         0   TR 10   CH 10   Channel volume 113
BA    1   CR         0   TR 10   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 10   CH 10   Instrument 25
BA    1   CR         0   TR 10   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR 10   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR 10   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR 10   CH 10   ST &B9 &0A &20
BA    1   CR         0   TR 10   CH 10   Channel volume 113
BA    1   CR         0   TR 10   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 10   CH 10   Instrument 25
BA    1   CR         0   TR 10   CH 10   ST &B9 &0A &20
BA    1   CR         0   TR 10   CH 10   Channel volume 113
BA    1   CR         0   TR 10   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR 10   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR 10   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR 10   CH 10   ST &B9 &0A &20
BA    1   CR         0   TR 10   CH 10   Channel volume 113
BA    1   CR         0   TR 10   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 10   CH 10   Instrument 25
BA    1   CR         0   TR 10   CH 10   ST &B9 &0A &20
BA    1   CR         0   TR 10   CH 10   Channel volume 113
BA    1   CR         0   TR 10   CH 10   NT  D--         11/96   von=38   voff=38
BA    1   CR         0   TR 10   CH 10   NT  F#--        11/96   von=54   voff=54
BA    1   CR         0   TR 10   CH 10   NT  C-          11/96   von=70   voff=70
BA    1   CR         0   TR 11   CH 16   Text type 3: "Rock Organ Right"
BA    1   CR         0   TR 11   CH 11   ST &BA &0A &66
BA    1   CR         0   TR 11   CH 11   Channel volume 105
BA    1   CR         0   TR 11   CH 11   ST &EA &00 &40
BA    1   CR         0   TR 11   CH 11   ST &BA &65 &00
BA    1   CR         0   TR 11   CH 11   ST &BA &64 &00
BA    1   CR         0   TR 11   CH 11   ST &BA &06 &0C
BA    1   CR         0   TR 11   CH 11   ST &BA &0A &66
BA    1   CR         0   TR 11   CH 11   Channel volume 105
BA    1   CR         0   TR 11   CH 11   ST &EA &00 &40
BA    1   CR         0   TR 11   CH 11   Instrument 19
BA    1   CR         0   TR 11   CH 11   ST &BA &01 &7F
BA    1   CR         0   TR 11   CH 11   ST &BA &65 &00
BA    1   CR         0   TR 11   CH 11   ST &BA &64 &00
BA    1   CR         0   TR 11   CH 11   ST &BA &06 &0C
BA    1   CR         0   TR 11   CH 11   ST &BA &0A &66
BA    1   CR         0   TR 11   CH 11   Channel volume 105
BA    1   CR         0   TR 11   CH 11   ST &EA &00 &40
BA    1   CR         0   TR 11   CH 11   Instrument 19
BA    1   CR         0   TR 11   CH 11   ST &BA &01 &7F
BA    1   CR         0   TR 11   CH 11   ST &BA &01 &7F
BA    1   CR         0   TR 11   CH 11   ST &BA &0A &66
BA    1   CR         0   TR 11   CH 11   Channel volume 105
BA    1   CR         0   TR 11   CH 11   ST &BA &65 &00
BA    1   CR         0   TR 11   CH 11   ST &BA &64 &00
BA    1   CR         0   TR 11   CH 11   ST &BA &06 &0C
BA    1   CR         0   TR 11   CH 11   ST &BA &0A &66
BA    1   CR         0   TR 11   CH 11   Channel volume 105
BA    1   CR         0   TR 11   CH 11   ST &EA &00 &40
BA    1   CR         0   TR 11   CH 11   Instrument 19
BA    1   CR         0   TR 11   CH 11   ST &BA &01 &7F
BA    1   CR         0   TR 11   CH 11   ST &BA &01 &7F
BA    1   CR         0   TR 11   CH 11   ST &BA &0A &66
BA    1   CR         0   TR 11   CH 11   Channel volume 105
BA    1   CR         0   TR 12   CH 16   Text type 3: "Rock Organ Left"
BA    1   CR         0   TR 12   CH 12   ST &BB &0A &1A
BA    1   CR         0   TR 12   CH 12   Channel volume 93
BA    1   CR         0   TR 12   CH 12   ST &EB &00 &40
BA    1   CR         0   TR 12   CH 12   ST &BB &65 &00
BA    1   CR         0   TR 12   CH 12   ST &BB &64 &00
BA    1   CR         0   TR 12   CH 12   ST &BB &06 &0C
BA    1   CR         0   TR 12   CH 12   ST &BB &0A &1A
BA    1   CR         0   TR 12   CH 12   Channel volume 93
BA    1   CR         0   TR 12   CH 12   ST &EB &00 &40
BA    1   CR         0   TR 12   CH 12   Instrument 19
BA    1   CR         0   TR 12   CH 12   ST &BB &01 &7F
BA    1   CR         0   TR 12   CH 12   ST &BB &65 &00
BA    1   CR         0   TR 12   CH 12   ST &BB &64 &00
BA    1   CR         0   TR 12   CH 12   ST &BB &06 &0C
BA    1   CR         0   TR 12   CH 12   ST &BB &0A &1A
BA    1   CR         0   TR 12   CH 12   Channel volume 93
BA    1   CR         0   TR 12   CH 12   ST &EB &00 &40
BA    1   CR         0   TR 12   CH 12   Instrument 19
BA    1   CR         0   TR 12   CH 12   ST &BB &01 &7F
BA    1   CR         0   TR 12   CH 12   ST &BB &0A &1A
BA    1   CR         0   TR 12   CH 12   Channel volume 93
BA    1   CR         0   TR 12   CH 12   ST &BB &65 &00
BA    1   CR         0   TR 12   CH 12   ST &BB &64 &00
BA    1   CR         0   TR 12   CH 12   ST &BB &06 &0C
BA    1   CR         0   TR 12   CH 12   ST &BB &0A &1A
BA    1   CR         0   TR 12   CH 12   Channel volume 93
BA    1   CR         0   TR 12   CH 12   ST &EB &00 &40
BA    1   CR         0   TR 12   CH 12   Instrument 19
BA    1   CR         0   TR 12   CH 12   ST &BB &01 &7F
BA    1   CR         0   TR 12   CH 12   ST &BB &0A &1A
BA    1   CR         0   TR 12   CH 12   Channel volume 93
BA    1   CR         0   TR 13   CH 16   Text type 3: "Violin (Melody)"
BA    1   CR         0   TR 13   CH 13   ST &BC &0A &40
BA    1   CR         0   TR 13   CH 13   Channel volume 78
BA    1   CR         0   TR 13   CH 13   ST &EC &00 &40
BA    1   CR         0   TR 13   CH 13   ST &BC &65 &00
BA    1   CR         0   TR 13   CH 13   ST &BC &64 &00
BA    1   CR         0   TR 13   CH 13   ST &BC &06 &0C
BA    1   CR         0   TR 13   CH 13   ST &BC &0A &40
BA    1   CR         0   TR 13   CH 13   Channel volume 78
BA    1   CR         0   TR 13   CH 13   ST &EC &00 &40
BA    1   CR         0   TR 13   CH 13   Instrument 41
BA    1   CR         0   TR 13   CH 13   ST &BC &01 &7F
BA    1   CR         0   TR 13   CH 13   ST &BC &65 &00
BA    1   CR         0   TR 13   CH 13   ST &BC &64 &00
BA    1   CR         0   TR 13   CH 13   ST &BC &06 &0C
BA    1   CR         0   TR 13   CH 13   ST &BC &0A &40
BA    1   CR         0   TR 13   CH 13   Channel volume 78
BA    1   CR         0   TR 13   CH 13   ST &EC &00 &40
BA    1   CR         0   TR 13   CH 13   Instrument 41
BA    1   CR         0   TR 13   CH 13   ST &BC &01 &7F
BA    1   CR         0   TR 13   CH 13   Channel volume 78
BA    1   CR         0   TR 13   CH 13   ST &BC &65 &00
BA    1   CR         0   TR 13   CH 13   ST &BC &64 &00
BA    1   CR         0   TR 13   CH 13   ST &BC &06 &0C
BA    1   CR         0   TR 13   CH 13   ST &BC &0A &40
BA    1   CR         0   TR 13   CH 13   Channel volume 78
BA    1   CR         0   TR 13   CH 13   ST &EC &00 &40
BA    1   CR         0   TR 13   CH 13   Instrument 41
BA    1   CR         0   TR 13   CH 13   ST &BC &01 &7F
BA    1   CR         0   TR 13   CH 13   Channel volume 78
BA    1   CR         0   TR 14   CH 16   Text type 3: "Distortion Guitar"
BA    1   CR         0   TR 14   CH 14   ST &BD &0A &40
BA    1   CR         0   TR 14   CH 14   Channel volume 79
BA    1   CR         0   TR 14   CH 14   ST &ED &00 &40
BA    1   CR         0   TR 14   CH 14   ST &BD &65 &00
BA    1   CR         0   TR 14   CH 14   ST &BD &64 &00
BA    1   CR         0   TR 14   CH 14   ST &BD &06 &0C
BA    1   CR         0   TR 14   CH 14   ST &BD &0A &40
BA    1   CR         0   TR 14   CH 14   Channel volume 79
BA    1   CR         0   TR 14   CH 14   ST &ED &00 &40
BA    1   CR         0   TR 14   CH 14   Instrument 31
BA    1   CR         0   TR 14   CH 14   ST &BD &01 &00
BA    1   CR         0   TR 14   CH 14   ST &BD &65 &00
BA    1   CR         0   TR 14   CH 14   ST &BD &64 &00
BA    1   CR         0   TR 14   CH 14   ST &BD &06 &0C
BA    1   CR         0   TR 14   CH 14   ST &BD &0A &40
BA    1   CR         0   TR 14   CH 14   Channel volume 79
BA    1   CR         0   TR 14   CH 14   ST &ED &00 &40
BA    1   CR         0   TR 14   CH 14   Instrument 31
BA    1   CR         0   TR 14   CH 14   ST &BD &01 &00
BA    1   CR         0   TR 14   CH 14   Channel volume 79
BA    1   CR         0   TR 14   CH 14   ST &BD &65 &00
BA    1   CR         0   TR 14   CH 14   ST &BD &64 &00
BA    1   CR         0   TR 14   CH 14   ST &BD &06 &0C
BA    1   CR         0   TR 14   CH 14   ST &BD &0A &40
BA    1   CR         0   TR 14   CH 14   Channel volume 79
BA    1   CR         0   TR 14   CH 14   ST &ED &00 &40
BA    1   CR         0   TR 14   CH 14   Instrument 31
BA    1   CR         0   TR 14   CH 14   ST &BD &01 &00
BA    1   CR         0   TR 14   CH 14   Channel volume 79
BA    1   CR         0   TR 15   CH 16   Text type 3: "Bits and Bytes"
BA    1   CR         0   TR 15   CH 15   ST &BE &0A &0F
BA    1   CR         0   TR 15   CH 15   Channel volume 87
BA    1   CR         0   TR 15   CH 15   ST &EE &00 &40
BA    1   CR         0   TR 15   CH 15   ST &BE &65 &00
BA    1   CR         0   TR 15   CH 15   ST &BE &64 &00
