
BA    1   CR         0   TR  0   CH 16   Time signature 4/4, clocks/mtick 24, crotchets/32ndnote 8
BA    1   CR         0   TR  0   CH 16   Tempo 160
BA    4   CR       3/4   TR  1   CH  1   NT  B-            1/2
BA    4   CR       3/4   TR  1   CH  1   NT  G             1/2
BA    4   CR     1+1/4   TR  1   CH  1   NT  G-            1/4
BA    4   CR     1+1/2   TR  1   CH  1   NT  B---          1/4
BA    4   CR     1+1/2   TR  1   CH  1   NT  G             1/4
BA    4   CR     1+1/2   TR  1   CH  1   NT  B-            1/4
BA    4   CR     1+3/4   TR  1   CH  1   NT  G-            1/4
BA    4   CR         2   TR  1   CH  1   NT  D             1/4
BA    4   CR         2   TR  1   CH  1   NT  B-            1/4
BA    4   CR     2+1/4   TR  1   CH  1   NT  G---          1/4
BA    4   CR     2+1/4   TR  1   CH  1   NT  G             1/2
BA    4   CR     2+1/4   TR  1   CH  1   NT  B-            1/2
BA    4   CR     2+3/4   TR  1   CH  1   NT  G-            3/4
BA    4   CR     2+3/4   TR  1   CH  1   NT  B-            3/4
BA    4   CR         3   TR  1   CH  1   NT  B---          1/4
BA    4   CR     3+1/2   TR  1   CH  1   NT  C--           1/4
BA    4   CR     3+3/4   TR  1   CH  1   NT  G-            1/4

BA    5   CR         0   TR  1   CH  1   NT  G             1/4
BA    5   CR         0   TR  1   CH  1   NT  C--           1/4
BA    5   CR         0   TR  1   CH  1   NT  C             1/4
BA    5   CR       1/4   TR  1   CH  1   NT  C             1/4
BA    5   CR       1/4   TR  1   CH  1   NT  G-            1/4
BA    5   CR       1/2   TR  1   CH  1   NT  C             1/4
BA    5   CR       1/2   TR  1   CH  1   NT  E             1/4
BA    5   CR       3/4   TR  1   CH  1   NT  G---          1/4
BA    5   CR       3/4   TR  1   CH  1   NT  C             1/2
BA    5   CR       3/4   TR  1   CH  1   NT  G             1/2
BA    5   CR     1+1/4   TR  1   CH  1   NT  G-            1/4
BA    5   CR     1+1/2   TR  1   CH  1   NT  C--           1/4
BA    5   CR     1+1/2   TR  1   CH  1   NT  C-            1/4
BA    5   CR     1+1/2   TR  1   CH  1   NT  G             1/4
BA    5   CR         2   TR  1   CH  1   NT  C--           1/4
BA    5   CR         2   TR  1   CH  1   NT  C-            1/4
BA    5   CR         2   TR  1   CH  1   NT  G             1/4
BA    5   CR     2+1/2   TR  1   CH  1   NT  B---          1/4
BA    5   CR     2+1/2   TR  1   CH  1   NT  B--           1/4
BA    5   CR     2+1/2   TR  1   CH  1   NT  F#            1/4
BA    5   CR         3   TR  1   CH  1   NT  Bb---         1/4
BA    5   CR         3   TR  1   CH  1   NT  Bb--          1/4
BA    5   CR         3   TR  1   CH  1   NT  F             1/4
BA    5   CR    3+5/12   TR  1   CH  1   NT  A---          1/4
BA    5   CR     3+3/4   TR  1   CH  1   NT  A-            1/4

BA    6   CR         0   TR  1   CH  1   NT  A             1/4
BA    6   CR         0   TR  1   CH  1   NT  C#            1/4
BA    6   CR         0   TR  1   CH  1   NT  A---          1/4
BA    6   CR       1/4   TR  1   CH  1   NT  E             1/4
BA    6   CR       1/4   TR  1   CH  1   NT  A-            1/4
BA    6   CR       1/2   TR  1   CH  1   NT  E             1/4
BA    6   CR       1/2   TR  1   CH  1   NT  G             1/4
BA    6   CR       3/4   TR  1   CH  1   NT  C#--          1/4
BA    6   CR       3/4   TR  1   CH  1   NT  C#            1/2
BA    6   CR       3/4   TR  1   CH  1   NT  A             1/2
BA    6   CR     1+1/4   TR  1   CH  1   NT  A-            1/4
BA    6   CR     1+1/2   TR  1   CH  1   NT  E--           1/4
BA    6   CR     1+1/2   TR  1   CH  1   NT  C#            1/4
BA    6   CR     1+1/2   TR  1   CH  1   NT  A             1/4
BA    6   CR     1+3/4   TR  1   CH  1   NT  A-            1/4
BA    6   CR     1+3/4   TR  1   CH  1   NT  E             1/4
BA    6   CR         2   TR  1   CH  1   NT  E             1/4
BA    6   CR         2   TR  1   CH  1   NT  G             1/4
BA    6   CR     2+1/4   TR  1   CH  1   NT  C#--          1/4
BA    6   CR     2+1/4   TR  1   CH  1   NT  A             1/2
BA    6   CR     2+1/4   TR  1   CH  1   NT  C#            1/2
BA    6   CR     2+3/4   TR  1   CH  1   NT  A-            2/3
BA    6   CR     2+3/4   TR  1   CH  1   NT  C#            2/3
BA    6   CR         3   TR  1   CH  1   NT  A---          1/4
BA    6   CR     3+1/2   TR  1   CH  1   NT  E--           1/4
BA    6   CR     3+3/4   TR  1   CH  1   NT  A-            1/4

BA    7   CR         0   TR  1   CH  1   NT  D--           1/4
BA    7   CR         0   TR  1   CH  1   NT  D             1/4
BA    7   CR         0   TR  1   CH  1   NT  A             1/4
BA    7   CR       1/4   TR  1   CH  1   NT  A-            1/4
BA    7   CR       1/2   TR  1   CH  1   NT  F             1/4
BA    7   CR       3/4   TR  1   CH  1   NT  A---          1/4
BA    7   CR       3/4   TR  1   CH  1   NT  D             1/2
BA    7   CR       3/4   TR  1   CH  1   NT  A             1/2
BA    7   CR     1+1/4   TR  1   CH  1   NT  A-            1/4
BA    7   CR    1+5/12   TR  1   CH  1   NT  D--           1/4
BA    7   CR     1+1/2   TR  1   CH  1   NT  A             1/4
BA    7   CR     1+1/2   TR  1   CH  1   NT  D             1/4
BA    7   CR     1+3/4   TR  1   CH  1   NT  A-            1/4
BA    7   CR         2   TR  1   CH  1   NT  D             1/4
BA    7   CR         2   TR  1   CH  1   NT  F             1/4
BA    7   CR     2+1/4   TR  1   CH  1   NT  D             1/2
BA    7   CR     2+1/4   TR  1   CH  1   NT  A             1/2
BA    7   CR     2+1/4   TR  1   CH  1   NT  A---          1/4
BA    7   CR     2+3/4   TR  1   CH  1   NT  A-           7/12
BA    7   CR     2+3/4   TR  1   CH  1   NT  D            7/12
BA    7   CR         3   TR  1   CH  1   NT  A---          1/4
BA    7   CR     3+1/2   TR  1   CH  1   NT  G---          1/4
BA    7   CR     3+3/4   TR  1   CH  1   NT  B-            1/4

BA    8   CR         0   TR  1   CH  1   NT  B             1/4
BA    8   CR         0   TR  1   CH  1   NT  D             1/4
BA    8   CR         0   TR  1   CH  1   NT  B---          1/4
BA    8   CR       1/4   TR  1   CH  1   NT  B-            1/4
BA    8   CR       1/2   TR  1   CH  1   NT  F             1/4
BA    8   CR       1/2   TR  1   CH  1   NT  D             1/4
BA    8   CR       3/4   TR  1   CH  1   NT  D             1/2
BA    8   CR       3/4   TR  1   CH  1   NT  B             1/2
BA    8   CR       3/4   TR  1   CH  1   NT  D--           1/4
BA    8   CR     1+1/4   TR  1   CH  1   NT  B-            1/4
BA    8   CR     1+1/2   TR  1   CH  1   NT  D             1/4
BA    8   CR     1+1/2   TR  1   CH  1   NT  B             1/4
BA    8   CR     1+1/2   TR  1   CH  1   NT  B---          1/4
BA    8   CR     1+3/4   TR  1   CH  1   NT  B-            1/4
BA    8   CR         2   TR  1   CH  1   NT  D             1/4
BA    8   CR         2   TR  1   CH  1   NT  F             1/4
BA    8   CR     2+1/4   TR  1   CH  1   NT  D             1/2
BA    8   CR     2+1/4   TR  1   CH  1   NT  B             1/2
BA    8   CR     2+1/4   TR  1   CH  1   NT  G---          1/4
BA    8   CR     2+3/4   TR  1   CH  1   NT  B-            2/3
BA    8   CR     2+3/4   TR  1   CH  1   NT  D             2/3
BA    8   CR         3   TR  1   CH  1   NT  B---          1/4
BA    8   CR     3+1/2   TR  1   CH  1   NT  C--           1/4
BA    8   CR     3+3/4   TR  1   CH  1   NT  C             1/4

BA    9   CR         0   TR  1   CH  1   NT  G             1/4
BA    9   CR         0   TR  1   CH  1   NT  E             1/4
BA    9   CR         0   TR  1   CH  1   NT  C--           1/4
BA    9   CR       1/4   TR  1   CH  1   NT  C'            1/4
BA    9   CR       1/4   TR  1   CH  1   NT  C             1/4
BA    9   CR       1/2   TR  1   CH  1   NT  C             1/2
BA    9   CR       1/2   TR  1   CH  1   NT  E             1/2
BA    9   CR       3/4   TR  1   CH  1   NT  G---          1/4
BA    9   CR         1   TR  1   CH  1   NT  C             1/4
BA    9   CR     1+1/4   TR  1   CH  1   NT  G             1/4
BA    9   CR     1+1/2   TR  1   CH  1   NT  A---          1/4
BA    9   CR     1+1/2   TR  1   CH  1   NT  A             1/4
BA    9   CR     1+3/4   TR  1   CH  1   NT  B             1/4
BA    9   CR         2   TR  1   CH  1   NT  C--           1/4
BA    9   CR         2   TR  1   CH  1   NT  E             1/4
BA    9   CR         2   TR  1   CH  1   NT  C'            1/4
BA    9   CR     2+1/2   TR  1   CH  1   NT  G---          1/4
BA    9   CR     2+1/2   TR  1   CH  1   NT  D             1/4
BA    9   CR     2+1/2   TR  1   CH  1   NT  B             1/4
BA    9   CR         3   TR  1   CH  1   NT  C--           1/4
BA    9   CR         3   TR  1   CH  1   NT  E             1/4
BA    9   CR         3   TR  1   CH  1   NT  C'            1/4
BA    9   CR     3+1/2   TR  1   CH  1   NT  E--           1/4
BA    9   CR   3+39/40   TR  2   CH  2   Channel volume 126

BA   10   CR         0   TR  1   CH  1   NT  C--           1/4
BA   10   CR         0   TR  1   CH  1   NT  E'            1/4
BA   10   CR         0   TR  2   CH  2   NT  C--           1/4   von=100
BA   10   CR       1/2   TR  1   CH  1   NT  E-            1/4
BA   10   CR       1/2   TR  1   CH  1   NT  C-            1/4
BA   10   CR       1/2   TR  2   CH  2   NT  C--           1/4
BA   10   CR         1   TR  1   CH  1   NT  E--           1/4
BA   10   CR         1   TR  1   CH  1   NT  C'            1/4
BA   10   CR         1   TR  2   CH  2   NT  E--           1/4
BA   10   CR     1+1/2   TR  1   CH  1   NT  E-            1/4
BA   10   CR     1+1/2   TR  1   CH  1   NT  C-            1/4
BA   10   CR     1+1/2   TR  2   CH  2   NT  E--           1/4
BA   10   CR     1+3/4   TR  1   CH  1   NT  G             1/4
BA   10   CR         2   TR  1   CH  1   NT  F--           1/4
BA   10   CR         2   TR  1   CH  1   NT  A             1/4
BA   10   CR         2   TR  2   CH  2   NT  F--           1/4
BA   10   CR     2+1/4   TR  1   CH  1   NT  C'            1/4
BA   10   CR     2+1/2   TR  1   CH  1   NT  F-            1/4
BA   10   CR     2+1/2   TR  1   CH  1   NT  C-            1/4
BA   10   CR     2+1/2   TR  2   CH  2   NT  F--           1/4
BA   10   CR     2+3/4   TR  1   CH  1   NT  C'            1/4
BA   10   CR         3   TR  1   CH  1   NT  F#--          1/4
BA   10   CR         3   TR  2   CH  2   NT  F#--          1/4
BA   10   CR     3+1/2   TR  1   CH  1   NT  F#-           1/4
BA   10   CR     3+1/2   TR  1   CH  1   NT  C-            1/4
BA   10   CR     3+1/2   TR  2   CH  2   NT  F#--          1/4
BA   10   CR     3+3/4   TR  1   CH  1   NT  A             1/4

BA   11   CR         0   TR  1   CH  1   NT  E--           1/4
BA   11   CR         0   TR  1   CH  1   NT  G             1/4
BA   11   CR         0   TR  2   CH  2   NT  E--           1/4
BA   11   CR       1/2   TR  1   CH  1   NT  C-            1/4
BA   11   CR       1/2   TR  1   CH  1   NT  E-            1/4
BA   11   CR       1/2   TR  1   CH  1   NT  C'            1/4
BA   11   CR       1/2   TR  2   CH  2   NT  E--           1/4
BA   11   CR         1   TR  1   CH  1   NT  Eb--          1/4
BA   11   CR         1   TR  1   CH  1   NT  C'            1/4
BA   11   CR         1   TR  2   CH  2   NT  Eb--          1/4
BA   11   CR     1+1/2   TR  1   CH  1   NT  C-            1/4
BA   11   CR     1+1/2   TR  1   CH  1   NT  Eb-           1/4
BA   11   CR     1+1/2   TR  1   CH  1   NT  G'            1/4
BA   11   CR     1+1/2   TR  2   CH  2   NT  Eb--          1/4
BA   11   CR         2   TR  1   CH  1   NT  D--           1/4
BA   11   CR         2   TR  1   CH  1   NT  E'            1/4
BA   11   CR         2   TR  2   CH  2   NT  D--           1/4
BA   11   CR     2+1/2   TR  1   CH  1   NT  B--           1/4
BA   11   CR     2+1/2   TR  1   CH  1   NT  D-            1/4
BA   11   CR     2+1/2   TR  2   CH  2   NT  D--           1/4
BA   11   CR     2+3/4   TR  1   CH  1   NT  D'            1/4
BA   11   CR         3   TR  1   CH  1   NT  G---          1/4
BA   11   CR         3   TR  2   CH  2   NT  G---          1/4
BA   11   CR     3+1/2   TR  1   CH  1   NT  B--           1/4
BA   11   CR     3+1/2   TR  1   CH  1   NT  D-            1/4
BA   11   CR     3+1/2   TR  2   CH  2   NT  G---          1/4
BA   11   CR     3+3/4   TR  1   CH  1   NT  G             1/4

BA   12   CR         0   TR  1   CH  1   NT  C--           1/4
BA   12   CR         0   TR  1   CH  1   NT  E'            1/4
BA   12   CR         0   TR  2   CH  2   NT  C--           1/4
BA   12   CR      5/12   TR  1   CH  1   NT  C-            1/4
BA   12   CR      5/12   TR  1   CH  1   NT  E-            1/4
BA   12   CR       1/2   TR  2   CH  2   NT  C--           1/4
BA   12   CR         1   TR  1   CH  1   NT  E--           1/4
BA   12   CR         1   TR  1   CH  1   NT  C'            1/4
BA   12   CR         1   TR  2   CH  2   NT  E--           1/4
BA   12   CR     1+1/2   TR  1   CH  1   NT  C-            1/4
BA   12   CR     1+1/2   TR  1   CH  1   NT  E-            1/4
BA   12   CR     1+1/2   TR  2   CH  2   NT  E--           1/4
BA   12   CR     1+3/4   TR  1   CH  1   NT  G             1/4
BA   12   CR         2   TR  1   CH  1   NT  F--           1/4
BA   12   CR         2   TR  1   CH  1   NT  A             1/4
BA   12   CR         2   TR  2   CH  2   NT  F--           1/4
BA   12   CR     2+1/4   TR  1   CH  1   NT  C'            1/4
BA   12   CR     2+1/2   TR  1   CH  1   NT  C-            1/4
BA   12   CR     2+1/2   TR  1   CH  1   NT  F-            1/4
BA   12   CR     2+1/2   TR  2   CH  2   NT  F--           1/4
BA   12   CR     2+3/4   TR  1   CH  1   NT  C'            1/4
BA   12   CR         3   TR  1   CH  1   NT  F#--          1/4
BA   12   CR         3   TR  2   CH  2   NT  F#--          1/4
BA   12   CR     3+1/2   TR  1   CH  1   NT  C-            1/4
BA   12   CR     3+1/2   TR  1   CH  1   NT  F#-           1/4
BA   12   CR     3+1/2   TR  2   CH  2   NT  F#--          1/4
BA   12   CR     3+3/4   TR  1   CH  1   NT  A             1/4

BA   13   CR         0   TR  1   CH  1   NT  F--           1/4
BA   13   CR         0   TR  1   CH  1   NT  G             1/4
BA   13   CR         0   TR  2   CH  2   NT  D--           1/4
BA   13   CR       1/2   TR  1   CH  1   NT  C-            1/4
BA   13   CR       1/2   TR  1   CH  1   NT  F-            1/4
BA   13   CR       1/2   TR  1   CH  1   NT  C'            1/4
BA   13   CR       1/2   TR  2   CH  2   NT  D--           1/4
BA   13   CR         1   TR  1   CH  1   NT  G--           1/4
BA   13   CR         1   TR  1   CH  1   NT  F'            1/4
BA   13   CR         1   TR  2   CH  2   NT  G--           1/4
BA   13   CR     1+1/4   TR  1   CH  1   NT  E'            1/4
BA   13   CR     1+1/2   TR  1   CH  1   NT  B--           1/4
BA   13   CR     1+1/2   TR  1   CH  1   NT  D-            1/4
BA   13   CR     1+1/2   TR  1   CH  1   NT  D'            1/4
BA   13   CR     1+1/2   TR  2   CH  2   NT  G--           1/4
BA   13   CR     1+3/4   TR  1   CH  1   NT  C'            1/4
BA   13   CR         2   TR  1   CH  1   NT  C--           1/4
BA   13   CR         2   TR  2   CH  2   NT  C--           1/4
BA   13   CR     2+1/2   TR  1   CH  1   NT  C-            1/4
BA   13   CR     2+1/2   TR  1   CH  1   NT  G--           1/4
BA   13   CR     2+1/2   TR  2   CH  2   NT  C--           1/4
BA   13   CR         3   TR  1   CH  1   NT  C--           1/4
BA   13   CR         3   TR  2   CH  2   NT  C--           1/4
BA   13   CR     3+1/2   TR  1   CH  1   NT  C-            1/4
BA   13   CR     3+1/2   TR  1   CH  1   NT  G--           1/4
BA   13   CR     3+1/2   TR  2   CH  2   NT  C--           1/4

BA   14   CR         0   TR  1   CH  1   NT  C--           1/4
BA   14   CR         0   TR  1   CH  1   NT  E'            1/4
BA   14   CR         0   TR  2   CH  2   NT  C--           1/4
BA   14   CR       1/2   TR  1   CH  1   NT  E-            1/4
BA   14   CR       1/2   TR  1   CH  1   NT  C-            1/4
BA   14   CR       1/2   TR  2   CH  2   NT  C--           1/4
BA   14   CR         1   TR  1   CH  1   NT  E--           1/4
BA   14   CR         1   TR  1   CH  1   NT  C'            1/4
BA   14   CR         1   TR  2   CH  2   NT  E--           1/4
BA   14   CR     1+1/2   TR  1   CH  1   NT  E-            1/4
BA   14   CR     1+1/2   TR  1   CH  1   NT  C-            1/4
BA   14   CR     1+1/2   TR  2   CH  2   NT  E--           1/4
BA   14   CR     1+3/4   TR  1   CH  1   NT  G             1/4
BA   14   CR         2   TR  1   CH  1   NT  F--           1/4
BA   14   CR         2   TR  1   CH  1   NT  A             1/4
BA   14   CR         2   TR  2   CH  2   NT  F--           1/4
BA   14   CR     2+1/4   TR  1   CH  1   NT  C'            1/4
BA   14   CR     2+1/2   TR  1   CH  1   NT  F-            1/4
BA   14   CR     2+1/2   TR  1   CH  1   NT  C-            1/4
BA   14   CR     2+1/2   TR  2   CH  2   NT  F--           1/4
BA   14   CR     2+3/4   TR  1   CH  1   NT  C'            1/4
BA   14   CR         3   TR  1   CH  1   NT  F#--          1/4
BA   14   CR         3   TR  2   CH  2   NT  F#--          1/4
BA   14   CR     3+1/2   TR  1   CH  1   NT  F#-           1/4
BA   14   CR     3+1/2   TR  1   CH  1   NT  C-            1/4
BA   14   CR     3+1/2   TR  2   CH  2   NT  F#--          1/4
BA   14   CR     3+3/4   TR  1   CH  1   NT  A             1/4

BA   15   CR         0   TR  1   CH  1   NT  E--           1/4
BA   15   CR         0   TR  1   CH  1   NT  G             1/4
BA   15   CR         0   TR  2   CH  2   NT  E--           1/4
BA   15   CR       1/2   TR  1   CH  1   NT  C-            1/4
BA   15   CR       1/2   TR  1   CH  1   NT  E-            1/4
BA   15   CR       1/2   TR  1   CH  1   NT  C'            1/4
BA   15   CR       1/2   TR  2   CH  2   NT  E--           1/4
BA   15   CR         1   TR  1   CH  1   NT  Eb--          1/4
BA   15   CR         1   TR  1   CH  1   NT  C'            1/4
BA   15   CR         1   TR  2   CH  2   NT  Eb--          1/4
BA   15   CR     1+1/2   TR  1   CH  1   NT  C-            1/4
BA   15   CR     1+1/2   TR  1   CH  1   NT  Eb-           1/4
BA   15   CR     1+1/2   TR  1   CH  1   NT  G'            1/4
BA   15   CR     1+1/2   TR  2   CH  2   NT  Eb--          1/4
BA   15   CR         2   TR  1   CH  1   NT  D--           1/4
BA   15   CR         2   TR  1   CH  1   NT  E'            1/4
BA   15   CR         2   TR  2   CH  2   NT  D--           1/4
BA   15   CR     2+1/2   TR  1   CH  1   NT  B--           1/4
BA   15   CR     2+1/2   TR  1   CH  1   NT  D-            1/4
BA   15   CR     2+1/2   TR  2   CH  2   NT  D--           1/4
BA   15   CR     2+3/4   TR  1   CH  1   NT  D'            1/4
BA   15   CR         3   TR  1   CH  1   NT  G---          1/4
BA   15   CR         3   TR  2   CH  2   NT  G---          1/4
BA   15   CR     3+1/2   TR  1   CH  1   NT  B--           1/4
BA   15   CR     3+1/2   TR  1   CH  1   NT  D-            1/4
BA   15   CR     3+1/2   TR  2   CH  2   NT  G---          1/4
BA   15   CR     3+3/4   TR  1   CH  1   NT  G             1/4

BA   16   CR         0   TR  1   CH  1   NT  C--           1/4
BA   16   CR         0   TR  1   CH  1   NT  E'            1/4
BA   16   CR         0   TR  2   CH  2   NT  C--           1/4
BA   16   CR      5/12   TR  1   CH  1   NT  C-            1/4
BA   16   CR      5/12   TR  1   CH  1   NT  E-            1/4
BA   16   CR       1/2   TR  2   CH  2   NT  C--           1/4
BA   16   CR         1   TR  1   CH  1   NT  E--           1/4
BA   16   CR         1   TR  1   CH  1   NT  C'            1/4
BA   16   CR         1   TR  2   CH  2   NT  E--           1/4
BA   16   CR     1+1/2   TR  1   CH  1   NT  C-            1/4
BA   16   CR     1+1/2   TR  1   CH  1   NT  E-            1/4
BA   16   CR     1+1/2   TR  2   CH  2   NT  E--           1/4
BA   16   CR     1+3/4   TR  1   CH  1   NT  G             1/4
BA   16   CR         2   TR  1   CH  1   NT  F--           1/4
BA   16   CR         2   TR  1   CH  1   NT  A             1/4
BA   16   CR         2   TR  2   CH  2   NT  F--           1/4
BA   16   CR     2+1/4   TR  1   CH  1   NT  C'            1/4
BA   16   CR     2+1/2   TR  1   CH  1   NT  C-            1/4
BA   16   CR     2+1/2   TR  1   CH  1   NT  F-            1/4
BA   16   CR     2+1/2   TR  2   CH  2   NT  F--           1/4
BA   16   CR     2+3/4   TR  1   CH  1   NT  C'            1/4
BA   16   CR         3   TR  1   CH  1   NT  F#--          1/4
BA   16   CR         3   TR  2   CH  2   NT  F#--          1/4
BA   16   CR     3+1/2   TR  1   CH  1   NT  C-            1/4
BA   16   CR     3+1/2   TR  1   CH  1   NT  F#-           1/4
BA   16   CR     3+1/2   TR  2   CH  2   NT  F#--          1/4
BA   16   CR     3+3/4   TR  1   CH  1   NT  A             1/4

BA   17   CR         0   TR  1   CH  1   NT  G             1/4
BA   17   CR         0   TR  1   CH  1   NT  F--           1/4
BA   17   CR         0   TR  2   CH  2   NT  D--           1/4
BA   17   CR       1/2   TR  1   CH  1   NT  C-            1/4
BA   17   CR       1/2   TR  1   CH  1   NT  F-            1/4
BA   17   CR       1/2   TR  1   CH  1   NT  C'            1/4
BA   17   CR       1/2   TR  2   CH  2   NT  D--           1/4
BA   17   CR         1   TR  1   CH  1   NT  G--           1/4
BA   17   CR         1   TR  1   CH  1   NT  F'            1/4
BA   17   CR         1   TR  2   CH  2   NT  G--           1/4
BA   17   CR     1+1/4   TR  1   CH  1   NT  E'            1/4
BA   17   CR     1+1/2   TR  1   CH  1   NT  B--           1/4
BA   17   CR     1+1/2   TR  1   CH  1   NT  D-            1/4
BA   17   CR     1+1/2   TR  1   CH  1   NT  D'            1/4
BA   17   CR     1+1/2   TR  2   CH  2   NT  G--           1/4
BA   17   CR     1+3/4   TR  1   CH  1   NT  C'            1/4
BA   17   CR         2   TR  1   CH  1   NT  C--           1/4
BA   17   CR         2   TR  2   CH  2   NT  C--           1/4
