
BA    1   CR         0   TR  0   CH 16   Tempo 115
BA    1   CR         0   TR  0   CH 16   Tempo 115
BA    1   CR         0   TR  0   CH 16   Tempo 115
BA    1   CR         0   TR  0   CH 16   End of track
BA    1   CR         0   TR  1   CH 16   Text type 3: "Violins (MIDI)"
BA    1   CR         0   TR  9   CH  9   ST &E8 &00 &40
BA    1   CR         0   TR  9   CH  9   Instrument 48
BA    1   CR         0   TR  9   CH  9   ST &B8 &0A &40
BA    1   CR         0   TR  9   CH  9   Channel volume 100
BA    1   CR         0   TR  9   CH  9   ST &E8 &00 &40
BA    1   CR         0   TR  9   CH  9   Instrument 48
BA    1   CR         0   TR  9   CH  9   NT  C--       3+31/32   von=95
BA    1   CR         0   TR 10   CH 16   Text type 3: "Percussion (MIDI)"
BA    1   CR         0   TR 10   CH 10   ST &B9 &0A &4B
BA    1   CR         0   TR 10   CH 10   Channel volume 100
BA    1   CR         0   TR 10   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 10   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR 10   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR 10   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR 10   CH 10   ST &B9 &0A &4B
BA    1   CR         0   TR 10   CH 10   Channel volume 100
BA    1   CR         0   TR 10   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 10   CH 10   Instrument 1
BA    1   CR         0   TR 10   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR 10   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR 10   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR 10   CH 10   ST &B9 &0A &4B
BA    1   CR         0   TR 10   CH 10   Channel volume 100
BA    1   CR         0   TR 10   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 10   CH 10   Instrument 1
BA    1   CR         0   TR 10   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR 10   CH 10   Channel volume 100
BA    1   CR         0   TR 10   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 10   CH 10   ST &B9 &65 &00
BA    1   CR         0   TR 10   CH 10   ST &B9 &64 &00
BA    1   CR         0   TR 10   CH 10   ST &B9 &06 &0C
BA    1   CR         0   TR 10   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR 10   CH 10   Channel volume 100
BA    1   CR         0   TR 10   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 10   CH 10   Instrument 1
BA    1   CR         0   TR 10   CH 10   ST &B9 &0A &40
BA    1   CR         0   TR 10   CH 10   Channel volume 100
BA    1   CR         0   TR 10   CH 10   ST &E9 &00 &40
BA    1   CR         0   TR 10   CH 10   NT  F#-         31/32   von=96
BA    1   CR         0   TR 11   CH 16   Text type 3: "Bass Str. (MIDI)"
BA    1   CR         0   TR 11   CH 12   ST &BB &0A &53
BA    1   CR         0   TR 11   CH 12   Channel volume 100
BA    1   CR         0   TR 11   CH 12   ST &EB &00 &40
BA    1   CR         0   TR 11   CH 12   ST &BB &65 &00
BA    1   CR         0   TR 11   CH 12   ST &BB &64 &00
BA    1   CR         0   TR 11   CH 12   ST &BB &06 &0C
BA    1   CR         0   TR 11   CH 12   ST &BB &0A &53
BA    1   CR         0   TR 11   CH 12   Channel volume 100
BA    1   CR         0   TR 11   CH 12   ST &EB &00 &40
BA    1   CR         0   TR 11   CH 12   Instrument 44
BA    1   CR         0   TR 11   CH 12   ST &BB &65 &00
BA    1   CR         0   TR 11   CH 12   ST &BB &64 &00
BA    1   CR         0   TR 11   CH 12   ST &BB &06 &0C
BA    1   CR         0   TR 11   CH 12   ST &BB &0A &53
BA    1   CR         0   TR 11   CH 12   Channel volume 100
BA    1   CR         0   TR 11   CH 12   ST &EB &00 &40
BA    1   CR         0   TR 11   CH 12   Instrument 44
BA    1   CR         0   TR 11   CH 12   ST &BB &0A &40
BA    1   CR         0   TR 11   CH 12   Channel volume 100
BA    1   CR         0   TR 11   CH 12   ST &EB &00 &40
BA    1   CR         0   TR 11   CH 12   Instrument 44
BA    1   CR         0   TR 11   CH 12   ST &BB &65 &00
BA    1   CR         0   TR 11   CH 12   ST &BB &64 &00
BA    1   CR         0   TR 11   CH 12   ST &BB &06 &0C
BA    1   CR         0   TR 11   CH 12   ST &BB &0A &40
BA    1   CR         0   TR 11   CH 12   Channel volume 100
BA    1   CR         0   TR 11   CH 12   ST &EB &00 &40
BA    1   CR         0   TR 11   CH 12   Instrument 44
BA    1   CR         0   TR 11   CH 12   ST &BB &0A &40
BA    1   CR         0   TR 11   CH 12   Channel volume 100
BA    1   CR         0   TR 11   CH 12   ST &EB &00 &40
BA    1   CR         0   TR 11   CH 12   Instrument 44
BA    1   CR         0   TR 11   CH 12   NT  C--         31/32   von=127
BA    1   CR         0   TR 11   CH 12   NT  C-          31/32
BA    1   CR         0   TR 11   CH 12   NT  C---        31/32
BA    1   CR         0   TR 12   CH 16   Text type 3: "TremoloStr. (MIDI)"
BA    1   CR         0   TR 12   CH 13   ST &BC &0A &52
BA    1   CR         0   TR 12   CH 13   Channel volume 95
BA    1   CR         0   TR 12   CH 13   ST &EC &00 &40
BA    1   CR         0   TR 12   CH 13   ST &BC &65 &00
BA    1   CR         0   TR 12   CH 13   ST &BC &64 &00
BA    1   CR         0   TR 12   CH 13   ST &BC &06 &0C
BA    1   CR         0   TR 12   CH 13   ST &BC &0A &52
BA    1   CR         0   TR 12   CH 13   Channel volume 95
BA    1   CR         0   TR 12   CH 13   ST &EC &00 &40
BA    1   CR         0   TR 12   CH 13   Instrument 45
BA    1   CR         0   TR 12   CH 13   ST &BC &65 &00
BA    1   CR         0   TR 12   CH 13   ST &BC &64 &00
BA    1   CR         0   TR 12   CH 13   ST &BC &06 &0C
BA    1   CR         0   TR 12   CH 13   ST &BC &0A &52
BA    1   CR         0   TR 12   CH 13   Channel volume 95
BA    1   CR         0   TR 12   CH 13   ST &EC &00 &40
BA    1   CR         0   TR 12   CH 13   Instrument 45
BA    1   CR         0   TR 12   CH 13   ST &BC &0A &40
BA    1   CR         0   TR 12   CH 13   Channel volume 95
BA    1   CR         0   TR 12   CH 13   ST &EC &00 &40
BA    1   CR         0   TR 12   CH 13   Instrument 45
BA    1   CR         0   TR 12   CH 13   ST &BC &65 &00
BA    1   CR         0   TR 12   CH 13   ST &BC &64 &00
BA    1   CR         0   TR 12   CH 13   ST &BC &06 &0C
BA    1   CR         0   TR 12   CH 13   ST &BC &0A &40
BA    1   CR         0   TR 12   CH 13   Channel volume 95
BA    1   CR         0   TR 12   CH 13   ST &EC &00 &40
BA    1   CR         0   TR 12   CH 13   Instrument 45
BA    1   CR         0   TR 12   CH 13   ST &BC &0A &40
BA    1   CR         0   TR 12   CH 13   Channel volume 95
BA    1   CR         0   TR 12   CH 13   ST &EC &00 &40
BA    1   CR         0   TR 12   CH 13   Instrument 45
BA    1   CR         0   TR 12   CH 13   NT  G'       11+31/32   von=65
BA    1   CR         0   TR 13   CH 16   Text type 3: "Horns (MIDI)"
BA    1   CR         0   TR 13   CH 14   ST &BD &0A &32
BA    1   CR         0   TR 13   CH 14   Channel volume 100
BA    1   CR         0   TR 13   CH 14   ST &ED &00 &40
BA    1   CR         0   TR 13   CH 14   ST &BD &65 &00
BA    1   CR         0   TR 13   CH 14   ST &BD &64 &00
BA    1   CR         0   TR 13   CH 14   ST &BD &06 &0C
BA    1   CR         0   TR 13   CH 14   ST &BD &0A &32
BA    1   CR         0   TR 13   CH 14   Channel volume 100
BA    1   CR         0   TR 13   CH 14   ST &ED &00 &40
BA    1   CR         0   TR 13   CH 14   Instrument 61
BA    1   CR         0   TR 13   CH 14   ST &BD &65 &00
BA    1   CR         0   TR 13   CH 14   ST &BD &64 &00
BA    1   CR         0   TR 13   CH 14   ST &BD &06 &0C
BA    1   CR         0   TR 13   CH 14   ST &BD &0A &32
BA    1   CR         0   TR 13   CH 14   Channel volume 100
BA    1   CR         0   TR 13   CH 14   ST &ED &00 &40
BA    1   CR         0   TR 13   CH 14   Instrument 61
BA    1   CR         0   TR 13   CH 14   ST &BD &0A &40
BA    1   CR         0   TR 13   CH 14   Channel volume 100
BA    1   CR         0   TR 13   CH 14   ST &ED &00 &40
BA    1   CR         0   TR 13   CH 14   Instrument 61
BA    1   CR         0   TR 13   CH 14   ST &BD &65 &00
BA    1   CR         0   TR 13   CH 14   ST &BD &64 &00
BA    1   CR         0   TR 13   CH 14   ST &BD &06 &0C
BA    1   CR         0   TR 13   CH 14   ST &BD &0A &40
BA    1   CR         0   TR 13   CH 14   Channel volume 100
BA    1   CR         0   TR 13   CH 14   ST &ED &00 &40
BA    1   CR         0   TR 13   CH 14   Instrument 61
BA    1   CR         0   TR 13   CH 14   ST &BD &0A &40
BA    1   CR         0   TR 13   CH 14   Channel volume 100
BA    1   CR         0   TR 13   CH 14   ST &ED &00 &40
BA    1   CR         0   TR 13   CH 14   Instrument 61
BA    1   CR         0   TR 14   CH 16   Text type 3: "Contrabass (MIDI)"
BA    1   CR         0   TR 14   CH 15   ST &BE &0A &31
BA    1   CR         0   TR 14   CH 15   Channel volume 75
BA    1   CR         0   TR 14   CH 15   ST &EE &00 &40
BA    1   CR         0   TR 14   CH 15   ST &BE &65 &00
BA    1   CR         0   TR 14   CH 15   ST &BE &64 &00
